List File,10c-3-3.lst
Start Time,2017-06-11  12:19:06
Sampling Time,52 sec

Count,192
Particles / ml,8550

Efficiency,8.7%
PPUI,1.18

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),150.46,20.83,278.82,34.78,23.12
Aspect Ratio,0.77,0.20,0.98,0.12,15.29
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.13,0.93,0.11,15.57
Circularity (Hu),0.92,0.33,1.00,0.06,6.94
Compactness,1.72,1.03,3.37,0.40,23.36
Diameter (ABD),13.73,5.15,18.84,1.77,12.91
Diameter (ESD),15.69,7.26,24.61,2.11,13.43
Elongation,3.02,1.00,8.47,1.39,46.02
Geodesic Aspect Ratio,0.41,0.12,1.00,0.22,53.57
Geodesic Length,24.65,7.58,46.38,6.80,27.58
Geodesic Thickness,8.91,2.33,15.75,1.99,22.39
Image Height,43.03,27.00,58.00,5.21,12.12
Image Width,42.26,19.00,63.00,5.28,12.50
Intensity,129.60,88.99,208.57,15.74,12.14
Length,17.91,7.61,30.49,2.51,14.04
Perimeter,67.12,30.32,109.42,11.59,17.27
Roughness,1.29,1.04,1.71,0.16,12.34
Sigma Intensity,42.19,4.06,59.67,8.53,20.23
Sum Intensity,89085.06,28782.00,1.39e+005,22075.61,24.78
Transparency,0.12,0.03,0.50,0.04,34.26
Volume (ABD),1417.33,71.52,3502.36,459.41,32.41
Width,13.17,2.24,17.06,2.26,17.16

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,1.04,0.12,89,0.02
8-9um,1,0.52,0.08,45,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,1.56,0.20,134,0.03
10-15um,47,24.48,16.60,2093,2.86
15-20um,130,67.71,81.05,5789,14
20-25um,1,0.52,2.01,45,0.35
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

