List File,5-1-1.lst
Start Time,2017-03-12  12:39:52
Sampling Time,47 sec

Count,31
Particles / ml,1518

Efficiency,8.7%
PPUI,1.03

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),118.10,21.04,188.67,38.72,32.79
Aspect Ratio,0.74,0.27,0.97,0.15,20.32
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.63,0.16,0.94,0.20,31.61
Circularity (Hu),0.85,0.22,1.00,0.16,19.11
Compactness,2.27,1.07,6.92,1.48,65.31
Diameter (ABD),12.07,5.18,15.50,2.19,18.13
Diameter (ESD),14.40,6.93,21.48,2.99,20.80
Elongation,4.75,1.00,19.70,4.86,102.25
Geodesic Aspect Ratio,0.47,0.05,1.00,0.36,75.43
Geodesic Length,25.43,10.33,69.50,14.82,58.27
Geodesic Thickness,7.98,2.25,13.74,3.27,41.04
Image Height,41.35,30.00,64.00,7.14,17.26
Image Width,39.97,25.00,52.00,6.29,15.74
Intensity,140.74,101.00,216.29,23.22,16.50
Length,16.58,8.62,29.53,3.82,23.02
Perimeter,66.81,38.97,146.05,25.08,37.54
Roughness,1.30,1.05,2.16,0.27,20.50
Sigma Intensity,29.53,5.28,45.46,9.30,31.49
Sum Intensity,78454.48,25529.00,1.43e+005,27850.04,35.50
Transparency,0.15,0.03,0.54,0.10,65.61
Volume (ABD),1004.40,72.59,1949.44,465.71,46.37
Width,11.66,4.95,18.07,2.94,25.19

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,3.23,0.32,49,0.01
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1,3.23,0.32,49,0.01
10-15um,18,58.06,37.25,882,1.00
15-20um,11,35.48,52.93,539,1.42
20-25um,1,3.23,9.50,49,0.25
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

