Time,hour,lights,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21
12:00 AM,0.5,dark,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14
12:30 AM,1,dark,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15
1:00 AM,1.5,dark,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16
1:30 AM,2,dark,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17
2:00 AM,2.5,dark,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18
2:30 AM,3,dark,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19
3:00 AM,3.5,dark,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20
3:30 AM,4,dark,hot 4,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21
4:00 AM,4.5,dark,hot 5,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22
4:30 AM,5,dark,hot 6,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23
5:00 AM,5.5,dark,hot 7,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1
5:30 AM,6,dark,hot 8,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2
6:00 AM,6.5,light,hot 9,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3
6:30 AM,7,light,hot 10,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4
7:00 AM,7.5,light,hot 11,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5
7:30 AM,8,light,hot 12,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6
8:00 AM,8.5,light,hot 13,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7
8:30 AM,9,light,hot 14,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8
9:00 AM,9.5,light,hot 15,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9
9:30 AM,10,light,hot 16,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10
10:00 AM,10.5,light,hot 17,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11
10:30 AM,11,light,hot 18,hot 20,hot 22,cold 1,cold 3,cold 5,cold 7,cold 9,cold 11,cold 13,cold 15,cold 17,cold 19,cold 21,cold 23,hot 2,hot 4,hot 6,hot 8,hot 10,hot 12
11:00 AM,11.5,light,hot 19,hot 21,hot 23,cold 2,cold 4,cold 6,cold 8,cold 10,cold 12,cold 14,cold 16,cold 18,cold 20,cold 22,hot 1,hot 3,hot 5,hot 7,hot 9,hot 11,hot 13
