List File,32c-2-1.lst
Start Time,2017-06-24  15:44:59
Sampling Time,46 sec

Count,20
Particles / ml,994

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.54,44.06,165.88,42.78,40.15
Aspect Ratio,0.79,0.68,0.92,0.08,10.13
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.50,0.86,0.12,17.30
Circularity (Hu),0.93,0.84,0.98,0.05,5.47
Compactness,1.63,1.11,2.18,0.35,21.67
Diameter (ABD),11.42,7.49,14.53,2.41,21.07
Diameter (ESD),13.07,8.79,15.91,2.56,19.61
Elongation,2.68,1.00,4.64,1.29,48.05
Geodesic Aspect Ratio,0.49,0.22,1.00,0.30,60.45
Geodesic Length,19.65,9.51,30.32,6.16,31.32
Geodesic Thickness,8.33,5.58,14.94,3.07,36.82
Image Height,38.30,29.00,48.00,5.83,15.23
Image Width,37.10,29.00,45.00,4.89,13.17
Intensity,139.31,109.15,172.21,19.65,14.11
Length,14.69,9.99,18.71,2.99,20.33
Perimeter,55.97,38.06,73.71,11.34,20.26
Roughness,1.26,1.10,1.71,0.17,13.67
Sigma Intensity,39.96,24.47,51.71,9.74,24.38
Sum Intensity,71249.10,38638.00,1.28e+005,28883.80,40.54
Transparency,0.13,0.06,0.20,0.05,37.81
Volume (ABD),872.74,220.01,1607.08,499.73,57.26
Width,11.02,7.10,13.27,2.13,19.37

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,1,5.00,2.76,50,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,10.00,6.30,99,0.04
10-15um,5,25.00,46.10,248,0.29
15-20um,3,15.00,47.61,149,0.30
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,5.00,3.54,50,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

