List File,10v-4-4.lst
Start Time,2017-06-07  18:45:53
Sampling Time,47 sec

Count,36
Particles / ml,1751

Efficiency,8.7%
PPUI,1.03

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),99.57,57.11,150.29,25.20,25.31
Aspect Ratio,0.80,0.62,0.98,0.10,12.67
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.73,0.36,0.87,0.10,13.34
Circularity (Hu),0.93,0.80,0.98,0.04,4.13
Compactness,1.52,1.09,2.84,0.35,23.21
Diameter (ABD),11.17,8.53,13.83,1.41,12.59
Diameter (ESD),12.73,9.18,16.26,1.61,12.67
Elongation,2.33,1.00,6.79,1.24,53.19
Geodesic Aspect Ratio,0.56,0.15,1.00,0.30,52.64
Geodesic Length,18.18,9.11,37.68,5.98,32.91
Geodesic Thickness,8.71,5.55,13.63,2.09,23.99
Image Height,36.92,29.00,44.00,4.03,10.92
Image Width,37.39,29.00,45.00,3.34,8.93
Intensity,133.75,105.06,157.30,13.42,10.03
Length,14.33,10.47,17.87,1.67,11.62
Perimeter,53.78,36.44,86.46,9.49,17.65
Roughness,1.30,1.05,1.60,0.15,11.69
Sigma Intensity,36.90,12.80,51.53,9.96,27.01
Sum Intensity,65113.11,33934.00,99735.00,15612.90,23.98
Transparency,0.12,0.06,0.17,0.03,24.96
Volume (ABD),764.60,324.66,1385.94,291.83,38.17
Width,10.85,6.77,14.96,2.02,18.60

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,5.56,2.03,97,0.04
10-15um,32,88.89,87.26,1556,1.73
15-20um,2,5.56,10.71,97,0.21
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,5.56,2.03,97,0.04
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

