List File,29c-3-2.lst
Start Time,2017-06-16  11:32:55
Sampling Time,49 sec

Count,16
Particles / ml,755

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),91.77,26.93,163.53,36.39,39.65
Aspect Ratio,0.76,0.54,0.94,0.11,14.72
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.57,0.89,0.09,12.96
Circularity (Hu),0.92,0.78,0.99,0.05,5.84
Compactness,1.69,1.19,2.56,0.33,19.32
Diameter (ABD),10.56,5.86,14.43,2.36,22.36
Diameter (ESD),12.26,7.49,15.50,2.46,20.05
Elongation,2.90,1.00,5.89,1.18,40.83
Geodesic Aspect Ratio,0.42,0.17,1.00,0.24,56.65
Geodesic Length,19.26,12.10,30.31,5.02,26.08
Geodesic Thickness,7.44,4.17,14.90,2.77,37.30
Image Height,36.75,29.00,43.00,4.51,12.27
Image Width,36.25,25.00,45.00,6.14,16.93
Intensity,147.30,112.98,181.28,21.20,14.39
Length,14.09,8.07,17.66,2.73,19.38
Perimeter,53.40,36.30,70.91,10.09,18.89
Roughness,1.29,1.08,1.61,0.18,13.86
Sigma Intensity,42.80,30.48,50.33,6.42,15.00
Sum Intensity,65234.56,32248.00,1.21e+005,22120.66,33.91
Transparency,0.14,0.06,0.22,0.04,31.02
Volume (ABD),699.59,105.13,1573.11,379.69,54.27
Width,10.32,5.72,14.73,2.60,25.17

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,12.50,2.58,94,0.02
8-9um,1,6.25,1.98,47,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,18.75,4.57,141,0.04
10-15um,11,68.75,73.05,519,0.59
15-20um,2,12.50,22.38,94,0.18
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

