id.number,Species.name,Study,Latitude,Longitude,Temperature,Growth.rate
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,10,0
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,10,0
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,10,0
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,15,0.164275882
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,15,0.138629436
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,15,0.159423852
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,20,0.250226132
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,20,0.261316487
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,20,0.246760396
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,24,0.241215219
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,24,0.259237046
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,24,0.254385015
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,27,0.295280699
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,27,0.264089076
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,27,0.213489332
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,30,0
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,30,0
1,Akashiwo sanguinea,Thomas et al. (1973),32.87,-117.26,30,0
2,Alexandrium catenella strain ACC02,Navarro et al. (2006),-46.66,-75.92,10,0.124766493
2,Alexandrium catenella strain ACC02,Navarro et al. (2006),-46.66,-75.92,12,0.07624619
2,Alexandrium catenella strain ACC02,Navarro et al. (2006),-46.66,-75.92,14,0.207944154
2,Alexandrium catenella strain ACC02,Navarro et al. (2006),-46.66,-75.92,16,0.069314718
3,Alexandrium fundyense strain BoF,Etheridge & Roesler (2005),44.7,-66.51,5,0.083
3,Alexandrium fundyense strain BoF,Etheridge & Roesler (2005),44.7,-66.51,10,0.124
3,Alexandrium fundyense strain BoF,Etheridge & Roesler (2005),44.7,-66.51,15,0.28
3,Alexandrium fundyense strain BoF,Etheridge & Roesler (2005),44.7,-66.51,20,0.15
3,Alexandrium fundyense strain BoF,Etheridge & Roesler (2005),44.7,-66.51,25,-0.054
4,Alexandrium fundyense strain MI,Etheridge & Roesler (2005),43.56,-69.45,5,0.098
4,Alexandrium fundyense strain MI,Etheridge & Roesler (2005),43.56,-69.45,10,0.15
4,Alexandrium fundyense strain MI,Etheridge & Roesler (2005),43.56,-69.45,15,0.462
4,Alexandrium fundyense strain MI,Etheridge & Roesler (2005),43.56,-69.45,20,0.291
4,Alexandrium fundyense strain MI,Etheridge & Roesler (2005),43.56,-69.45,25,-0.162
5,Alexandrium minutum,Cannon (1993),-34.8,138.51,12,0.10327893
5,Alexandrium minutum,Cannon (1993),-34.8,138.51,16,0.266861665
5,Alexandrium minutum,Cannon (1993),-34.8,138.51,20,0.301519024
5,Alexandrium minutum,Cannon (1993),-34.8,138.51,25,0.289042374
6,Alexandrium monilatum,Juhl (2005),30.23,-88.8,15,-0.026
6,Alexandrium monilatum,Juhl (2005),30.23,-88.8,20,0.263
6,Alexandrium monilatum,Juhl (2005),30.23,-88.8,25,0.599
6,Alexandrium monilatum,Juhl (2005),30.23,-88.8,31,0.57
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,9.4,0
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,11.3,0.062383246
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,11.4,0.055451774
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,16.3,0.15249238
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,16.4,0.159423852
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,20.3,0.221807098
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,20.6,0.214875626
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,23.5,0.159423852
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,23.7,0.145560908
7,Alexandrium ostenfeldii clone LF-37,Jensen & Moestrup (1997),56.57,9.07,26.3,0
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,5.5,0.073
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,8.5,0.095
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,10.5,0.189
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,13,0.271
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,16,0.277
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,18,0.317
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,20,0.319
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,22.5,0.278
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,24.5,0
8,Alexandrium tamarense clone GTMP,Watras et al. (1982),41.79,-69.95,26.5,0
9,Amphiprora sp.,Hulburt (1982),28.9,50.75,11,0
9,Amphiprora sp.,Hulburt (1982),28.9,50.75,14,0.138629436
9,Amphiprora sp.,Hulburt (1982),28.9,50.75,17,0.34657359
9,Amphiprora sp.,Hulburt (1982),28.9,50.75,21,0.415888308
9,Amphiprora sp.,Hulburt (1982),28.9,50.75,28,0.901091335
9,Amphiprora sp.,Hulburt (1982),28.9,50.75,31,0.693147181
9,Amphiprora sp.,Hulburt (1982),28.9,50.75,34,0
10,Apedinella radians,Throndsen (1976),60.27,5.18,10,0.482430438
10,Apedinella radians,Throndsen (1976),60.27,5.18,15,1.108342342
10,Apedinella radians,Throndsen (1976),60.27,5.18,20,1.186667973
10,Apedinella radians,Throndsen (1976),60.27,5.18,25,1.108342342
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,8,0.07624619
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,11,0.492134498
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,12.5,0.554517744
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,14.5,0.824845145
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,17,1.15062432
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,21,1.275390812
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,24,1.157555792
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,27,1.351637002
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,31,1.642758818
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,34,1.240733453
11,Asterionellopsis glacialis,Hulburt (1982),6,-54,34.5,0
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,1,0.374299478
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,4.5,0.547586273
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,7,0.887228391
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,9,1.046652243
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,11.5,0.887228391
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,14.2,0.325779175
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,17,1.275390812
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,20.3,0.762461899
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,22,0.956543109
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,25.7,0.852571032
12,Asterionellopsis glacialis,Hulburt (1982),41.9,-70.32,27.5,0
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),41.57,-71.34,0,0.298053288
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),41.57,-71.34,5,0.658489822
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),41.57,-71.34,10,1.109035489
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),41.57,-71.34,15,1.538786741
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),41.57,-71.34,20,1.892291803
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),41.57,-71.34,25,1.989332408
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),41.57,-71.34,28,1.92001769
13,Asterionellopsis glacialis,Karentz & Smayda (1984) from Teng (unpubl.),41.57,-71.34,30,0
14,Calcidiscus leptoporus strain N482-1,Buitenhuis et al. (2008),-23,14,6,0
14,Calcidiscus leptoporus strain N482-1,Buitenhuis et al. (2008),-23,14,9,0.014
14,Calcidiscus leptoporus strain N482-1,Buitenhuis et al. (2008),-23,14,12,0.343
14,Calcidiscus leptoporus strain N482-1,Buitenhuis et al. (2008),-23,14,15,0.388
14,Calcidiscus leptoporus strain N482-1,Buitenhuis et al. (2008),-23,14,20,0.442
14,Calcidiscus leptoporus strain N482-1,Buitenhuis et al. (2008),-23,14,25,0
15,Calcidiscus leptoporus strain NS10-2,Buitenhuis et al. (2008),-34.28,17.18,6,0
15,Calcidiscus leptoporus strain NS10-2,Buitenhuis et al. (2008),-34.28,17.18,9,0.014
15,Calcidiscus leptoporus strain NS10-2,Buitenhuis et al. (2008),-34.28,17.18,12,0.569
15,Calcidiscus leptoporus strain NS10-2,Buitenhuis et al. (2008),-34.28,17.18,15,0.317
15,Calcidiscus leptoporus strain NS10-2,Buitenhuis et al. (2008),-34.28,17.18,20,0.305
15,Calcidiscus leptoporus strain NS10-2,Buitenhuis et al. (2008),-34.28,17.18,25,0
16,Calciodinellum albatrosianum Geob*26/5,Meier et al. (2004),12.27,-58.33,12.3,0.034657359
