List File,10VIII_01.lst
Start Time,2017-02-19  17:51:18
Sampling Time,45 sec

Count,36
Particles / ml,1841

Efficiency,8.6%
PPUI,1.03

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),130.73,48.91,441.78,65.14,49.82
Aspect Ratio,0.79,0.49,0.96,0.13,15.88
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.72,0.25,0.86,0.14,19.16
Circularity (Hu),0.92,0.69,0.99,0.07,7.84
Compactness,1.86,1.09,7.17,1.02,54.86
Diameter (ABD),12.62,7.89,23.72,2.71,21.49
Diameter (ESD),14.60,9.41,32.78,3.82,26.14
Elongation,3.45,1.00,20.47,3.32,96.42
Geodesic Aspect Ratio,0.43,0.05,1.00,0.26,60.13
Geodesic Length,24.49,11.35,107.46,16.01,65.38
Geodesic Thickness,8.28,4.14,16.10,2.32,27.98
Image Height,41.47,27.00,79.00,8.52,20.55
Image Width,39.58,27.00,65.00,6.13,15.50
Intensity,130.65,105.04,178.52,19.99,15.30
Length,16.74,10.59,40.06,4.80,28.68
Perimeter,65.55,41.64,225.42,30.25,46.15
Roughness,1.31,1.05,2.42,0.25,18.90
Sigma Intensity,39.64,17.81,51.70,9.83,24.80
Sum Intensity,79997.61,34138.00,2.84e+005,41735.19,52.17
Transparency,0.13,0.05,0.28,0.05,37.10
Volume (ABD),1212.39,257.28,6985.11,1098.10,90.57
Width,12.21,6.91,27.02,3.35,27.47

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,5.56,1.27,102,0.05
10-15um,21,58.33,34.58,1074,1.30
15-20um,12,33.33,39.03,614,1.47
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,2.78,25.12,51,0.94
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,5.56,1.27,102,0.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

