"isolate.code","SD","Mean"
324,5.53396,8.62148
325,5.37817,9.97452
326,5.37817,9.97452
328,5.37817,9.97452
329,5.37817,9.97452
330,5.37817,9.97452
332,5.37817,9.97452
333,5.37817,9.97452
335,5.37817,9.97452
337,5.37817,9.97452
338,5.37817,9.97452
343,5.37817,9.97452
344,5.37817,9.97452
345,5.37817,9.97452
346,5.37817,9.97452
347,5.37817,9.97452
348,1.53052,10.1789
350,3.15011,9.99473
351,3.15011,9.99473
353,3.15011,9.99473
354,5.70627,7.89567
355,5.70627,7.89567
356,5.70627,7.89567
358,2.01779,8.5676
360,1.7737,6.66589
361,1.06204,-1.24832
362,1.06204,-1.24832
363,1.63486,-0.524674
364,3.40307,21.1668
365,1.11803,26.5346
366,1.59765,25.167
367,3.5847,24.6884
368,2.95784,20.6461
369,3.40307,21.1668
370,3.63018,22.1163
372,5.10631,12.7421
374,1.74979,27.4107
398,3.70922,24.733
402,4.74331,9.73874
443,2.27227,18.0829
450,4.06756,20.5919
451,4.06756,20.5919
452,4.06756,20.5919
453,4.06756,20.5919
454,4.06756,20.5919
455,4.06756,20.5919
456,4.06756,20.5919
457,4.06756,20.5919
458,4.06756,20.5919
459,4.06756,20.5919
460,4.06756,20.5919
461,4.06756,20.5919
462,4.06756,20.5919
463,4.06756,20.5919
464,4.06756,20.5919
465,4.06756,20.5919
466,4.06756,20.5919
467,4.06756,20.5919
468,4.06756,20.5919
469,4.06756,20.5919
470,4.06756,20.5919
471,4.06756,20.5919
472,4.06756,20.5919
473,4.06756,20.5919
474,4.06756,20.5919
475,4.06756,20.5919
476,1.49645,11.4624
477,0.794546,28.7183
478,4.07992,11.3638
479,4.24103,11.2708
480,1.87846,24.0332
483,5.37817,9.97452
485,5.37817,9.97452
489,5.62392,9.58842
491,4.27345,11.2522
492,0.732433,29.1334
497,5.62392,9.58842
498,5.37817,9.97452
499,3.98959,19.8839
500,3.98959,19.8839
501,3.98959,19.8839
502,3.98959,19.8839
503,3.52525,22.1337
509,1.28925,13.7874
513,3.20129,18.7161
515,3.89179,17.7476
516,3.89179,17.7476
519,1.82126,19.5559
520,1.6262,15.6735
521,5.42061,6.10681
522,2.27859,12.3628
525,5.42061,6.10681
526,2.97291,24.0963
528,3.70922,24.733
529,3.42654,11.6435
531,3.57532,11.5832
532,5.34585,7.86399
538,5.6268,14.323
540,2.44872,18.9024
541,2.44872,18.9024
542,4.25558,19.248
543,4.25558,19.248
544,4.25558,19.248
545,2.43439,11.5062
546,3.51356,22.5134
548,1.02848,27.6229
549,1.42005,20.597
550,2.89972,12.0341
551,1.89965,23.0291
552,2.37969,11.8075
553,2.11584,17.4779
554,2.34019,11.9296
555,2.34019,11.9296
556,1.30216,13.9136
557,1.98461,17.1686
558,1.27588,2.75069
559,1.20839,27.5968
560,0.819359,27.6951
561,0.70958,27.7296
562,1.06302,25.2241
563,0.801327,27.0918
564,2.63679,25.9396
565,2.19306,26.1837
568,3.63018,22.1163
569,4.3548,11.0926
570,2.00006,15.7015
571,1.99072,15.7235
572,2.04637,18.4897
573,2.04637,18.4897
574,1.63565,26.4941
575,1.63565,26.4941
576,1.63565,26.4941
577,1.9904,25.4846
579,1.63565,26.4941
581,1.8995,7.15592
583,2.80679,26.0877
584,2.55888,25.6235
585,2.55322,25.6322
586,2.27558,26.2921
587,2.32037,26.1884
588,5.12185,10.2279
589,5.12185,10.2279
590,5.3937,9.91175
591,5.3937,9.91175
592,5.3937,9.91175
593,4.48498,19.1091
594,4.48498,19.1091
595,4.48498,19.1091
596,3.50289,21.9166
597,3.50289,21.9166
602,2.44872,18.9024
603,3.15011,9.99473
605,2.44872,18.9024
606,5.07236,10.1395
607,1.92385,-0.0490103
608,1.66612,5.87451
609,5.76446,11.0562
611,0.984575,26.1487
613,5.62392,9.58842
614,5.33088,7.64119
