file_name,temp,variability,sample_day,replicate,cell_density,start_time,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-1_summary,0,c,1,1,728,2017-06-23  15:07:07,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:07:00 UTC,-8.101851851851852e-5,-0.0019444444444444444
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-2_summary,0,c,1,2,1240,2017-06-23  15:08:40,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:08:00 UTC,6.134259259259259e-4,0.014722222222222222
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-3_summary,0,c,1,3,831,2017-06-23  15:10:17,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:10:00 UTC,0.002002314814814815,0.04805555555555555
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-4_summary,0,c,1,4,742,2017-06-23  15:11:47,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:11:00 UTC,0.0026967592592592594,0.06472222222222222
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-1-5_summary,0,c,1,5,905,2017-06-23  15:13:30,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:13:00 UTC,0.004085648148148148,0.09805555555555556
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-1_summary,0,c,2,1,785,2017-06-23  15:14:54,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:14:00 UTC,0.004780092592592593,0.11472222222222223
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-2_summary,0,c,2,2,508,2017-06-23  15:16:53,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:16:00 UTC,0.006168981481481482,0.14805555555555555
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-3_summary,0,c,2,3,1056,2017-06-23  15:18:21,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:18:00 UTC,0.00755787037037037,0.18138888888888888
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-4_summary,0,c,2,4,1081,2017-06-23  15:19:50,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:19:00 UTC,0.008252314814814815,0.19805555555555557
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-2-5_summary,0,c,2,5,821,2017-06-23  15:21:17,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:21:00 UTC,0.009641203703703704,0.2313888888888889
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-1_summary,0,c,3,1,723,2017-06-23  14:49:59,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 14:49:00 UTC,-0.01258101851851852,-0.30194444444444446
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-2_summary,0,c,3,2,730,2017-06-23  14:51:39,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 14:51:00 UTC,-0.01119212962962963,-0.26861111111111113
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-3_summary,o,c,3,3,1192,2017-06-23  14:53:07,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 14:53:00 UTC,-0.00980324074074074,-0.23527777777777778
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-4_summary,0,c,3,4,952,2017-06-23  14:54:56,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 14:54:00 UTC,-0.009108796296296297,-0.21861111111111112
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-3-5_summary,0,c,3,5,999,2017-06-23  14:56:48,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 14:56:00 UTC,-0.007719907407407407,-0.1852777777777778
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-1_summary,0,c,4,1,871,2017-06-23  14:58:23,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 14:58:00 UTC,-0.006331018518518519,-0.15194444444444444
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-2_summary,0,c,4,2,654,2017-06-23  14:59:49,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 14:59:00 UTC,-0.005636574074074074,-0.13527777777777777
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-3_summary,0,c,4,3,1382,2017-06-23  15:02:35,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:02:00 UTC,-0.003553240740740741,-0.08527777777777777
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-4_summary,0,c,4,4,926,2017-06-23  15:03:59,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:03:00 UTC,-0.0028587962962962963,-0.06861111111111111
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/0c-4-5_summary,0,c,4,5,880,2017-06-23  15:05:24,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:05:00 UTC,-0.0014699074074074074,-0.035277777777777776
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-1-1_summary,32,c,1,1,613,2017-06-23  15:24:00,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:24:00 UTC,0.011724537037037037,0.2813888888888889
Tetraselmis_experiment/data-raw/flowcam-summaries-jun23/32c-1-2_summary,32,c,1,2,1180,2017-06-23  15:25:27,2017-06-23T15:07:07Z,2017-06-23 15:07:07 UTC--2017-06-23 15:25:00 UTC,0.012418981481481482,0.2980555555555556
