"x","q2.5","q97.5","mean"
0,0.0013178,0.00251324,0.00189962
1,0.00219882,0.00406975,0.00312495
2,0.00317253,0.00583022,0.0044966
3,0.00425478,0.00780583,0.00602396
4,0.00544711,0.0100136,0.00771611
5,0.00675088,0.0124651,0.00958155
6,0.00817666,0.0151613,0.011628
7,0.00972931,0.0181437,0.0138618
8,0.0113819,0.0214016,0.0162878
9,0.0131683,0.0249692,0.0189088
10,0.0150675,0.0288201,0.0217247
11,0.0170859,0.0329961,0.0247321
12,0.01918,0.0375141,0.0279232
13,0.0213645,0.0423179,0.0312852
14,0.0236317,0.0474291,0.0347986
15,0.0259621,0.052761,0.0384361
16,0.028313,0.0582575,0.0421614
17,0.0306127,0.0639526,0.0459265
18,0.0328752,0.0697298,0.0496703
19,0.0350019,0.0754863,0.0533157
20,0.0369244,0.081066,0.0567669
21,0.0386417,0.0862679,0.0599056
22,0.0400472,0.0908815,0.0625878
23,0.0409394,0.0946871,0.0646386
24,0.0413069,0.097362,0.0658473
25,0.0409884,0.0984043,0.0659616
26,0.0397686,0.0974173,0.0646803
27,0.0374957,0.0937451,0.0616457
28,0.0339339,0.0866679,0.0564343
29,0.0288608,0.0754153,0.0485464
30,0.021783,0.058846,0.0373943
31,0.0123022,0.0364358,0.0222883
32,-0.0033264,0.00887147,0.00242122
