curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,s.list,n.list
304,21.843270671324426,1.2416013715660659,3.0242711151211763,52.08198288861285,0.20545199150755233,0.11617360589110241,0.9699520426828472,0.0572905543529239,5
305,21.154174255631617,1.1359976689309998,13.476343435216352,33.198991472493624,0.32258018167178576,0.0708906905761708,0.9991209292189012,0.008449002843539883,5
306,21.91436374044003,1.280929779693243,-1.0552001500117834,59.56492834997353,0.191986958738115,0.12783092751068964,0.9831077833608025,0.04536733679772482,5
307,21.205586960451733,1.139363399677796,9.554924336663984,39.60904065380346,0.2538367945542128,0.09083921835876757,0.999917397675019,0.0025370585502479106,5
308,21.874259418852233,1.123991227381724,37.91661725756191,13.84484055715654,-0.009011012615742464,0.15320747615004998,0.9965798178199018,0.015515421224320283,5
309,22.049854418138608,1.2379874931167574,6.8321988998347685,44.328739777911004,0.1767286913241532,0.11719532752810104,0.9669961341584291,0.06377026309075697,5
310,20.975681534373194,1.2374291061073108,15.032963249718758,30.14391344352009,0.3995906184498096,0.06194406817918824,0.9847003687843158,0.04176513802365107,5
311,20.8549827384318,1.2103860371205537,11.982663182669832,34.04753944887193,0.2879230146546814,0.0840535270181527,0.9964223810498766,0.01867255519077951,5
312,20.520594183672912,1.1975368465491434,15.209241780602966,30.6077019430127,0.4718638459511331,0.05163968915757404,0.9712758146145407,0.052274956847056464,5
313,21.66824000424279,0.966168774292605,7.843706788866162,46.54689207784388,0.2702505942508368,0.07887824755602296,0.990131416487158,0.020928622287194516,5
314,21.295573550166786,1.294691100296105,35.38320187468892,12.3761310831603,-0.007305822664643952,0.17592250151597794,0.9918933428159266,0.030006747864285917,5
315,22.376472079427167,1.1856829243819613,9.352833752125976,42.74604445803471,0.24784539546000695,0.09069261558542262,0.9951729390921797,0.021891318497019047,5
316,21.106581846164676,1.1464484266141353,10.804409023431626,37.146797408359284,0.2680768661453043,0.0862684657032963,0.9997416437311553,0.00452705169005316,5
317,21.70038403154921,1.2806514256356183,14.878602777573745,31.511197828151985,0.3631170711189571,0.067648484753514,0.9998074548324937,0.004949312823100597,5
318,21.40942200785969,1.1492072888970681,15.127827860922116,34.13366290806676,0.4567632978500054,0.049895243283947475,0.9840246686571975,0.03596247015592222,5
