isolate_code,temperature_min,temperature_max
1,2.7,19.900000000000002
2,43.1,45
3,1.6,31.5
5,0,7.7
7,0,16.1
8,0,6.7
9,8.3,10.200000000000001
10,5.9,7.800000000000001
11,0,8.9
12,5.9,7.800000000000001
13,0,7.800000000000001
14,10,29.700000000000003
15,0,25.900000000000002
18,5.9,34.6
24,5.2,29.6
25,10.8,45
26,6.7,24.8
30,8.6,31
32,3.2,27.3
33,6.800000000000001,24.6
34,8.8,37.1
35,19.3,45
36,18.3,32.6
37,15.9,34.6
38,0.1,2
40,16.2,37.6
41,2.2,29.8
43,6.6000000000000005,34.7
45,11.600000000000001,32.4
47,9.700000000000001,36.2
49,11.9,36.2
50,5.5,7.4
51,0,35.4
52,12.5,34.7
53,11.100000000000001,35.300000000000004
54,10.9,34.4
55,10.3,36.2
56,7.2,9.1
57,8.1,34
58,14.5,36.7
59,0,39.7
61,14.5,31.900000000000002
62,0,40
63,15.4,32.2
64,5.4,7.300000000000001
65,24.5,30.8
68,15,32.9
69,0,39.900000000000006
74,10.200000000000001,45
77,23.5,35.6
78,24.5,30.700000000000003
79,25,30.6
81,8.1,33.2
82,9.200000000000001,31.900000000000002
83,7,33.6
84,14.9,36.4
85,6.9,31.3
86,13.5,29.3
87,1.1,33.2
89,12,33.800000000000004
90,7.9,31
91,11.8,35.2
93,12.200000000000001,31.1
94,11.8,27
95,7.800000000000001,42.300000000000004
97,11.200000000000001,30.200000000000003
105,10.4,34.300000000000004
106,0.2,29.200000000000003
107,0,27.6
108,9.600000000000001,45
109,0,1.9000000000000001
110,10.4,36.6
116,9.5,29.400000000000002
117,9.1,33.2
118,9,33.4
119,0,1.9000000000000001
123,0,29.5
126,8.700000000000001,41
128,10.100000000000001,30.8
129,10.5,34.9
131,9.4,28.900000000000002
132,0,26.8
133,0,30.900000000000002
134,20.1,34.5
138,10.200000000000001,30.6
139,9,30.3
140,15.9,34.4
146,2.2,34
169,7.2,29.400000000000002
170,8,24.700000000000003
171,4.5,29.8
173,6.7,33
181,0,33
188,2.4000000000000004,28.900000000000002
191,8.700000000000001,33.2
193,5.6000000000000005,29.1
194,2.2,29.200000000000003
195,6.1000000000000005,31.3
198,0,30.6
200,0.6000000000000001,27.400000000000002
205,0,27.700000000000003
206,5,35.1
210,0,27.200000000000003
211,3.8000000000000003,18.2
212,0,45
214,9.200000000000001,45
215,0,35.2
216,0,12.4
217,0,27.900000000000002
218,2.6,27.700000000000003
219,4,23.8
220,24.1,26
221,2.8000000000000003,18.8
223,0,24.700000000000003
225,7.1000000000000005,28.400000000000002
231,3,4.9
232,7.9,30.900000000000002
233,2.3000000000000003,21.3
234,9.700000000000001,11.600000000000001
235,14.9,16.8
239,2,21.8
240,4.3,22.900000000000002
242,0,27.400000000000002
256,0.2,27.400000000000002
257,0,30.400000000000002
259,5.1000000000000005,29.8
260,0,26.3
262,0,26.6
292,6.7,34.5
298,0,25.5
299,9.200000000000001,29.8
317,0,17.6
320,8.5,23.1
322,1.8,23.900000000000002
324,1.7000000000000002,10
325,3.6,19.5
326,0,19.200000000000003
328,0,23.8
329,0,24
330,13.3,35
332,2.5,27.700000000000003
333,24.700000000000003,26.6
335,3.3000000000000003,21.5
337,4.4,25.700000000000003
338,10,26.8
343,0,26.1
344,4.3,23.5
345,6.800000000000001,28.700000000000003
346,0,25.900000000000002
347,27.5,29.400000000000002
348,0,29.8
350,8.8,45
351,0,28.200000000000003
353,0,25.6
358,5.6000000000000005,26.400000000000002
360,Inf,-Inf
361,12.9,14.8
362,2.8000000000000003,4.7
363,0,14.700000000000001
364,11.700000000000001,28.1
365,13.700000000000001,33
366,0,28.6
367,15,31.900000000000002
368,6.1000000000000005,26.5
369,3.5,5.4
370,0,30.3
372,20.5,22.400000000000002
402,0,22.3
450,4.3,33.5
451,0,33.2
452,0,33.6
453,0,33.4
454,0,33.6
455,0,33.300000000000004
456,0,33.6
457,0,28.3
458,0,28.1
459,0,28.1
460,0,27.900000000000002
461,0,28.1
462,10,34
463,9.1,33.5
464,9.5,33.6
465,8.4,33.4
466,9.8,33.5
467,7.2,38.800000000000004
468,0.1,38.6
469,0,38.2
470,7.9,39
471,2.9000000000000004,38.2
472,9.5,33.4
473,3.9000000000000004,38.2
474,0,38.2
475,2.5,38.2
476,0,1.9000000000000001
477,0,29.900000000000002
538,0,24.6
542,0,28.6
543,3.7,28.3
544,0.9,28.8
545,0,29.5
546,27.1,29
548,0,30
549,3.5,30.200000000000003
550,0,32
551,0,32.6
552,0,33
553,5.1000000000000005,25.400000000000002
554,5.1000000000000005,32.5
555,4.2,34.6
556,11.9,34.800000000000004
557,0,34.4
558,0,7.4
559,16.3,34.7
560,16.5,34.800000000000004
561,21.8,34.9
562,22,34.9
563,22,34.9
564,6.9,35.300000000000004
565,12.100000000000001,43.5
570,5.300000000000001,24.400000000000002
571,6,24.3
572,11.100000000000001,29.3
573,10.100000000000001,29.5
603,10.4,34.2
606,0.2,17.2
