curve code,temperature,growth rate original,growth rate mu,
1,2,0.4,0.277258872,
1,5,0.61,0.42281978,
1,8,0.77,0.533723329,
1,11,1.05,0.72780454,
1,14,1.44,0.99813194,
1,17,1.68,1.164487263,
1,17,1.51,1.046652243,
1,20,1.55,1.07437813,
1,25,1.34,0.928817222,
1,30,0,0,
2,2,0.21,0.145560908,
2,5,0.38,0.263395929,
2,8,0.62,0.429751252,
2,11,0.81,0.561449216,
2,14,0.75,0.519860385,
2,17,0.79,0.547586273,
2,17,0.77,0.533723329,
2,20,0.72,0.49906597,
2,25,0.59,0.408956837,
2,30,0,0,
3,2,0.2,0.138629436,
3,5,0.29,0.201012682,
3,8,0.44,0.304984759,
3,11,0.5,0.34657359,
3,14,0.66,0.457477139,
3,17,0.72,0.49906597,
3,17,0.67,0.464408611,
3,20,0.56,0.388162421,
3,25,0.37,0.256464457,
3,30,0,0,
4,8,0,0,
4,11,0.06,0.041588831,
4,14,0.13,0.090109133,
4,17,0.23,0.159423852,
4,20,0.29,0.201012682,
4,20,0.29,0.201012682,
4,25,0.28,0.194081211,
4,30,0,0,
5,2,0.06,0.041588831,
5,5,0.15,0.103972077,
5,8,0.24,0.166355323,
5,11,0.41,0.284190344,
5,14,0.55,0.381230949,
5,17,0.31,0.214875626,
5,17,0.53,0.367368006,
5,20,0.45,0.311916231,
5,20,0.52,0.360436534,
5,25,0.53,0.367368006,
5,30,0,0,
6,2,0.08,0.055451774,
6,5,0.17,0.117835021,
6,8,0.24,0.166355323,
6,11,0.42,0.291121816,
6,14,0.58,0.402025365,
6,17,0.63,0.436682724,
6,17,0.71,0.492134498,
6,20,0.81,0.561449216,
6,25,0.87,0.603038047,
6,30,0.95,0.658489822,
7,2,0,0,
7,8,0.29,0.201012682,
7,11,0.46,0.318847703,
7,14,0.7,0.485203026,
7,17,0.76,0.526791857,
7,17,1.07,0.741667483,
7,20,0.95,0.658489822,
7,25,0.91,0.630763934,
8,10,0.448,0.448,
8,13,0.573,0.573,
8,16.5,0.636,0.636,
8,20,0.676,0.676,
8,25,0.775,0.775,
9,9,0.409,0.409,
9,12,0.625,0.625,
9,13,0.508,0.508,
9,16.5,0.696,0.696,
9,20,0.725,0.725,
9,25,0.676,0.676,
10,8,0.423,0.423,
10,9,0.538,0.538,
10,13,0.726,0.726,
10,16,0.923,0.923,
10,20,0.995,0.995,
10,25,0.74,0.74,
11,8,0.523,0.523,
11,13,0.822,0.822,
11,17,1.163,1.163,
11,20,1.393,1.393,
11,25,1.365,1.365,
12,10,0.371,0.371,
12,13,0.33,0.33,
12,16.5,0.56,0.56,
12,20,0.445,0.445,
12,25,0.564,0.564,
13,9,0.162,0.162,
13,12,0.587,0.587,
13,16,0.548,0.548,
13,20,0.517,0.517,
13,25,0.387,0.387,
14,10,0.136,0.136,
14,13,0.286,0.286,
14,17,0.334,0.334,
14,20,0.181,0.181,
14,25,0.207,0.207,
15,9,0.448,0.448,
15,13,0.706,0.706,
15,16,0.701,0.701,
15,20,0.879,0.879,
15,25,0.801,0.801,
16,13,0.405,0.405,
16,16.5,0.656,0.656,
16,20,0.701,0.701,
16,25,0.69,0.69,
17,17,0.836,0.836,
