file_name,replicate,other,cell_density,start_time,cell_volume
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-1-1_summary,15v,1,1291,2017-06-16  14:55:55,868.72
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-1-2_summary,15v,1,791,2017-06-16  14:57:37,709.46
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-1-3_summary,15v,1,855,2017-06-16  14:59:20,807.46
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-1-4_summary,15v,1,862,2017-06-16  15:01:00,759.99
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-1-5_summary,15v,1,660,2017-06-16  15:03:01,798.03
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-2-1_summary,15v,2,1136,2017-06-16  15:05:17,623.93
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-2-2_summary,15v,2,1499,2017-06-16  15:07:03,866.53
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-2-3_summary,15v,2,1045,2017-06-16  15:09:01,826.21
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-2-4_summary,15v,2,937,2017-06-16  15:10:42,711.11
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-2-5_summary,15v,2,999,2017-06-16  15:12:23,743.98
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-3-1_summary,15v,3,1245,2017-06-16  15:15:22,1030.25
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-3-2_summary,15v,3,1029,2017-06-16  15:17:13,668.70
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-3-3_summary,15v,3,802,2017-06-16  15:20:48,855.48
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-3-4_summary,15v,3,1013,2017-06-16  15:19:07,710.13
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-3-5_summary,15v,3,894,2017-06-16  15:22:31,824.65
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-4-1_summary,15v,4,479,2017-06-16  15:24:12,870.75
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-4-2_summary,15v,4,1109,2017-06-16  15:25:56,527.47
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-4-3_summary,15v,4,579,2017-06-16  15:27:44,800.05
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-4-4_summary,15v,4,789,2017-06-16  15:29:26,980.22
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/15v-4-5_summary,15v,4,740,2017-06-16  15:31:23,686.68
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-1-1_summary,20c,1,1228,2017-06-16  11:54:14,774.32
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-1-2_summary,20c,1,850,2017-06-16  11:55:59,656.95
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-1-3_summary,20c,1,1041,2017-06-16  11:57:39,715.21
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-2-1_summary,20c,2,798,2017-06-16  11:59:18,707.83
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-2-2_summary,20c,2,1139,2017-06-16  12:01:05,821.42
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-2-3_summary,20c,2,1054,2017-06-16  12:03:01,839.65
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-3-1_summary,20c,3,584,2017-06-16  12:05:06,684.05
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-3-2_summary,20c,3,1171,2017-06-16  12:06:46,825.82
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-3-3_summary,20c,3,729,2017-06-16  12:08:25,755.01
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-4-1_summary,20c,4,833,2017-06-16  12:10:11,674.07
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20c-4-2_summary,20c,4,1013,2017-06-16  12:11:56,785.04
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20v-1-1_summary,20v,1,476,2017-06-16  15:40:35,834.34
data-raw/flowcam-variability/flowcam-summaries-jun16-morn/20v-1-2_summary,20v,1,735,2017-06-16  15:42:47,875.55
