temp,isolate.code,mean_growth,temperature
621,11,0.694858735329372,4.2
712,324,0.13899320269142795,5.11
860,363,0.5320308287847645,6.59
1265,221,0.3355381437679573,10.64
1317,606,0.3910680211864828,11.16
1460,1,0.32787333370298344,12.59
1524,335,0.568080890975628,13.23
1568,337,0.7440431144284521,13.67
1571,240,0.8329367450809461,13.700000000000001
1648,194,0.2600806684438296,14.469999999999999
1691,239,0.19919415660944667,14.899999999999999
1704,233,0.2998399871363886,15.030000000000001
1828,188,1.2845326519785232,16.27
1843,332,1.1429523862064275,16.42
1865,344,0.1467931482812438,16.64
1891,170,0.5500810956013401,16.900000000000002
1891,345,0.13930476411195408,16.900000000000002
1905,320,0.11382052855981638,17.04
1988,346,0.16403218528895602,17.87
1999,544,0.7573449945854445,17.98
2000,338,0.7824768157829622,17.990000000000002
2016,33,0.44173405981559116,18.150000000000002
2061,570,0.6037508258399311,18.6
2083,571,0.48811101536759904,18.82
2121,553,0.6411039521300701,19.2
2158,193,0.3948543274192288,19.57
2187,543,0.6513451927898581,19.86
2206,195,0.26219929742852327,20.05
2304,299,0.2963408824813359,21.03
2306,358,0.46823432424948186,21.05
2312,86,0.16324579579155976,21.11
2352,191,0.42724287361241775,21.51
2365,128,0.26369909538038006,21.64
2376,87,1.374449415959421,21.75
2413,94,0.5100269944904885,22.12
2418,97,0.22060666799338724,22.17
2429,131,0.3016920280031946,22.28
2431,556,0.34454909735328676,22.3
2436,146,1.2943011086001763,22.35
2438,34,0.4499409020414554,22.37
2447,14,1.0208855741316987,22.46
2453,573,0.5534302986818551,22.52
2454,18,0.29738567525656123,22.53
2475,82,0.5038070919864308,22.740000000000002
2478,116,0.26659042507225644,22.77
2485,85,0.1778275995803712,22.84
2528,138,0.46822053290441285,23.27
2528,171,0.5146304045200335,23.27
2530,30,0.8311731311030385,23.29
2530,173,0.3292396067768046,23.29
2538,105,0.3796870966279827,23.37
2548,364,0.4686714726913119,23.47
2552,470,1.7834737807971441,23.51
2559,225,0.36647430103398143,23.580000000000002
2560,40,0.40943958796858937,23.59
2561,462,1.1280093675586276,23.6
2564,572,0.5381929661437189,23.63
2568,139,0.3751103498899924,23.67
2601,54,1.2363176403872604,24
2642,91,1.1169826891191499,24.41
2649,90,0.5885742055865035,24.48
2649,464,1.4228732617807889,24.48
2650,93,0.938032595065748,24.490000000000002
2653,367,0.4194591808197199,24.52
2656,463,1.1233926111177304,24.55
2663,466,1.4034542195936448,24.62
2668,140,1.3190979095181687,24.67
2669,81,0.4068740722981587,24.68
2692,465,1.3343251091903647,24.91
2692,472,1.2566132589110663,24.91
2696,68,1.1241350060470392,24.95
2719,467,1.7514342992396275,25.18
2733,603,1.3863984270103888,25.32
2776,63,0.7433990561597625,25.75
2781,117,0.4356974583722197,25.8
2818,89,0.7182169647121109,26.17
2842,61,0.39624901918373945,26.41
2871,77,0.33201200875632064,26.7
2875,110,1.5244112395654188,26.740000000000002
2880,52,1.289127883521637,26.79
2894,365,0.4782318261829072,26.93
2911,49,1.967152192277661,27.1
2942,559,0.2692005337704495,27.41
2980,560,0.254504456467727,27.79
3031,78,0.9545986782770585,28.3
3054,65,1.1532744013814031,28.53
3057,562,0.5570149387366107,28.560000000000002
3073,563,0.5540427566819793,28.72
3116,561,0.3712482479690468,29.150000000000002
