replicate,run,a,b,w,z,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual
1,4161,0.18092466257077378,0.15614235800728823,57.877244755046014,0,2205.9229001095223,TRUE,1.4901161193847656e-8,-344.364624661104,698.729249322208,706.9171801208399,165447258.60173857,34
2,347,0.2323093091116215,0.14182956735437646,57.87431597306084,0,2125.367917866839,TRUE,1.4901161193847656e-8,-342.9509849539634,695.9019699079269,704.0899007065588,153584418.73411915,34
3,3787,0.3508174536033703,0.10200310619438699,31.279583860625184,13.544352455078121,2538.342975089868,TRUE,1.4901161193847656e-8,-349.6985146489965,709.397029297993,717.5849600966249,219068292.0123948,34
4,825,0.2241897822189515,0.131195188919544,35.04832656623653,10.391603519546704,1702.5113996365383,TRUE,1.4901161193847656e-8,-334.5210470799575,679.042094159915,687.2300249585469,98550532.24034038,34
5,4076,1.0986625109919106,0.023520597609099376,32.34152922617165,18.379676539469035,1881.2376490527356,TRUE,1.4901161193847656e-8,-338.31441339582926,686.6288267916585,694.8167575902904,120327873.13525778,34
6,2626,3.1435104025640035,-0.02847668372050986,53.56701408289877,30,1565.3271423232106,TRUE,1.4901161193847656e-8,-331.3286816694642,672.6573633389283,680.8452941375602,83308468.12478746,34
7,2957,0.21655452724895555,0.13669567484394038,42.40213947893726,7.348874463115754,2459.803781980789,TRUE,1.4901161193847656e-8,-348.5041779629456,707.0083559258912,715.1962867245231,205721577.95879775,34
8,3179,0.7062599704028617,0.051396489746643015,30.0830510911327,15.542947404228295,1721.609384665304,TRUE,1.4901161193847656e-8,-334.9449403958201,679.8898807916402,688.0778115902721,100773921.6945,34
9,5991,0.4111318587678855,0.09142895144097053,31.688596983112657,13.85628969925987,2808.1454853543187,TRUE,1.4901161193847656e-8,-353.53700103811593,717.0740020762319,725.2619328748638,268113156.2751386,34
10,5149,1.3579075125461082,0.010682557124685955,32.09937850394325,18.96877426571971,2270.2973078114037,TRUE,1.4901161193847656e-8,-345.4576880258136,700.9153760516272,709.1033068502591,175244495.43909407,34
11,3813,0.5186547824436953,0.07372359559745323,30.22549575542448,15.621696510117408,2718.6244608591037,TRUE,1.4901161193847656e-8,-352.30586729596155,714.6117345919231,722.799665390555,251291244.61216936,34
12,393,0.46821386949919813,0.0792264002195663,28.78043435813088,14.805269465010243,2073.5851272717996,TRUE,1.4901161193847656e-8,-342.01368187578316,694.0273637515663,702.2152945501982,146191679.52145535,34
13,182,0.6127752681142261,0.06438973249777478,28.313008484595024,15.84114963860643,2625.447899951399,TRUE,1.4901161193847656e-8,-350.98063517756646,711.9612703551329,720.1492011537648,234361206.96221316,34
14,4101,2.592644880890432,-0.014733648370528417,54.42800899372183,30,2586.909827910258,TRUE,1.4901161193847656e-8,-350.4187115722831,710.8374231445662,719.0253539431981,227531483.56311518,34
15,2868,0.3680996234854439,0.09605549410890121,30.528530895638962,13.94876438916443,2403.431375939472,TRUE,1.4901161193847656e-8,-347.62318113250296,705.2463622650059,713.4342930636378,196400400.8809104,34
16,3118,0.48052346547523667,0.0761367216059019,30.60586723715179,14.496299601371385,2664.4468629429066,TRUE,1.4901161193847656e-8,-351.5409440343352,713.0818880686704,721.2698188673023,241375420.90517405,34
17,3403,1.6785024509414381,0.002149014680430377,36.27757369883338,21.363882747999664,2244.612748300236,TRUE,1.4901161193847656e-8,-345.02533221879276,700.0506644375855,708.2385952362174,171301737.2542859,34
18,555,1.1782438221143683,0.01836158194937878,33.39174028060337,19.056569853348943,1530.5030022990634,TRUE,1.4901161193847656e-8,-330.47374255580246,670.9474851116049,679.1354159102368,79642940.96157919,34
18,556,1.1782438084766442,0.018361582659940423,33.39174046120538,19.056569903513864,1530.5030022990625,TRUE,1.4901161193847656e-8,-330.47374255580246,670.9474851116049,679.1354159102368,79642940.9615791,34
