file_name,replicate,temp,rep,var,sample_day,cell_density,start_time,date,time,cell_volume,total_biovolume,keep,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CII_05_summary,10CII,10,II,constant temperature,05,615,2017-02-18T15:32:36Z,2017-02-18,15:32:36,623.03,383163.45,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CII_06_summary,10CII,10,II,constant temperature,06,1025,2017-02-18T15:38:23Z,2017-02-18,15:38:23,938.66,962126.5,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_01_summary,10CIII,10,III,constant temperature,01,1434,2017-02-18T15:08:43Z,2017-02-18,15:08:43,956.99,1372323.66,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_02_summary,10CIII,10,III,constant temperature,02,1281,2017-02-18T15:16:10Z,2017-02-18,15:16:10,819.83,1050202.23,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_03_summary,10CIII,10,III,constant temperature,03,973,2017-02-18T15:22:42Z,2017-02-18,15:22:42,1271.75,1237412.75,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_04_summary,10CIII,10,III,constant temperature,04,666,2017-02-18T15:28:06Z,2017-02-18,15:28:06,677.16,450988.56,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_05_summary,10CIII,10,III,constant temperature,05,1588,2017-02-18T15:34:29Z,2017-02-18,15:34:29,788.73,1252503.24,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_06_summary,10CIII,10,III,constant temperature,06,820,2017-02-18T15:40:03Z,2017-02-18,15:40:03,924.34,757958.8,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_01_summary,10VI,10,I,variable temperature,01,1278,2017-02-18T15:46:59Z,2017-02-18,15:46:59,962.84,1230509.52,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_02_summary,10VI,10,I,variable temperature,02,1127,2017-02-18T15:51:48Z,2017-02-18,15:51:48,884.34,996651.18,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_03_summary,10VI,10,I,variable temperature,03,1178,2017-02-18T15:57:04Z,2017-02-18,15:57:04,1342.53,1581500.34,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_04_summary,10VI,10,I,variable temperature,04,1486,2017-02-18T16:01:45Z,2017-02-18,16:01:45,703.04,1044717.44,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_05_summary,10VI,10,I,variable temperature,05,1434,2017-02-18T16:08:38Z,2017-02-18,16:08:38,1133.71,1625740.1400000001,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_06_summary,10VI,10,I,variable temperature,06,1076,2017-02-18T16:15:11Z,2017-02-18,16:15:11,1024.1,1101931.5999999999,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_01_summary,10VII,10,II,variable temperature,01,1127,2017-02-18T15:48:28Z,2017-02-18,15:48:28,775.31,873774.37,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_02_summary,10VII,10,II,variable temperature,02,1434,2017-02-18T15:53:25Z,2017-02-18,15:53:25,1570.05,2251451.6999999997,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_03_summary,10VII,10,II,variable temperature,03,1025,2017-02-18T15:58:36Z,2017-02-18,15:58:36,905.68,928322.0,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_04_summary,10VII,10,II,variable temperature,04,1176,2017-02-18T16:03:35Z,2017-02-18,16:03:35,646.59,760389.8400000001,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_05_summary,10VII,10,II,variable temperature,05,1751,2017-02-18T16:12:13Z,2017-02-18,16:12:13,981.56,1718711.5599999998,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_06_summary,10VII,10,II,variable temperature,06,1127,2017-02-18T16:16:48Z,2017-02-18,16:16:48,909.51,1025017.77,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VIII_01_summary,10VIII,10,III,variable temperature,01,1332,2017-02-18T15:50:07Z,2017-02-18,15:50:07,1267.9,1688842.8,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VIII_02_summary,10VIII,10,III,variable temperature,02,871,2017-02-18T15:55:23Z,2017-02-18,15:55:23,1333.28,1161286.88,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VIII_03_summary,10VIII,10,III,variable temperature,03,1381,2017-02-18T16:00:16Z,2017-02-18,16:00:16,809.74,1118250.94,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VIII_04_summary,10VIII,10,III,variable temperature,04,1178,2017-02-18T16:10:39Z,2017-02-18,16:10:39,935.02,1101453.56,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VIII_05_summary,10VIII,10,III,variable temperature,05,820,2017-02-18T16:13:41Z,2017-02-18,16:13:41,714.38,585791.6,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VIII_06_summary,10VIII,10,III,variable temperature,06,1588,2017-02-18T16:18:29Z,2017-02-18,16:18:29,757.38,1202719.44,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CI_01_summary,24CI,24,I,constant temperature,01,1386,2017-02-18T16:22:44Z,2017-02-18,16:22:44,826.63,1145709.18,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CI_02_summary,24CI,24,I,constant temperature,02,1023,2017-02-18T16:27:25Z,2017-02-18,16:27:25,891.51,912014.73,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CI_03_summary,24CI,24,I,constant temperature,03,1472,2017-02-18T16:33:04Z,2017-02-18,16:33:04,971.97,1430739.84,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/24CI_04_summary,24CI,24,I,constant temperature,04,666,2017-02-18T16:39:51Z,2017-02-18,16:39:51,793.27,528317.82,keep,2017-02-18,2017-02-18 UTC--2017-02-18 UTC,0.0,0.0
