curve.id.list,topt.list,maxgrowth.list,z,w,a,b,rsqr.list,s.list,n.list,tmax,tmin
679,20.785804791437634,1.2579804676445088,14.719684720907424,29.31710739688133,0.36837928906859413,0.06812297844321344,0.9894376356866168,0.036364183875367675,5,29.378238923968574,0.06113102286436808
683,20.65889138625991,1.2624442820525923,14.305318352400702,31.24665814705021,0.41696818770492217,0.06237394418737793,0.970977478173476,0.05535347137378015,5,29.92864730052696,-1.3180257581743573
694,20.611381248360843,1.1463890452409606,16.24292319402917,31.645244777529832,0.5695776442986841,0.03778321887573902,0.9891152674795702,0.03010017048170254,5,32.06554558720193,0.4203007779349445
715,20.133159071637493,1.2981471432833864,14.95889920864663,28.4935008164589,0.4583144424623734,0.05873857752351264,0.9243585671745578,0.10040545932241378,5,29.205645625036002,0.7121488033544178
717,21.472073115099395,1.2631341469387207,14.44828681157957,31.924896787064952,0.3610222996661704,0.06834962330911357,0.9971545926538544,0.018141432363325823,5,30.410752168590204,-1.5141615807618831
718,21.969114728471553,1.0995897273356872,17.104906844552062,35.47593924929932,0.5700985108490457,0.03345882481826263,0.9015150740629697,0.09264493214769004,5,34.84287893868506,-0.6330628038780385
729,20.60998931067465,1.1637457396728164,14.532866722304673,31.23940652217082,0.4089182802099541,0.05871037465087675,0.9527003363705375,0.06507135181681942,5,30.152569434772904,-1.0868260137186163
730,20.659923430805563,1.2650257531618114,14.096323023150912,29.938983189216543,0.350059584296916,0.0725195884338365,0.9887114178026848,0.03690556720327244,5,29.065813101822982,-0.8731610814114849
736,21.36106200212381,1.1759661844363323,16.330989614883364,31.016331047604396,0.4842400610844566,0.04674031934880819,0.9862957418532926,0.03842279473244366,5,31.83918481359646,0.8228251074552788
741,20.573236603967274,1.2041720050012648,13.75848633912127,30.807498216675956,0.34453117688578266,0.07141206556873265,0.992403848644613,0.027659870438852846,5,29.162236056600264,-1.6452645967021362
746,21.06393106267414,1.2082142328031926,14.354762017954425,31.253968336326597,0.35834461429958286,0.06737319628414591,0.9994958125320288,0.00722997886351573,5,29.981746189257713,-1.2722221461320717
747,20.375566009290615,1.205561723837856,15.204095018227497,29.742870305641855,0.4639294206662156,0.053193885862370664,0.9077638679554716,0.0997415088520448,5,30.075529600165073,0.33265986873904946
749,20.925577202915534,1.1658198890521498,14.959362647155485,31.73870670099713,0.4278440654928121,0.05518646869846907,0.9830234987850598,0.03885299347869868,5,30.82871618110139,-0.9099910110600896
751,21.745413907639183,1.1605861279703842,15.918861768246014,32.32150689534243,0.43718967846987916,0.05130095342243118,0.9989271691837598,0.010465299792105705,5,32.079621305453514,-0.2418916753062308
764,20.591798021199466,1.1272484591781697,15.033510034014151,31.326363355720403,0.4436376304264896,0.05182254277178848,0.9931759548036833,0.0231886846034563,5,30.696691739932426,-0.62967164363368
774,21.128452447928566,1.3067457881287765,14.847334138538876,30.42825331013128,0.39524255030016126,0.0654406359232231,0.9882638360650768,0.03908437373539283,5,30.061460794986054,-0.3667925158749088
776,20.712696642169824,1.1535221052135312,14.173884898143474,31.348267009556704,0.36754929880628145,0.06444924917773544,0.9846401365917169,0.03663181963197888,5,29.84803107832378,-1.500248602015465
777,20.659244394701595,1.2093671008942695,14.609852389623228,31.395756873851855,0.43159356299514046,0.05765602735397661,0.984678412352653,0.037739077580524846,5,30.307730192425815,-1.0879967461814946
784,21.430398668000976,1.2157466325530937,14.583152735269135,31.917779134271598,0.36282355537579425,0.06591787531582673,0.999910492469836,0.0031155834778918536,5,30.542063611489063,-1.3757379836267773
785,21.801252633487216,1.1327101120400116,14.804033618495302,32.678752241139385,0.3422066040639696,0.06419583470426905,0.9996906947077684,0.005609076964985805,5,31.143409328855356,-1.535342535336314
793,21.138849798600205,1.0448224836397129,16.484793384941444,33.16104521398919,0.5215745552124229,0.03674828469226644,0.9984997296214514,0.010241200105250925,5,33.06529982292085,-0.0957292217482712
797,20.695500835087962,1.2416279934098733,14.083062769225194,30.678988866329078,0.36530093767348926,0.06905054283900265,0.9930621645900766,0.027283439430065424,5,29.422557382246406,-1.2564316542494083
798,20.536877507917524,1.1726460206599565,14.65284459873714,30.91225032551238,0.4199395548418721,0.05762684887133605,0.9378311219406188,0.07601214581967222,5,30.10896919773028,-0.8032805596223636
802,20.261808760435372,1.0481162745783343,16.2094470083483,31.592281129338613,0.5543174056895068,0.03479903750714633,0.9134144349599825,0.07813515878863161,5,32.00559045784496,0.4132850434244276
803,20.980996604058262,1.269525504178677,15.038877588237202,29.802519328560635,0.397322330032777,0.06362097618398281,0.9904357345802869,0.034463426792731164,5,29.940137253129834,0.13761793105343845
807,21.426155143846835,1.1834712049923188,15.346144552912609,31.866902771493805,0.4166359611396435,0.05606983038972893,0.9848431075448558,0.03940560616580941,5,31.279596140381454,-0.5872854638798517
820,20.854454025474972,1.1133645414634399,14.45833508604358,31.95739658827738,0.3819216013293884,0.05967821229647487,0.999464947696504,0.006498501332376301,5,30.43703275092245,-1.5203632070675295
821,19.82906479115931,1.208941306603294,15.410566443645365,28.85897731093226,0.5270974872492111,0.046828886239751386,0.9177547590865971,0.09307659743085521,5,29.840055220634255,0.9810776687202925
824,20.435246160350086,1.1487883375970938,15.574346582463892,30.799070115712045,0.5031112930559717,0.04553937083277734,0.9981112994921466,0.012215006470702418,5,30.973907240588318,0.17481139895617595
826,21.854865413653584,1.153993404200717,16.362785832844384,33.50362137971262,0.4957594027609882,0.043862342202513824,0.9996139267254294,0.006163742468433422,5,33.11459654292435,-0.3890249795975028
828,21.26155498645509,1.2058423521500359,14.052689799348105,31.860513871739652,0.33193678352027944,0.0714494308289541,0.9997942347708316,0.0045504704742049115,5,29.98294686607872,-1.877569514628213
831,22.174649283969323,1.1719009939915839,15.870031357830996,34.01986287539545,0.4432232796487885,0.05051199489911201,0.9907193552362972,0.030550295319753968,5,32.879962522562174,-1.139900765265525
832,21.036378727441914,1.1796432553771485,15.042773615153997,31.637766245396506,0.42461060334482087,0.055939401306572184,0.9983644658748726,0.012374436066286226,5,30.86165702909765,-0.7761095031741264
834,20.33621646517699,1.249321643660724,14.078073053232309,30.062233698263242,0.3868431004007407,0.06700869382125582,0.9906471053994129,0.031840743888189534,5,29.10919003924742,-0.953044649240616
