file_name,replicate,sample_day,cell_density,start_time,cell_volume
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CI_01_summary,10CI,01,1178,2017-02-18  14:59:35,880.82
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CI_02_summary,10CI,02,1067,2017-02-18  15:10:46,787.99
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CI_03_summary,10CI,03,871,2017-02-18  15:18:45,1604.12
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CI_04_summary,10CI,04,1229,2017-02-18  15:24:29,1006.31
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CI_05_summary,10CI,05,563,2017-02-18  15:30:06,926.07
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CI_06_summary,10CI,06,820,2017-02-18  15:36:10,814.97
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CII_01_summary,10CII,01,1332,2017-02-18  15:06:22,736.20
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CII_02_summary,10CII,02,1588,2017-02-18  15:13:17,972.96
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CII_03_summary,10CII,03,1281,2017-02-18  15:20:53,880.01
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CII_04_summary,10CII,04,1588,2017-02-18  15:26:14,860.02
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CII_05_summary,10CII,05,615,2017-02-18  15:32:36,623.03
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CII_06_summary,10CII,06,1025,2017-02-18  15:38:23,938.66
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_01_summary,10CIII,01,1434,2017-02-18  15:08:43,956.99
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_02_summary,10CIII,02,1281,2017-02-18  15:16:10,819.83
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_03_summary,10CIII,03,973,2017-02-18  15:22:42,1271.75
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_04_summary,10CIII,04,666,2017-02-18  15:28:06,677.16
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_05_summary,10CIII,05,1588,2017-02-18  15:34:29,788.73
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10CIII_06_summary,10CIII,06,820,2017-02-18  15:40:03,924.34
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_01_summary,10VI,01,1278,2017-02-18  15:46:59,962.84
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_02_summary,10VI,02,1127,2017-02-18  15:51:48,884.34
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_03_summary,10VI,03,1178,2017-02-18  15:57:04,1342.53
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_04_summary,10VI,04,1486,2017-02-18  16:01:45,703.04
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_05_summary,10VI,05,1434,2017-02-18  16:08:38,1133.71
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VI_06_summary,10VI,06,1076,2017-02-18  16:15:11,1024.10
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_01_summary,10VII,01,1127,2017-02-18  15:48:28,775.31
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_02_summary,10VII,02,1434,2017-02-18  15:53:25,1570.05
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_03_summary,10VII,03,1025,2017-02-18  15:58:36,905.68
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_04_summary,10VII,04,1176,2017-02-18  16:03:35,646.59
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_05_summary,10VII,05,1751,2017-02-18  16:12:13,981.56
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VII_06_summary,10VII,06,1127,2017-02-18  16:16:48,909.51
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VIII_01_summary,10VIII,01,1332,2017-02-18  15:50:07,1267.90
Tetraselmis_experiment/data-raw/flowcam-summaries-feb18/10VIII_02_summary,10VIII,02,871,2017-02-18  15:55:23,1333.28
