file_name,replicate,sample_day,cell_density,start_time,cell_volume
Tetraselmis_experiment/data-raw/flowcam-summaries-apr03/20V-5-1_summary,20V,5,21301,2017-04-03  16:37:00,807.91
Tetraselmis_experiment/data-raw/flowcam-summaries-apr03/20V-5-2_summary,20V,5,20472,2017-04-03  16:44:08,825.94
Tetraselmis_experiment/data-raw/flowcam-summaries-apr03/20V-5-3_summary,20V,5,23624,2017-04-03  16:45:32,812.52
Tetraselmis_experiment/data-raw/flowcam-summaries-apr03/summary_export_20V-5-4_copy,20V,5,16976,2017-04-03  16:51:33,783.60
Tetraselmis_experiment/data-raw/flowcam-summaries-apr05/5-5-1_summary,5,5,21671,2017-04-05  10:48:01,1032.71
Tetraselmis_experiment/data-raw/flowcam-summaries-apr05/5-5-2_summary,5,5,22837,2017-04-05  10:49:55,1010.49
Tetraselmis_experiment/data-raw/flowcam-summaries-apr05/5-5-3_summary,5,5,24101,2017-04-05  10:51:58,1058.69
Tetraselmis_experiment/data-raw/flowcam-summaries-apr05/5-5-4_summary,5,5,23913,2017-04-05  10:54:10,1019.46
Tetraselmis_experiment/data-raw/flowcam-summaries-apr05/5v-3-1_summary,5v,3,20907,2017-04-05  17:50:06,1180.78
Tetraselmis_experiment/data-raw/flowcam-summaries-apr05/5v-3-2_summary,5v,3,19232,2017-04-05  17:52:01,1080.24
Tetraselmis_experiment/data-raw/flowcam-summaries-apr05/5v-3-3_summary,5v,3,16696,2017-04-05  17:54:11,1063.67
Tetraselmis_experiment/data-raw/flowcam-summaries-apr05/5v-3-4_summary,5v,3,21325,2017-04-05  17:56:18,1087.18
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-1-3_summary,15,1,1860,2017-03-10  16:17:36,725.67
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-1-4_summary,15,1,1714,2017-03-10  16:19:48,714.34
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-2-1_summary,15,2,2326,2017-03-10  16:15:07,758.81
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-2-2_summary,15,2,1890,2017-03-10  16:12:50,1310.57
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-2-4_summary,15,2,1876,2017-03-10  16:10:25,793.31
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-3-4_summary,15,3,1718,2017-03-10  16:50:36,840.57
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-4-1_summary,15,4,2499,2017-03-10  16:43:56,823.63
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-4-4_summary,15,4,1969,2017-03-10  16:48:23,763.29
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-5-3_summary,15,5,1677,2017-03-10  16:40:45,804.59
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-5-4_summary,15,5,2290,2017-03-10  16:46:11,914.40
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-1-1_summary,19,1,2622,2017-03-10  16:03:22,790.62
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-1-3_summary,19,1,2127,2017-03-10  16:01:14,937.24
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-2-1_summary,19,2,1652,2017-03-10  15:57:58,880.41
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-2-4_summary,19,2,1994,2017-03-10  15:55:45,786.56
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-3-1_summary,19,3,1429,2017-03-10  15:53:17,806.66
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-3-4_summary,19,3,1683,2017-03-10  15:47:52,931.50
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-4-1_summary,19,4,1668,2017-03-10  15:45:48,793.94
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-4-3_summary,19,4,2537,2017-03-10  15:43:29,815.12
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-5-1_summary,19,5,2248,2017-03-10  15:41:07,871.41
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-5-3_summary,19,5,1764,2017-03-10  15:38:34,891.12
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-1-1_summary,29,1,1889,2017-03-10  17:06:32,926.06
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-1-2_summary,29,1,1895,2017-03-10  16:54:32,847.23
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-1-3_summary,29,1,3315,2017-03-10  17:04:23,904.34
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-2-3_summary,29,2,2453,2017-03-10  16:56:33,708.43
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-2-4_summary,29,2,2019,2017-03-10  16:59:29,789.68
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-3-3_summary,29,3,3178,2017-03-10  16:37:26,780.35
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-4-4_summary,29,4,2302,2017-03-10  16:35:22,881.41
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-5-1_summary,29,5,2279,2017-03-10  16:33:20,903.95
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-5-2_summary,29,5,2618,2017-03-10  16:25:20,913.86
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-5-4_summary,29,5,2992,2017-03-10  16:23:09,1186.41
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-1-3_summary,35,1,2088,2017-03-10  15:12:51,696.73
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-1-4_summary,35,1,2809,2017-03-10  15:05:19,733.83
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-2-2_summary,35,2,2184,2017-03-10  15:10:25,787.97
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-2-3_summary,35,2,3331,2017-03-10  15:07:39,745.38
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-3-2_summary,35,3,2441,2017-03-10  15:02:59,924.03
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-3-3_summary,35,3,3132,2017-03-10  15:18:46,900.45
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-5-1_summary,35,5,2090,2017-03-10  15:23:55,722.72
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-5-2_summary,35,5,2754,2017-03-10  15:26:28,868.42
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-5-3_summary,35,5,2724,2017-03-10  15:21:11,680.55
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-5-4_summary,35,5,2803,2017-03-10  15:16:24,984.41
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-1-1_summary,5,1,1852,2017-03-10  17:17:19,701.27
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-1-3_summary,5,1,2607,2017-03-10  17:25:45,962.69
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-2-1_summary,5,2,2137,2017-03-10  17:24:01,785.78
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-3-1_summary,5,3,3081,2017-03-10  17:13:08,1006.67
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-3-2_summary,5,3,2521,2017-03-10  17:15:07,830.65
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-4-1_summary,5,4,2559,2017-03-10  17:37:20,779.62
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-4-2_summary,5,4,2509,2017-03-10  17:33:08,938.37
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-4-3_summary,5,4,1877,2017-03-10  17:35:18,985.35
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-5-2_summary,5,5,2269,2017-03-10  17:30:13,836.12
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/5-5-4_summary,5,5,2988,2017-03-10  17:28:04,1071.74
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/15-1-1_summary,15,1,1365,2017-03-11  11:43:03,868.39
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/15-1-2_summary,15,1,1192,2017-03-11  11:44:24,792.08
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/15-1-3_summary,15,1,2438,2017-03-11  11:45:44,892.99
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/15-1-4_summary,15,1,1651,2017-03-11  11:47:11,908.87
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/19-1-1_summary,19,1,1457,2017-03-11  11:48:29,962.44
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/19-1-2_summary,19,1,1560,2017-03-11  11:49:49,1005.64
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/19-1-3_summary,19,1,1129,2017-03-11  11:51:05,1515.79
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/19-1-4_summary,19,1,1578,2017-03-11  11:52:22,1098.36
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/29-1-1_summary,29,1,1735,2017-03-11  11:22:11,1007.41
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/29-1-2_summary,29,1,1425,2017-03-11  11:23:54,1250.60
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/29-1-3_summary,29,1,1932,2017-03-11  11:25:45,1171.11
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/29-1-4_summary,29,1,1451,2017-03-11  11:27:01,1153.99
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/35-1-1_summary,35,1,2086,2017-03-11  11:31:12,915.85
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/35-1-2_summary,35,1,1235,2017-03-11  11:29:56,704.13
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/35-1-3_summary,35,1,2135,2017-03-11  11:32:33,842.65
Tetraselmis_experiment/data-raw/flowcam-summaries-mar11/35-1-4_summary,35,1,2438,2017-03-11  11:33:45,1043.48
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/15-1-1_summary,15,1,1203,2017-03-12  12:29:12,1080.93
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/15-1-2_summary,15,1,1008,2017-03-12  12:30:32,950.05
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/15-1-3_summary,15,1,1736,2017-03-12  12:32:20,1149.89
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/15-1-4_summary,15,1,1428,2017-03-12  12:33:43,1769.53
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/19-1-1_summary,19,1,2044,2017-03-12  12:20:14,1327.12
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/19-1-2_summary,19,1,3022,2017-03-12  12:15:05,1308.53
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/19-1-3_summary,19,1,2610,2017-03-12  12:21:33,1137.34
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/19-1-4_summary,19,1,3325,2017-03-12  12:16:38,1250.76
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/29-1-1_summary,29,1,4210,2017-03-12  12:22:51,1444.27
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/29-1-2_summary,29,1,4314,2017-03-12  12:24:09,1395.71
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/29-1-3_summary,29,1,4948,2017-03-12  12:25:28,1334.73
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/29-1-4_summary,29,1,4182,2017-03-12  12:26:50,1492.87
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/35-1-1_summary,35,1,2363,2017-03-12  12:52:28,744.50
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/35-1-2_summary,35,1,1915,2017-03-12  12:53:45,687.78
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/35-1-3_summary,35,1,2120,2017-03-12  12:55:03,774.50
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/35-1-4_summary,35,1,1629,2017-03-12  12:56:22,747.26
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/5-1-1_summary,5,1,1518,2017-03-12  12:39:52,1004.40
Tetraselmis_experiment/data-raw/flowcam-summaries-mar12/5-1-2_summary,5,1,1355,2017-03-12  12:48:11,1378.71
