temp,variability,sample_day,replicate,cell_density,time_since_innoc_hours,keep
10,c,1,1,891,4.729722222222223,yes
10,c,1,2,1573,4.754722222222222,yes
10,c,1,3,422,4.781944444444444,yes
10,c,1,4,789,4.807222222222222,yes
10,c,2,1,371,4.833611111111111,yes
10,c,2,2,401,4.860555555555556,yes
10,c,2,3,547,4.8875,yes
10,c,2,4,1103,4.914166666666667,yes
10,c,3,1,460,4.941388888888889,yes
10,c,3,2,885,4.965833333333333,yes
10,c,3,3,1296,1.6005555555555555,yes
10,c,3,4,1398,1.6305555555555555,yes
10,c,4,2,1183,1.7208333333333334,yes
10,c,4,3,1288,1.7508333333333332,yes
10,c,4,4,639,1.7858333333333334,yes
10,c,5,1,753,1.8186111111111112,yes
10,c,5,3,1183,1.8841666666666668,yes
16,c,1,1,268,0.285,yes
16,c,1,2,108,0.3088888888888889,yes
16,c,1,3,377,0.3327777777777778,yes
16,c,1,4,471,0.36944444444444446,yes
16,c,2,1,430,0.3983333333333333,yes
16,c,2,2,376,0.42527777777777775,yes
16,c,2,4,323,0.5427777777777778,yes
16,c,3,1,538,0.5661111111111111,yes
16,c,3,2,698,0.5880555555555556,yes
16,c,3,3,604,0,yes
16,c,3,4,407,0.05361111111111111,yes
16,c,4,1,785,0.08194444444444444,yes
16,c,4,2,897,0.105,yes
16,c,4,3,377,0.12916666666666668,yes
16,c,4,4,109,0.16166666666666665,yes
16,c,5,1,538,0.1827777777777778,yes
16,c,5,2,269,0.20416666666666666,yes
16,c,5,3,161,0.22583333333333333,yes
16,c,5,4,377,0.2477777777777778,yes
20,c,1,1,323,1.1916666666666667,yes
20,c,1,2,377,1.2125,yes
20,c,1,3,1170,1.2405555555555556,yes
20,c,1,4,916,1.2755555555555556,yes
20,c,2,1,592,1.3016666666666667,yes
20,c,2,2,592,1.3266666666666667,yes
20,c,2,3,645,1.3483333333333334,yes
20,c,2,4,1332,1.3702777777777777,yes
20,c,3,1,717,1.4122222222222223,yes
20,c,3,2,958,1.45,yes
20,c,3,4,430,0.9233333333333333,yes
20,c,4,1,410,0.9563888888888888,yes
20,c,4,2,289,1.0163888888888888,yes
20,c,4,3,644,1.0325,yes
20,c,4,4,861,1.0619444444444444,yes
20,c,5,1,1721,1.083611111111111,yes
20,c,5,2,592,1.1147222222222222,yes
20,c,5,3,592,1.1397222222222223,yes
20,c,5,4,1291,1.1625,yes
24,c,1,1,1013,2.698888888888889,yes
24,c,1,2,1076,2.72,yes
24,c,1,3,698,2.763611111111111,yes
24,c,1,4,914,2.786388888888889,yes
24,c,2,1,746,2.8080555555555557,yes
24,c,2,2,713,2.8408333333333333,yes
24,c,2,3,861,2.8625,yes
24,c,2,4,698,2.8858333333333333,yes
24,c,3,1,968,2.914722222222222,yes
24,c,3,3,575,4.195,yes
24,c,3,4,879,4.22,yes
24,c,4,1,451,4.248055555555555,yes
