replicate,run,a,b,w,z,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual
1,1234,0.21560861550113453,0.13468291098046503,35.52972503825842,13.689999936203195,1997.724427920731,TRUE,1.4901161193847656e-8,-511.99240426237054,1033.984808524741,1044.200064863914,211517853.16529423,53
2,379,0.2149382870589613,0.1350283685948167,36.442788919313905,13.223970527969731,2108.173804339595,FALSE,1.4901161193847656e-8,-515.0597640955355,1040.119528191071,1050.3347845302437,235553029.83309507,53
3,222,0.20797127375688448,0.13589748281891312,37.22201353476718,12.819521610897942,2250.4039788103487,FALSE,1.4901161193847656e-8,-518.7811612331526,1047.5623224663052,1057.777578805478,268408857.5958088,53
4,1057,0.2382888968153125,0.12931521126574727,35.67475410712672,13.575269793215696,1988.7921723743839,FALSE,1.4901161193847656e-8,-511.73697353463854,1033.473947069277,1043.6892034084499,209630598.1595739,53
5,236,0.2329975365783281,0.13001686988449573,38.300435594181586,12.219517615603698,2254.7323927837783,TRUE,1.4901161193847656e-8,-518.8906894036894,1047.7813788073788,1057.9966351465516,269442362.6426285,53
6,1301,0.22158160990109851,0.135035702949886,38.33134048262442,12.268177690235238,2159.4232281152385,TRUE,1.4901161193847656e-8,-516.4288519326301,1042.8577038652602,1053.072960204433,247144759.9405528,53
7,1308,0.2719875795994605,0.12188901015740776,32.30282472550317,15.258621301165025,1988.1208077387546,TRUE,1.4901161193847656e-8,-511.7177285650927,1033.4354571301856,1043.6507134693582,209489090.3466813,53
8,234,0.21900197391773152,0.13513831369220772,40.41011005503179,11.193592126584637,2072.458290699365,TRUE,1.4901161193847656e-8,-514.0858282120631,1038.1716564241262,1048.386912763299,227639418.4344923,53
9,408,0.2578699395289592,0.12347769581620167,33.98543168034974,14.3850828078498,2423.075467366812,TRUE,1.4901161193847656e-8,-522.9950481908342,1055.9900963816683,1066.2053527208411,311178620.1894095,53
10,1050,0.21791594462048416,0.13447116594349443,37.83234044802112,12.505601079247432,2210.750999541149,TRUE,1.4901161193847656e-8,-517.7678454638691,1045.5356909277382,1055.750947266911,259033259.04452607,53
