temp,variability,sample_day,replicate,cell_density,time_since_innoc_hours,keep,sample_group
0,c,3,1,723,-0.301944444,yes,1
0,c,3,2,730,-0.268611111,yes,1
0,c,3,3,1192,-0.235277778,yes,1
0,c,3,4,952,-0.218611111,yes,1
0,c,3,5,999,-0.185277778,yes,1
0,c,4,1,871,-0.151944444,yes,1
0,c,4,2,654,-0.135277778,yes,1
0,c,4,3,1382,-0.085277778,yes,1
0,c,4,4,926,-0.068611111,yes,1
0,c,4,5,880,-0.035277778,yes,1
0,c,1,1,728,-0.001944444,yes,1
0,c,1,2,1240,0.014722222,yes,1
0,c,1,3,831,0.048055556,yes,1
0,c,1,4,742,0.064722222,yes,1
0,c,1,5,905,0.098055556,yes,1
0,c,2,1,785,0.114722222,yes,1
0,c,2,2,508,0.148055556,yes,1
0,c,2,3,1056,0.181388889,yes,1
0,c,2,4,1081,0.198055556,yes,1
0,c,2,5,821,0.231388889,yes,1
0,c,1,1,601,122.4647222,yes,2
0,c,2,1,764,122.4980556,yes,2
0,c,3,1,1058,122.5480556,yes,2
0,c,4,1,858,122.5813889,yes,2
5,c,3,3,1146,4.489166667,yes,1
5,c,3,4,672,4.511666667,yes,1
5,c,4,1,365,4.533055556,yes,1
5,c,4,2,1108,4.554444444,yes,1
5,c,4,3,952,4.575833333,yes,1
5,c,4,4,924,4.598055556,yes,1
5,c,5,1,596,4.620833333,yes,1
5,c,5,2,729,4.648888889,yes,1
5,c,5,3,781,4.675277778,yes,1
5,c,5,4,1038,4.703333333,yes,1
5,c,1,1,569,5.820833333,yes,1
5,c,1,2,136,5.846944444,yes,1
5,c,1,3,778,5.875,yes,1
5,c,1,4,568,5.901666667,yes,1
5,c,2,1,247,5.929166667,yes,1
5,c,2,2,448,5.955833333,yes,1
5,c,2,3,348,5.983888889,yes,1
5,c,2,4,852,6.010555556,yes,1
5,c,3,1,289,6.037777778,yes,1
5,c,3,2,584,6.066111111,yes,1
5,c,1,1,234,26.84277778,yes,2
5,c,1,2,188,26.89166667,yes,2
5,c,1,3,325,26.92527778,yes,2
5,c,1,4,496,26.9575,yes,2
5,c,1,1,583,50.79166667,yes,3
5,c,1,2,447,50.82861111,yes,3
5,c,1,3,428,50.86138889,yes,3
5,c,1,4,733,50.89722222,yes,3
5,c,2,1,819,75.42166667,yes,4
5,c,2,2,1011,75.45805556,yes,4
5,c,2,3,857,75.48944444,yes,4
5,c,2,4,873,75.52694444,yes,4
5,c,2,1,1361,99.12861111,yes,5
5,c,2,2,458,99.16388889,yes,5
5,c,2,3,414,99.20055556,yes,5
5,c,2,4,264,99.23527778,yes,5
5,c,3,1,1903,147.6258333,yes,6
5,c,3,2,1993,147.6622222,yes,6
5,c,3,3,2542,147.71,yes,6
5,c,3,4,4646,147.7508333,yes,6
5,c,2,1,3448,148.2791667,yes,6
5,c,2,2,2319,148.3144444,yes,6
5,c,2,3,2323,148.3519444,yes,6
5,c,2,4,3053,148.3883333,yes,6
5,c,4,1,12214,172.9280556,yes,7
5,c,4,2,9055,172.9708333,yes,7
5,c,4,3,6128,173.0136111,yes,7
5,c,4,4,10616,173.0452778,yes,7
10,c,3,3,1296,1.600555556,yes,1
10,c,3,4,1398,1.630555556,yes,1
10,c,4,1,377,1.661944444,yes,1
10,c,4,2,1183,1.720833333,yes,1
10,c,4,3,1288,1.750833333,yes,1
10,c,4,4,639,1.785833333,yes,1
10,c,5,1,753,1.818611111,yes,1
10,c,5,2,699,1.849444444,yes,1
10,c,5,3,1183,1.884166667,yes,1
10,c,5,4,913,1.913611111,yes,1
10,c,1,1,891,4.729722222,yes,1
10,c,1,2,1573,4.754722222,yes,1
10,c,1,3,422,4.781944444,yes,1
10,c,1,4,789,4.807222222,yes,1
10,c,2,1,371,4.833611111,yes,1
10,c,2,2,401,4.860555556,yes,1
10,c,2,3,547,4.8875,yes,1
10,c,2,4,1103,4.914166667,yes,1
10,c,3,1,460,4.941388889,yes,1
10,c,3,2,885,4.965833333,yes,1
10,c,1,1,656,26.39722222,yes,2
10,c,1,2,523,26.42583333,yes,2
10,c,1,3,740,26.46388889,yes,2
10,c,1,4,337,26.5175,yes,2
10,c,1,1,1543,50.40277778,yes,3
10,c,1,2,1233,50.43166667,yes,3
10,c,1,3,2455,50.46083333,yes,3
10,c,1,4,1381,50.49166667,yes,3
10,c,2,1,7632,75.27138889,yes,4
10,c,2,2,8920,75.31027778,yes,4
10,c,2,3,3354,75.34694444,yes,4
10,c,2,4,7739,75.38666667,yes,4
10,c,3,1,5311,93.47055556,yes,5
10,c,3,2,11108,93.50916667,yes,5
10,c,3,3,8550,93.54861111,yes,5
10,c,3,4,7455,93.57944444,yes,5
10,c,3,1,15645,125.5263889,yes,6
10,c,3,2,19219,125.5669444,yes,6
10,c,3,3,17575,125.6113889,yes,6
10,c,3,4,17431,125.6491667,yes,6
16,c,3,3,604,0,yes,1
16,c,3,4,407,0.053611111,yes,1
16,c,4,1,785,0.081944444,yes,1
16,c,4,2,897,0.105,yes,1
16,c,4,3,377,0.129166667,yes,1
16,c,4,4,109,0.161666667,yes,1
16,c,5,1,538,0.182777778,yes,1
16,c,5,2,269,0.204166667,yes,1
16,c,5,3,161,0.225833333,yes,1
16,c,5,4,377,0.247777778,yes,1
16,c,1,1,268,0.285,yes,1
16,c,1,2,108,0.308888889,yes,1
16,c,1,3,377,0.332777778,yes,1
16,c,1,4,471,0.369444444,yes,1
16,c,2,1,430,0.398333333,yes,1
16,c,2,2,376,0.425277778,yes,1
16,c,2,3,428,0.504722222,yes,1
16,c,2,4,323,0.542777778,yes,1
16,c,3,1,538,0.566111111,yes,1
16,c,3,2,698,0.588055556,yes,1
16,c,1,1,680,26.18944444,yes,2
16,c,1,2,444,26.21666667,yes,2
16,c,1,3,951,26.24472222,yes,2
16,c,1,4,1284,26.27972222,yes,2
16,c,1,1,10783,50.00138889,yes,3
16,c,1,2,8958,50.03611111,yes,3
16,c,1,3,9654,50.06861111,yes,3
16,c,1,4,12889,50.09861111,yes,3
16,c,2,1,21409,74.76916667,yes,4
16,c,2,2,20162,74.79833333,yes,4
16,c,2,3,17598,74.82805556,yes,4
16,c,2,4,20405,74.85916667,yes,4
20,c,NA,NA,1228,0.800833333,yes,1
20,c,NA,NA,850,0.83,yes,1
20,c,NA,NA,1041,0.857777778,yes,1
20,c,NA,NA,798,0.885277778,yes,1
20,c,3,3,1291,0.8925,yes,1
20,c,NA,NA,1139,0.915,yes,1
20,c,3,4,430,0.923333333,yes,1
20,c,NA,NA,1054,0.947222222,yes,1
20,c,4,1,410,0.956388889,yes,1
20,c,NA,NA,584,0.981944444,yes,1
20,c,NA,NA,1171,1.009722222,yes,1
20,c,4,2,289,1.016388889,yes,1
20,c,4,3,644,1.0325,yes,1
20,c,NA,NA,729,1.037222222,yes,1
20,c,4,4,861,1.061944444,yes,1
20,c,NA,NA,833,1.066666667,yes,1
20,c,5,1,1721,1.083611111,yes,1
20,c,NA,NA,1013,1.095833333,yes,1
20,c,5,2,592,1.114722222,yes,1
20,c,5,3,592,1.139722222,yes,1
20,c,5,4,1291,1.1625,yes,1
20,c,1,1,323,1.191666667,yes,1
20,c,1,2,377,1.2125,yes,1
20,c,1,3,1170,1.240555556,yes,1
20,c,1,4,916,1.275555556,yes,1
20,c,2,1,592,1.301666667,yes,1
20,c,2,2,592,1.326666667,yes,1
20,c,2,3,645,1.348333333,yes,1
20,c,2,4,1332,1.370277778,yes,1
20,c,3,1,717,1.412222222,yes,1
20,c,3,2,958,1.45,yes,1
20,c,NA,NA,1011,23.74361111,yes,2
20,c,NA,NA,1228,23.77944444,yes,2
20,c,NA,NA,468,23.80916667,yes,2
20,c,NA,NA,861,23.83944444,yes,2
20,c,1,1,1294,26.00694444,yes,2
20,c,1,2,988,26.03722222,yes,2
20,c,1,3,1153,26.07,yes,2
20,c,1,4,1294,26.10416667,yes,2
20,c,NA,NA,1559,29.04583333,yes,3
20,c,NA,NA,2315,29.07527778,yes,3
20,c,NA,NA,2534,29.10333333,yes,3
20,c,NA,NA,2877,29.1325,yes,3
20,c,NA,NA,2787,32.54277778,yes,4
20,c,NA,NA,2232,32.57138889,yes,4
20,c,NA,NA,2711,32.60055556,yes,4
20,c,NA,NA,3799,32.63083333,yes,4
20,c,NA,NA,7122,47.07944444,yes,5
20,c,NA,NA,9436,47.11027778,yes,5
20,c,NA,NA,11014,47.14,yes,5
20,c,NA,NA,8019,47.17,yes,5
20,c,1,1,17561,49.86138889,yes,5
20,c,1,2,14853,49.8925,yes,5
20,c,1,3,17264,49.92611111,yes,5
20,c,1,4,17948,49.96027778,yes,5
20,c,NA,NA,9753,50.3125,yes,5
20,c,NA,NA,8764,50.34111111,yes,5
20,c,NA,NA,12086,50.37055556,yes,5
20,c,NA,NA,12194,50.40277778,yes,5
24,c,NA,NA,667,2.560277778,yes,1
24,c,NA,NA,814,2.602777778,yes,1
24,c,NA,NA,1305,2.631111111,yes,1
24,c,NA,NA,1063,2.661944444,yes,1
24,c,NA,NA,825,2.691111111,yes,1
24,c,1,1,1013,2.698888889,yes,1
24,c,1,2,1076,2.72,yes,1
24,c,NA,NA,768,2.72,yes,1
24,c,NA,NA,381,2.752222222,yes,1
24,c,1,3,698,2.763611111,yes,1
24,c,NA,NA,703,2.784166667,yes,1
24,c,1,4,914,2.786388889,yes,1
24,c,2,1,746,2.808055556,yes,1
24,c,NA,NA,534,2.825277778,yes,1
24,c,2,2,713,2.840833333,yes,1
24,c,NA,NA,723,2.855555556,yes,1
24,c,2,3,861,2.8625,yes,1
24,c,NA,NA,1102,2.884722222,yes,1
24,c,2,4,698,2.885833333,yes,1
24,c,NA,NA,1054,2.914166667,yes,1
24,c,3,1,968,2.914722222,yes,1
24,c,3,2,388,2.946666667,yes,1
24,c,3,3,575,4.195,yes,1
24,c,3,4,879,4.22,yes,1
24,c,4,1,451,4.248055556,yes,1
24,c,4,2,469,4.278611111,yes,1
24,c,4,3,350,4.308333333,yes,1
24,c,4,4,353,4.338333333,yes,1
24,c,5,1,937,4.375,yes,1
24,c,5,2,343,4.405277778,yes,1
24,c,5,3,616,4.434444444,yes,1
24,c,5,4,971,4.461944444,yes,1
24,c,NA,NA,1662,23.4375,yes,1
24,c,NA,NA,1676,23.46666667,yes,2
24,c,NA,NA,1716,23.49583333,yes,2
24,c,NA,NA,807,23.52388889,yes,2
24,c,NA,NA,1140,23.57583333,yes,2
24,c,NA,NA,750,23.62888889,yes,2
24,c,NA,NA,1368,23.65694444,yes,2
24,c,NA,NA,2056,23.68638889,yes,2
24,c,1,1,2481,25.48444444,yes,3
24,c,1,2,2335,25.51472222,yes,3
24,c,1,3,2019,25.61138889,yes,3
24,c,1,4,1314,25.6675,yes,3
24,c,NA,NA,3119,28.58194444,yes,4
24,c,NA,NA,2469,28.61055556,yes,4
24,c,NA,NA,2327,28.64611111,yes,4
24,c,NA,NA,2905,28.67444444,yes,4
24,c,NA,NA,5721,32.39638889,yes,5
24,c,NA,NA,4379,32.42555556,yes,5
24,c,NA,NA,5556,32.45555556,yes,5
24,c,NA,NA,5793,32.48527778,yes,5
24,c,NA,NA,14210,46.62805556,yes,6
24,c,NA,NA,14008,46.65805556,yes,6
24,c,NA,NA,13937,46.68638889,yes,6
24,c,NA,NA,13223,46.71638889,yes,6
24,c,NA,NA,11592,49.71777778,yes,7
24,c,1,1,20975,49.71888889,yes,7
24,c,NA,NA,15855,49.74805556,yes,7
24,c,1,2,21419,49.75111111,yes,7
