curve code,isolate code,study notes,year of publication,growth metric,light metric,light level original units,light level microeinsteins,daylight hours,salinity,pH
353,330,Nielsen & Tønseth (1991),1991,k,microeinsteins/m2/s,255,255,NA,22.3,NA
354,330,Nielsen & Tønseth (1991),1991,k,microeinsteins/m2/s,255,255,NA,28.8,NA
355,330,Nielsen & Tønseth (1991),1991,k,microeinsteins/m2/s,255,255,NA,34,NA
356,173,Anderson (1985),1985,k,microeinsteins/m2/s,350,350,NA,14,NA
357,99,Sorokin (1960),1960,k,foot-candles,1600,233.6,NA,NA,NA
358,99,Sorokin (1960),1960,k,foot-candles,440,64.24,NA,NA,NA
359,445,Sorokin (1960),1960,k,foot-candles,1600,233.6,NA,NA,NA
360,445,Sorokin (1960),1960,k,foot-candles,440,64.24,NA,NA,NA
361,266,Baars (1986),1986,k,lux,4000,56,14,NA,NA
363,198,Ferguson (1976),1976,k,lux,1100,15.4,NA,NA,NA
364,198,Ferguson (1976),1976,k,lux,2200,30.8,NA,NA,NA
365,198,Ferguson (1976),1976,k,lux,4300,60.2,NA,NA,NA
366,431,Li (1980),1980,mu,NA,NA,NA,NA,NA,NA
367,209,Fogg et al. (1959),1959,mu,lux,3700,51.8,NA,NA,NA
368,209,Fogg et al. (1959),1959,mu,lux,15000,210,NA,NA,NA
369,426,Weiler & Eppley (1979),1979,mu,quanta/cm2/s,1.59 x 10^16,265,12,NA,NA
371,224,Mechling (1982),1982,k,microeinsteins/m2/s,100,100,14,NA,NA
372,224,Mechling (1982),1982,k,microeinsteins/m2/s,100,100,14,NA,NA
373,426,Meeson (1982),1982,k,NA,saturating,NA,14,NA,NA
374,127,Meeson (1982),1982,k,NA,saturating,NA,14,NA,NA
375,58,Usup et al. (1994),1994,k,NA,NA,NA,14,NA,NA
376,157,Lee (2007a),2007,mu,microeinsteins/m2/s,100,100,24,NA,NA
377,159,Lee (2007a),2007,mu,microeinsteins/m2/s,100,100,24,NA,NA
378,144,Lee (2007a),2007,mu,microeinsteins/m2/s,100,100,24,NA,NA
379,156,Lee (2007a),2007,mu,microeinsteins/m2/s,100,100,24,NA,NA
380,155,Lee (2007a),2007,mu,microeinsteins/m2/s,100,100,24,NA,NA
381,148,Kim et al. (2008),2008,mu,microeinsteins/m2/s,60,60,24,NA,NA
382,153,Kim et al. (2008),2008,mu,microeinsteins/m2/s,60,60,24,NA,NA
383,149,Kim et al. (2008),2008,mu,microeinsteins/m2/s,60,60,24,NA,NA
384,341,Larsen & Bryant (1998),1998,k,microeinsteins/m2/s,230,230,14,NA,NA
385,321,Larsen & Bryant (1998),1998,k,microeinsteins/m2/s,230,230,14,NA,NA
386,268,Larsen & Bryant (1998),1998,k,microeinsteins/m2/s,230,230,14,NA,NA
387,342,Larsen & Bryant (1998),1998,k,microeinsteins/m2/s,230,230,14,NA,NA
388,19,Larsen & Bryant (1998),1998,k,microeinsteins/m2/s,230,230,14,NA,NA
389,263,Larsen & Bryant (1998),1998,k,microeinsteins/m2/s,230,230,14,NA,NA
390,85,Band-Schmidt (2004),2004,mu,microeinsteins/m2/s,230,230,10,NA,NA
391,84,Bollmann et al. (2010),2010,k,microeinsteins/m2/s,175,175,14,NA,NA
392,158,Bollmann et al. (2010),2010,k,microeinsteins/m2/s,175,175,14,NA,NA
393,83,Bollmann et al. (2010),2010,k,microeinsteins/m2/s,175,175,14,NA,NA
394,168,Bollmann et al. (2010),2010,k,microeinsteins/m2/s,175,175,14,NA,NA
395,238,Bollmann et al. (2010),2010,k,microeinsteins/m2/s,175,175,14,NA,NA
396,178,Bollmann et al. (2010),2010,k,microeinsteins/m2/s,175,175,14,NA,NA
397,219,Watras et al. (1982),1982,mu,microeinsteins/m2/s,170,170,14,25.5,NA
398,219,Watras et al. (1982),1982,mu,microeinsteins/m2/s,170,170,14,35.5,NA
399,242,Lewis (1993),1993,k,microeinsteins/m2/s,80 - 180 ,130,12,NA,NA
400,126,Miller & Kamykowski (1986a),1986,mu,microeinsteins/m2/s,140,140,12,8,NA
401,126,Miller & Kamykowski (1986a),1986,mu,microeinsteins/m2/s,140,140,12,15,NA
402,126,Miller & Kamykowski (1986a),1986,mu,microeinsteins/m2/s,140,140,12,20,NA
403,126,Miller & Kamykowski (1986a),1986,mu,microeinsteins/m2/s,140,140,12,26,NA
404,126,Miller & Kamykowski (1986a),1986,mu,microeinsteins/m2/s,140,140,12,32,NA
405,126,Miller & Kamykowski (1986b),1986,mu,microeinsteins/m2/s,30,30,12,8,NA
406,126,Miller & Kamykowski (1986b),1986,mu,microeinsteins/m2/s,30,30,12,15,NA
407,126,Miller & Kamykowski (1986b),1986,mu,microeinsteins/m2/s,30,30,12,20,NA
408,126,Miller & Kamykowski (1986b),1986,mu,microeinsteins/m2/s,30,30,12,26,NA
409,126,Miller & Kamykowski (1986b),1986,mu,microeinsteins/m2/s,30,30,12,32,NA
410,107,Watabe & Wilbur (1966),1966,k,lux,5380,75.32,NA,NA,NA
411,107,Watabe & Wilbur (1966),1966,k,lux,3540,49.56,NA,NA,NA
412,211,Smayda (1969),1969,k,foot-candles,200,29.2,NA,5,NA
413,211,Smayda (1969),1969,k,foot-candles,200,29.2,NA,10,NA
414,211,Smayda (1969),1969,k,foot-candles,200,29.2,NA,15,NA
415,211,Smayda (1969),1969,k,foot-candles,200,29.2,NA,20,NA
416,211,Smayda (1969),1969,k,foot-candles,200,29.2,NA,25,NA
417,211,Smayda (1969),1969,k,foot-candles,200,29.2,NA,30,NA
418,211,Smayda (1969),1969,k,foot-candles,200,29.2,NA,35,NA
419,211,Smayda (1969),1969,k,foot-candles,600,87.6,NA,5,NA
420,211,Smayda (1969),1969,k,foot-candles,600,87.6,NA,10,NA
421,211,Smayda (1969),1969,k,foot-candles,600,87.6,NA,15,NA
422,211,Smayda (1969),1969,k,foot-candles,600,87.6,NA,20,NA
423,211,Smayda (1969),1969,k,foot-candles,600,87.6,NA,25,NA
424,211,Smayda (1969),1969,k,foot-candles,600,87.6,NA,30,NA
425,211,Smayda (1969),1969,k,foot-candles,600,87.6,NA,35,NA
426,211,Smayda (1969),1969,k,foot-candles,1200,175.2,NA,5,NA
427,211,Smayda (1969),1969,k,foot-candles,1200,175.2,NA,10,NA
428,211,Smayda (1969),1969,k,foot-candles,1200,175.2,NA,15,NA
429,211,Smayda (1969),1969,k,foot-candles,1200,175.2,NA,20,NA
430,211,Smayda (1969),1969,k,foot-candles,1200,175.2,NA,25,NA
431,211,Smayda (1969),1969,k,foot-candles,1200,175.2,NA,30,NA
432,211,Smayda (1969),1969,k,foot-candles,1200,175.2,NA,35,NA
433,211,Smayda (1969),1969,k,foot-candles,1800,262.8,NA,5,NA
434,211,Smayda (1969),1969,k,foot-candles,1800,262.8,NA,10,NA
435,211,Smayda (1969),1969,k,foot-candles,1800,262.8,NA,15,NA
436,211,Smayda (1969),1969,k,foot-candles,1800,262.8,NA,20,NA
437,211,Smayda (1969),1969,k,foot-candles,1800,262.8,NA,25,NA
438,211,Smayda (1969),1969,k,foot-candles,1800,262.8,NA,30,NA
439,211,Smayda (1969),1969,k,foot-candles,1800,262.8,NA,35,NA
440,198,Guillard & Ryther (1962),1962,k,lux,4500,63,NA,NA,NA
441,200,Guillard & Ryther (1962),1962,k,lux,4500,63,NA,NA,NA
442,207,Guillard & Ryther (1962),1962,k,lux,4500,63,NA,NA,NA
443,188,Guillard & Ryther (1962),1962,k,lux,4500,63,NA,NA,NA
444,120,Guillard & Ryther (1962),1962,k,lux,4500,63,NA,NA,NA
445,211,Guillard & Ryther (1962),1962,k,lux,11000,154,NA,NA,NA
446,203,Van Auken & McNulty (1973),1973,k,lux,5350,74.9,20,NA,NA
447,161,Fujimoto et al. (1997),1997,mu,quanta/cm2/s,0.39 * 10^16,65,NA,NA,NA
448,161,Fujimoto et al. (1997),1997,mu,quanta/cm2/s,0.39 * 10^16,65,NA,NA,NA
449,165,Fujimoto et al. (1997),1997,mu,quanta/cm2/s,0.39 * 10^16,65,NA,NA,NA
450,165,Fujimoto et al. (1997),1997,mu,quanta/cm2/s,0.39 * 10^16,65,NA,NA,NA
451,1,Vona (2004),2004,mu,microeinsteins/m2/s,130,130,24,NA,NA
452,99,Vona (2004),2004,mu,microeinsteins/m2/s,130,130,24,NA,NA
453,98,Baker et al. (2007),2007,mu,microeinsteins/m2/s,217,217,NA,17.8,NA
454,179,Iriarte & Purdie (1993),1993,mu per hour,microeinsteins/m2/s,10,10,12,NA,NA
455,179,Iriarte & Purdie (1993),1993,mu per hour,microeinsteins/m2/s,25,25,12,NA,NA
456,179,Iriarte & Purdie (1993),1993,mu per hour,microeinsteins/m2/s,55,55,12,NA,NA
457,147,Thompson (1992),1992,mu,microeinsteins/m2/s,220,220,NA,NA,NA
461,198,Thompson (1992),1992,mu,microeinsteins/m2/s,220,220,NA,NA,NA
465,406,Thompson (1992),1992,mu,microeinsteins/m2/s,220,220,NA,NA,NA
470,88,Thompson (1992),1992,mu,microeinsteins/m2/s,220,220,NA,NA,NA
474,259,Thompson (1992),1992,mu,microeinsteins/m2/s,220,220,NA,NA,NA
477,420,Thompson (1992),1992,mu,microeinsteins/m2/s,220,220,NA,NA,NA
481,318,Thompson (1992),1992,mu,microeinsteins/m2/s,220,220,NA,NA,NA
485,38,Thompson (1992),1992,mu,microeinsteins/m2/s,220,220,NA,NA,NA
489,215,Langdon (1988),1988,k,NA,NA,NA,14,NA,NA
490,212,Langdon (1988),1988,k,NA,NA,NA,14,NA,NA
491,402,Langdon (1988),1988,k,NA,NA,NA,14,NA,NA
492,349,Goldman (1979),1979,mu,Langleys/min,0.025,80.015175,24,NA,NA
493,215,Falkowski (1977),1977,k,Langleys/min,0.05,160.03035,24,NA,NA
494,447,Cook (1966),1966,k,NA,NA,NA,NA,NA,NA
495,383,Cook (1966),1966,k,NA,NA,NA,NA,NA,NA
496,60,Findlay (1972),1972,k,lux,5500-8000,94.5,NA,NA,NA
497,201,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,6,NA,NA
498,201,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,12,NA,NA
499,201,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,18,NA,NA
500,298,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,6,NA,NA
501,298,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,12,NA,NA
502,298,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,18,NA,NA
503,204,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,6,NA,NA
504,204,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,12,NA,NA
505,204,Hobson (1974),1974,k,cal/cm2/min,0.1,320.0607,18,NA,NA
506,336,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
507,350,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
508,337,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
509,335,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
510,328,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
511,359,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
512,332,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
513,351,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
514,327,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
515,333,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
516,333,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
517,334,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
518,360,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
519,338,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
520,331,Throndsen (1976),1976,k,lux,4000 - 7000,77,NA,NA,NA
521,427,Yanase & Imai (1968),1968,mu,lux,1500,21,NA,NA,NA
522,427,Yanase & Imai (1968),1968,mu,lux,4500,63,NA,NA,NA
523,427,Yanase & Imai (1968),1968,mu,lux,8000,112,NA,NA,NA
524,427,Yanase & Imai (1968),1968,mu,lux,12500,175,NA,NA,NA
525,438,Yanase & Imai (1968),1968,mu,lux,1500,21,NA,NA,NA
526,438,Yanase & Imai (1968),1968,mu,lux,4500,63,NA,NA,NA
527,438,Yanase & Imai (1968),1968,mu,lux,8000,112,NA,NA,NA
528,438,Yanase & Imai (1968),1968,mu,lux,12500,175,NA,NA,NA
529,414,Yanase & Imai (1968),1968,mu,lux,1500,21,NA,NA,NA
530,414,Yanase & Imai (1968),1968,mu,lux,4500,63,NA,NA,NA
531,414,Yanase & Imai (1968),1968,mu,lux,8000,112,NA,NA,NA
532,414,Yanase & Imai (1968),1968,mu,lux,12500,175,NA,NA,NA
533,404,Yanase & Imai (1968),1968,mu,lux,1500,21,NA,NA,NA
534,404,Yanase & Imai (1968),1968,mu,lux,4500,63,NA,NA,NA
535,404,Yanase & Imai (1968),1968,mu,lux,8000,112,NA,NA,NA
536,404,Yanase & Imai (1968),1968,mu,lux,12500,175,NA,NA,NA
537,205,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
538,257,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
539,256,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
541,222,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
542,220,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
543,223,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
544,221,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
545,51,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
546,57,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
547,54,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
548,55,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
549,56,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
550,53,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
551,52,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
552,109,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
553,145,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
554,181,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
555,180,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
556,110,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
557,92,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
558,91,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
559,93,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
560,90,Hulburt (1982),1982,k,foot-candles,1000,146,NA,NA,NA
561,87,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,10,NA
562,87,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,15,NA
563,87,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,20,NA
564,87,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,25,NA
565,87,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,30,NA
566,87,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,35,NA
567,87,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,40,NA
568,217,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,10,NA
569,217,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,15,NA
570,217,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,20,NA
571,217,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,25,NA
572,217,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,30,NA
573,217,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,35,NA
574,217,Krawiec (1982),1982,k,Langleys/min,0.025,80.015175,12,40,NA
575,440,Schöne (1972),1972,k,lux,1200,16.8,NA,NA,NA
576,440,Schöne (1972),1972,k,lux,2400,33.6,NA,NA,NA
577,269,Bruning (1991),1991,mu,microeinsteins/m2/s,2.5,2.5,NA,NA,NA
578,269,Bruning (1991),1991,mu,microeinsteins/m2/s,5,5,NA,NA,NA
579,269,Bruning (1991),1991,mu,microeinsteins/m2/s,10,10,NA,NA,NA
580,269,Bruning (1991),1991,mu,microeinsteins/m2/s,20,20,NA,NA,NA
581,269,Bruning (1991),1991,mu,microeinsteins/m2/s,40,40,NA,NA,NA
582,269,Bruning (1991),1991,mu,microeinsteins/m2/s,80,80,NA,NA,NA
583,269,Bruning (1991),1991,mu,microeinsteins/m2/s,160,160,NA,NA,NA
584,446,Tamiya et al. (1955),1955,k,lux,400,5.6,6,NA,NA
585,446,Tamiya et al. (1955),1955,k,lux,400,5.6,12,NA,NA
586,446,Tamiya et al. (1955),1955,k,lux,400,5.6,18,NA,NA
587,446,Tamiya et al. (1955),1955,k,lux,400,5.6,24,NA,NA
588,446,Tamiya et al. (1955),1955,k,lux,2000,28,6,NA,NA
589,446,Tamiya et al. (1955),1955,k,lux,2000,28,12,NA,NA
590,446,Tamiya et al. (1955),1955,k,lux,2000,28,18,NA,NA
591,446,Tamiya et al. (1955),1955,k,lux,2000,28,24,NA,NA
592,446,Tamiya et al. (1955),1955,k,lux,10000,140,6,NA,NA
593,446,Tamiya et al. (1955),1955,k,lux,10000,140,12,NA,NA
594,446,Tamiya et al. (1955),1955,k,lux,10000,140,18,NA,NA
595,446,Tamiya et al. (1955),1955,k,lux,10000,140,24,NA,NA
596,352,Schouten et al. (2006),2006,mu,microeinsteins/m2/s,300,300,16,25,NA
597,352,Schouten et al. (2006),2006,mu,microeinsteins/m2/s,300,300,16,29,NA
598,352,Schouten et al. (2006),2006,mu,microeinsteins/m2/s,300,300,16,35.1,NA
599,424,Schouten et al. (2006),2006,mu,microeinsteins/m2/s,300,300,16,24.8,NA
600,424,Schouten et al. (2006),2006,mu,microeinsteins/m2/s,300,300,16,29,NA
601,424,Schouten et al. (2006),2006,mu,microeinsteins/m2/s,300,300,16,35.1,NA
602,201,Strzepek & Price (2000),2000,mu,microeinsteins/m2/s,135,135,24,NA,NA
603,201,Strzepek & Price (2000),2000,mu,microeinsteins/m2/s,135,135,24,NA,NA
604,187,Ogata et al. (1989),1989,mu,lux,4000,56,NA,NA,NA
605,66,Ogata et al. (1989),1989,mu,lux,4000,56,NA,NA,NA
606,130,Ogata et al. (1989),1989,mu,lux,4000,56,NA,NA,NA
607,73,Schöne (1982),1982,k,lux,200,2.8,12,NA,NA
608,72,Schöne (1982),1982,k,lux,200,2.8,12,NA,NA
609,74,Schöne (1982),1982,k,lux,200,2.8,12,NA,NA
610,75,Schöne (1982),1982,k,lux,200,2.8,12,NA,NA
611,117,Yamatogi (2005),2005,mu,NA,NA,NA,NA,16,NA
612,117,Yamatogi (2005),2005,mu,NA,NA,NA,NA,20,NA
613,117,Yamatogi (2005),2005,mu,NA,NA,NA,NA,24,NA
614,117,Yamatogi (2005),2005,mu,NA,NA,NA,NA,28,NA
615,117,Yamatogi (2005),2005,mu,NA,NA,NA,NA,32,NA
616,117,Yamatogi (2005),2005,mu,NA,NA,NA,NA,36,NA
617,118,Yamatogi (2005),2005,mu,NA,NA,NA,NA,16,NA
618,118,Yamatogi (2005),2005,mu,NA,NA,NA,NA,20,NA
619,118,Yamatogi (2005),2005,mu,NA,NA,NA,NA,24,NA
620,118,Yamatogi (2005),2005,mu,NA,NA,NA,NA,28,NA
621,118,Yamatogi (2005),2005,mu,NA,NA,NA,NA,32,NA
622,118,Yamatogi (2005),2005,mu,NA,NA,NA,NA,36,NA
623,119,Yamatogi (2005),2005,mu,NA,NA,NA,NA,16,NA
624,119,Yamatogi (2005),2005,mu,NA,NA,NA,NA,20,NA
625,119,Yamatogi (2005),2005,mu,NA,NA,NA,NA,24,NA
626,119,Yamatogi (2005),2005,mu,NA,NA,NA,NA,28,NA
627,119,Yamatogi (2005),2005,mu,NA,NA,NA,NA,32,NA
628,119,Yamatogi (2005),2005,mu,NA,NA,NA,NA,36,NA
629,129,Yamatogi (2005),2005,mu,NA,NA,NA,NA,16,NA
630,129,Yamatogi (2005),2005,mu,NA,NA,NA,NA,20,NA
631,129,Yamatogi (2005),2005,mu,NA,NA,NA,NA,24,NA
632,129,Yamatogi (2005),2005,mu,NA,NA,NA,NA,28,NA
633,129,Yamatogi (2005),2005,mu,NA,NA,NA,NA,32,NA
634,129,Yamatogi (2005),2005,mu,NA,NA,NA,NA,36,NA
635,218,Kudo et al. (2000),2000,mu,microeinsteins/m2/s,80-90,85,24,NA,NA
636,218,Kudo et al. (2000),2000,mu,microeinsteins/m2/s,80-90,85,24,NA,NA
637,437,Mortain-Bertrand et al. (1988),1988,k,microeinsteins/m2/s,40,40,24,NA,NA
638,15,Buitenhuis et al. (2008),2008,mu,microeinsteins/m2/s,180,NA,14,NA,NA
639,23,Buitenhuis et al. (2008),2008,mu,microeinsteins/m2/s,180,NA,14,NA,NA
640,33,Buitenhuis et al. (2008),2008,mu,microeinsteins/m2/s,300,NA,14,NA,NA
641,26,Buitenhuis et al. (2008),2008,mu,microeinsteins/m2/s,300,NA,14,NA,NA
642,32,Buitenhuis et al. (2008),2008,mu,microeinsteins/m2/s,180,NA,14,NA,NA
643,196,Buitenhuis et al. (2008),2008,mu,microeinsteins/m2/s,180,NA,14,NA,NA
644,64,Meier et al. (2004),2004,k,microeinsteins/m2/s,60-90,75,12,NA,NA
645,59,Meier et al. (2004),2004,k,microeinsteins/m2/s,60-90,75,12,NA,NA
646,61,Meier et al. (2004),2004,k,microeinsteins/m2/s,60-90,75,12,NA,NA
647,44,Meier et al. (2004),2004,k,microeinsteins/m2/s,60-90,75,12,NA,NA
649,45,Meier et al. (2004),2004,k,microeinsteins/m2/s,60-90,75,12,NA,NA
650,132,Nishikawa & Yamaguchi (2006),2006,k,NA,optimal at each temp,NA,NA,NA,NA
651,232,Grzebyk & Berland (1996),1996,k,microeinsteins/m2/s,30-500,NA,24,NA,NA
661,308,Saxby-Rouen et al. (1997),1997,mu,microeinsteins/m2/s,230,230,24,NA,NA
662,258,Briand et al. (2004),2004,mu,microeinsteins/m2/s,30,30,16,NA,NA
663,250,Briand et al. (2004),2004,mu,microeinsteins/m2/s,30,30,16,NA,NA
664,279,Briand et al. (2004),2004,mu,microeinsteins/m2/s,30,30,16,NA,NA
665,46,Briand et al. (2004),2004,mu,microeinsteins/m2/s,30,30,16,NA,NA
666,29,Briand et al. (2004),2004,mu,microeinsteins/m2/s,30,30,16,NA,NA
667,76,Briand et al. (2004),2004,mu,microeinsteins/m2/s,30,30,16,NA,NA
668,71,Briand et al. (2004),2004,mu,microeinsteins/m2/s,30,30,16,NA,NA
669,392,Briand et al. (2004),2004,mu,microeinsteins/m2/s,30,30,16,NA,NA
670,250,Shafik et al. (2001),2001,mu,microeinsteins/m2/s,100,100,24,NA,NA
671,250,Shafik et al. (2001),2001,mu,microeinsteins/m2/s,100,100,24,NA,NA
672,250,Shafik et al. (2001),2001,mu,microeinsteins/m2/s,100,100,24,NA,NA
673,225,Bravo & Anderson (1994),1994,k,microeinsteins/m2/s,150,150,14,NA,NA
674,371,Krüger & Eloff (1978),1978,mu,microeinsteins/m2/s,20,20,24,NA,NA
675,31,Krüger & Eloff (1978),1978,mu,microeinsteins/m2/s,20,20,24,NA,NA
676,374,Krüger & Eloff (1978),1978,mu,microeinsteins/m2/s,20,20,24,NA,NA
677,229,Krüger & Eloff (1978),1978,mu,microeinsteins/m2/s,33,33,24,NA,NA
678,229,Krüger & Eloff (1978),1978,mu,microeinsteins/m2/s,20,20,24,NA,NA
679,100,Krüger & Eloff (1978),1978,mu,microeinsteins/m2/s,33,33,24,NA,NA
680,347,Nordli (1957),1957,k,NA,NA,NA,NA,NA,NA
681,345,Nordli (1957),1957,k,NA,NA,NA,NA,NA,NA
682,344,Nordli (1957),1957,k,NA,NA,NA,NA,NA,NA
683,346,Nordli (1957),1957,k,NA,NA,NA,NA,NA,NA
684,340,Ahlgren (1978),1978,mu,microeinsteins/m2/s,37,37,NA,NA,NA
686,364,Johnson (2006),2006,mu,microeinsteins/m2/s,66,66,14,NA,NA
687,365,Johnson (2006),2006,mu,microeinsteins/m2/s,66,66,14,NA,NA
688,231,Johnson (2006),2006,mu,microeinsteins/m2/s,66,66,14,NA,NA
689,366,Johnson (2006),2006,mu,microeinsteins/m2/s,66,66,14,NA,NA
690,287,van Liere (1979),1979,mu per hour,W/m2,7,32.13,NA,NA,NA
693,65,Falcón (2005),2005,mu,microeinsteins/m2/s,100,100,12,NA,NA
694,78,Falcón (2005),2005,mu,microeinsteins/m2/s,100,100,12,NA,NA
695,79,Falcón (2005),2005,mu,microeinsteins/m2/s,100,100,12,NA,NA
696,396,Martínez et al. (1999),1999,mu per hour,lux,11334,158.676,24,NA,NA
697,254,Müller (1971),1971,k,lux,5000,70,NA,NA,NA
698,253,Müller (1971),1971,k,lux,5000,70,NA,NA,NA
699,252,Müller (1971),1971,k,lux,5000,70,NA,NA,NA
700,251,Müller (1971),1971,k,lux,5000,70,NA,NA,NA
701,255,Müller (1971),1971,k,lux,5000,70,NA,NA,NA
702,134,Breitbarth et al. (2007),2007,mu,NA,NA,NA,NA,NA,NA
703,114,Malinsky-Rushansky et al. (2002),2002,mu,NA,NA,NA,NA,NA,NA
704,115,Malinsky-Rushansky et al. (2002),2002,mu,NA,NA,NA,NA,NA,NA
705,113,Malinsky-Rushansky et al. (2002),2002,mu,NA,NA,NA,NA,NA,NA
706,407,Mortensen et al. (1988),1988,mu per hour,microeinsteins/m2/s,714,714,24,NA,NA
707,2,Teoh et al. (2004),2004,mu,microeinsteins/m2/s,42,42,12,NA,NA
708,4,Teoh et al. (2004),2004,mu,microeinsteins/m2/s,42,42,12,NA,NA
709,3,Teoh et al. (2004),2004,mu,microeinsteins/m2/s,42,42,12,NA,NA
710,240,El-Sabaawi & Harrison (2006),2006,mu,microeinsteins/m2/s,20,20,24,NA,NA
711,240,El-Sabaawi & Harrison (2006),2006,mu,microeinsteins/m2/s,50,50,24,NA,NA
712,240,El-Sabaawi & Harrison (2006),2006,mu,microeinsteins/m2/s,100,100,24,NA,NA
713,240,El-Sabaawi & Harrison (2006),2006,mu,microeinsteins/m2/s,150,150,24,NA,NA
714,8,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,46,46,24,NA,NA
715,8,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,72,72,24,NA,NA
716,8,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,155,155,24,NA,NA
717,8,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,220,220,24,NA,NA
718,13,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,46,46,24,NA,NA
719,13,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,72,72,24,NA,NA
720,13,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,155,155,24,NA,NA
721,13,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,220,220,24,NA,NA
722,10,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,46,46,24,NA,NA
723,10,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,72,72,24,NA,NA
724,10,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,155,155,24,NA,NA
725,10,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,220,220,24,NA,NA
726,11,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,46,46,24,NA,NA
727,11,Fiala & Oriol (1990),1990,mu,microeinsteins/m2/s,72,72,24,NA,NA
