curve code,isolate code,study notes,year of publication,growth metric,light metric,light level original units,light level microeinsteins,daylight hours,salinity,pH
32,275,van Donk & Kilham (1990),1990,mu,microeinsteins/m2/s,100,100,14,NA,NA
33,273,van Donk & Kilham (1990),1990,mu,microeinsteins/m2/s,100,100,14,NA,NA
34,313,Foy (1983),1983,k,microeinsteins/m2/s,180-200,190,3,NA,NA
35,393,Foy (1983),1983,k,microeinsteins/m2/s,180-200,190,3,NA,NA
36,388,Kratz & Myers (1955),1955,mu in log10 units,foot-candles,350,51.1,NA,NA,NA
37,400,Kratz & Myers (1955),1955,mu in log10 units,foot-candles,350,51.1,NA,NA,NA
38,398,Kratz & Myers (1955),1955,mu in log10 units,foot-candles,450,65.7,NA,NA,NA
39,184,Coles & Jones (2000),2000,mu,NA,NA,NA,NA,NA,NA
40,183,Coles & Jones (2000),2000,mu,NA,NA,NA,NA,NA,NA
41,185,Coles & Jones (2000),2000,mu,NA,NA,NA,NA,NA,NA
42,182,Coles & Jones (2000),2000,mu,NA,optimal at each temp,NA,24,NA,NA
43,140,Suzuki & Takahashi (1995),1995,mu,NA,optimal at each temp,NA,24,NA,NA
44,160,Suzuki & Takahashi (1995),1995,mu,NA,optimal at each temp,NA,14,NA,NA
45,146,Suzuki & Takahashi (1995),1995,mu,NA,optimal at each temp,NA,24,NA,NA
46,154,Suzuki & Takahashi (1995),1995,mu,NA,optimal at each temp,NA,24,NA,NA
47,235,Suzuki & Takahashi (1995),1995,mu,NA,optimal at each temp,NA,24,NA,NA
48,234,Suzuki & Takahashi (1995),1995,mu,NA,optimal at each temp,NA,24,NA,NA
49,361,Suzuki & Takahashi (1995),1995,mu,NA,optimal at each temp,NA,24,NA,NA
50,362,Suzuki & Takahashi (1995),1995,mu,NA,optimal at each temp,NA,24,NA,NA
51,218,Fawley (1984),1984,k,microeinsteins/m2/s,208,208,14,NA,NA
52,218,Fawley (1984),1984,k,microeinsteins/m2/s,117,117,14,NA,NA
53,218,Fawley (1984),1984,k,microeinsteins/m2/s,54,54,14,NA,NA
54,218,Fawley (1984),1984,k,microeinsteins/m2/s,24,24,14,NA,NA
55,218,Fawley (1984),1984,k,microeinsteins/m2/s,7,7,14,NA,NA
60,94,Moore et al. (1995),1995,mu,microeinsteins/m2/s,90,90,14,NA,NA
61,231,Moore et al. (1995),1995,mu,microeinsteins/m2/s,90,90,14,NA,NA
62,89,Moore et al. (1995),1995,mu,microeinsteins/m2/s,90,90,14,NA,NA
63,296,Richardson et al. (2000),2000,mu,NA,optimal at each temp,NA,NA,NA,NA
64,297,Richardson et al. (2000),2000,mu,NA,optimal at each temp,NA,NA,NA,NA
65,161,Chu et al. (2007),2007,mu,lux,2000,28,12,NA,NA
66,164,Chu et al. (2007),2007,mu,lux,2000,28,12,NA,NA
67,143,Nalewajko & Murphy (2001),2001,k,NA,NA,NA,NA,NA,NA
68,141,Nalewajko & Murphy (2001),2001,k,NA,NA,NA,NA,NA,NA
69,142,Tsujimura et al. (2001),2001,mu,microeinsteins/m2/s,20,20,14,NA,NA
70,142,Tsujimura et al. (2001),2001,mu,microeinsteins/m2/s,50,50,14,NA,NA
71,142,Tsujimura et al. (2001),2001,mu,microeinsteins/m2/s,150,150,14,NA,NA
72,376,Novak & Brune (1985),1985,mu per hour,foot-candles,600,87.6,NA,NA,NA
73,376,Novak & Brune (1985),1985,mu per hour,foot-candles,420,61.32,NA,NA,NA
74,376,Novak & Brune (1985),1985,mu per hour,foot-candles,250,36.5,NA,NA,NA
75,111,Novak & Brune (1985),1985,mu per hour,foot-candles,600,87.6,NA,NA,NA
76,111,Novak & Brune (1985),1985,mu per hour,foot-candles,420,61.32,NA,NA,NA
77,111,Novak & Brune (1985),1985,mu per hour,foot-candles,250,36.5,NA,NA,NA
78,395,Novak & Brune (1985),1985,mu per hour,foot-candles,600,87.6,NA,NA,NA
79,395,Novak & Brune (1985),1985,mu per hour,foot-candles,420,61.32,NA,NA,NA
80,395,Novak & Brune (1985),1985,mu per hour,foot-candles,250,36.5,NA,NA,NA
81,382,Novak & Brune (1985),1985,mu per hour,foot-candles,600,87.6,NA,NA,NA
82,382,Novak & Brune (1985),1985,mu per hour,foot-candles,420,61.32,NA,NA,NA
83,382,Novak & Brune (1985),1985,mu per hour,foot-candles,250,36.5,NA,NA,NA
84,389,Novak & Brune (1985),1985,mu per hour,foot-candles,600,87.6,NA,NA,NA
85,389,Novak & Brune (1985),1985,mu per hour,foot-candles,420,61.32,NA,NA,NA
86,389,Novak & Brune (1985),1985,mu per hour,foot-candles,250,36.5,NA,NA,NA
87,101,Novak & Brune (1985),1985,mu per hour,foot-candles,600,87.6,NA,NA,NA
88,101,Novak & Brune (1985),1985,mu per hour,foot-candles,420,61.32,NA,NA,NA
89,101,Novak & Brune (1985),1985,mu per hour,foot-candles,250,36.5,NA,NA,NA
90,391,Post et al. (1985),1985,mu per hour,W/m2,28,128.52,16,NA,NA
91,391,Post et al. (1985),1985,mu per hour,W/m2,8,36.72,16,NA,NA
92,391,Post et al. (1985),1985,mu per hour,W/m2,4,18.36,16,NA,NA
93,391,Post et al. (1985) compiled from Zevenboom (1980),1985,mu per hour,NA,NA,NA,24,NA,NA
