term,estimate,std.error,statistic,p.value
z,15.135306490248336,0.12368149652856067,122.37324834400977,0
w,33.9425201463419,0.06278472406715267,540.6174933577472,0
a,0.009290996398745513,0.0013636485490016621,6.813336475551215,9.536074347529913e-12
b,0.0944359959870138,0.006502789121484219,14.522383276279365,8.7417229881492475e-48
s,0.003438780529940786,7.934155199963357e-4,4.334148303472395,1.4632551098691162e-5
