isolate_code,temperature,growth_variable
1,0,-0.15622635370658736
1,0.1,-0.15017538897140575
1,0.2,-0.14413946870658242
1,0.30000000000000004,-0.13811897109502572
1,0.4,-0.13211427560191136
1,0.5,-0.12612576604461653
1,0.6000000000000001,-0.12015382817172401
1,0.7000000000000001,-0.11419885212305052
1,0.8,-0.1082612306189764
1,0.9,-0.10234136020045703
1,1,-0.09643963941856351
1,1.1,-0.09055647129493972
1,1.2000000000000002,-0.08469226151155809
1,1.3,-0.07884741904104627
1,1.4000000000000001,-0.0730223561670071
1,1.5,-0.06721748850444735
1,1.6,-0.061433236240547806
1,1.7000000000000002,-0.05567002049462137
1,1.8,-0.04992826760968027
1,1.9000000000000001,-0.04420840734296338
1,2,-0.038510872276804574
1,2.1,-0.03283609783973052
1,2.2,-0.027184524158016678
1,2.3000000000000003,-0.02155659424666627
1,2.4000000000000004,-0.01595275525107914
1,2.5,-0.010373456638259457
1,2.6,-0.004819153269061663
1,2.7,7.096988508315128e-4
1,2.8000000000000003,0.0062126376680845885
1,2.9000000000000004,0.011689199330497134
1,3,0.0171389151142907
1,3.1,0.022561313842314103
1,3.2,0.027955918811092956
1,3.3000000000000003,0.03332225081891187
1,3.4000000000000004,0.038659827533085014
1,3.5,0.0439681616368757
1,3.6,0.049246762636985734
1,3.7,0.054495136230461996
1,3.8000000000000003,0.05971278367148035
1,3.9000000000000004,0.06489920296835253
1,4,0.07005388886017835
1,4.1000000000000005,0.07517633035291267
1,4.2,0.08026601374634469
1,4.3,0.08532242200026027
1,4.4,0.09034503288024733
1,4.5,0.09533332015395046
1,4.6000000000000005,0.10028675478719895
1,4.7,0.10520480308942942
1,4.800000000000001,0.1100869260792108
1,4.9,0.11493258251033162
1,5,0.11974122640671976
1,5.1000000000000005,0.1245123070376926
1,5.2,0.12924527011330642
1,5.300000000000001,0.1339395571492288
1,5.4,0.13859460544159236
1,5.5,0.1432098474316013
1,5.6000000000000005,0.1477847119003497
1,5.7,0.1523186227230432
1,5.800000000000001,0.15681100128377892
1,5.9,0.16126126156880446
1,6,0.16566881563160146
1,6.1000000000000005,0.1700330711263327
1,6.2,0.17435342884115138
1,6.300000000000001,0.1786292881628711
1,6.4,0.18286004216953614
1,6.5,0.18704508004423592
1,6.6000000000000005,0.19118378582808657
1,6.7,0.19527553961353314
1,6.800000000000001,0.19931971690716355
1,6.9,0.20331568799237967
1,7,0.20726281973238733
1,7.1000000000000005,0.21116047310223407
1,7.2,0.2150080049915097
1,7.300000000000001,0.21880476695632547
1,7.4,0.2225501064116071
1,7.5,0.22624336599289674
1,7.6000000000000005,0.22988388352812103
1,7.7,0.2334709920092119
1,7.800000000000001,0.23700401834334736
1,7.9,0.24048228637485
1,8,0.24390511441589696
1,8.1,0.24727181521754027
1,8.200000000000001,0.2505816965506901
1,8.3,0.2538340630071764
1,8.4,0.2570282110893887
1,8.5,0.26016343528183733
1,8.6,0.26323902253036846
1,8.700000000000001,0.26625425648306894
1,8.8,0.2692084144096308
1,8.9,0.27210076900148095
1,9,0.2749305871211768
1,9.1,0.2776971316022194
1,9.200000000000001,0.28039965816778456
1,9.3,0.2830374190605621
1,9.4,0.2856096599611664
