file_name,temp,sample_day,cell_density,start_time,date,time,cell_volume,total_biovolume,keep,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-1-3_summary,15,1,1860,2017-03-10T16:17:36Z,2017-03-10,16:17:36,725.67,1349746.2,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-1-4_summary,15,1,1714,2017-03-10T16:19:48Z,2017-03-10,16:19:48,714.34,1224378.76,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-2-1_summary,15,2,2326,2017-03-10T16:15:07Z,2017-03-10,16:15:07,758.81,1764992.0599999998,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-2-2_summary,15,2,1890,2017-03-10T16:12:50Z,2017-03-10,16:12:50,1310.57,2476977.3,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-2-4_summary,15,2,1876,2017-03-10T16:10:25Z,2017-03-10,16:10:25,793.31,1488249.5599999998,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-3-4_summary,15,3,1718,2017-03-10T16:50:36Z,2017-03-10,16:50:36,840.57,1444099.26,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-4-1_summary,15,4,2499,2017-03-10T16:43:56Z,2017-03-10,16:43:56,823.63,2058251.3699999999,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-4-4_summary,15,4,1969,2017-03-10T16:48:23Z,2017-03-10,16:48:23,763.29,1502918.01,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-5-3_summary,15,5,1677,2017-03-10T16:40:45Z,2017-03-10,16:40:45,804.59,1349297.4300000002,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/15-5-4_summary,15,5,2290,2017-03-10T16:46:11Z,2017-03-10,16:46:11,914.4,2093976.0,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-1-1_summary,19,1,2622,2017-03-10T16:03:22Z,2017-03-10,16:03:22,790.62,2073005.64,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-1-3_summary,19,1,2127,2017-03-10T16:01:14Z,2017-03-10,16:01:14,937.24,1993509.48,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-2-1_summary,19,2,1652,2017-03-10T15:57:58Z,2017-03-10,15:57:58,880.41,1454437.3199999998,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-2-4_summary,19,2,1994,2017-03-10T15:55:45Z,2017-03-10,15:55:45,786.56,1568400.64,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-3-1_summary,19,3,1429,2017-03-10T15:53:17Z,2017-03-10,15:53:17,806.66,1152717.14,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-3-4_summary,19,3,1683,2017-03-10T15:47:52Z,2017-03-10,15:47:52,931.5,1567714.5,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-4-1_summary,19,4,1668,2017-03-10T15:45:48Z,2017-03-10,15:45:48,793.94,1324291.9200000002,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-4-3_summary,19,4,2537,2017-03-10T15:43:29Z,2017-03-10,15:43:29,815.12,2067959.44,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-5-1_summary,19,5,2248,2017-03-10T15:41:07Z,2017-03-10,15:41:07,871.41,1958929.68,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/19-5-3_summary,19,5,1764,2017-03-10T15:38:34Z,2017-03-10,15:38:34,891.12,1571935.68,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-1-1_summary,29,1,1889,2017-03-10T17:06:32Z,2017-03-10,17:06:32,926.06,1749327.3399999999,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-1-2_summary,29,1,1895,2017-03-10T16:54:32Z,2017-03-10,16:54:32,847.23,1605500.85,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-1-3_summary,29,1,3315,2017-03-10T17:04:23Z,2017-03-10,17:04:23,904.34,2997887.1,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-2-3_summary,29,2,2453,2017-03-10T16:56:33Z,2017-03-10,16:56:33,708.43,1737778.7899999998,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-2-4_summary,29,2,2019,2017-03-10T16:59:29Z,2017-03-10,16:59:29,789.68,1594363.92,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-3-3_summary,29,3,3178,2017-03-10T16:37:26Z,2017-03-10,16:37:26,780.35,2479952.3000000003,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-4-4_summary,29,4,2302,2017-03-10T16:35:22Z,2017-03-10,16:35:22,881.41,2029005.8199999998,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-5-1_summary,29,5,2279,2017-03-10T16:33:20Z,2017-03-10,16:33:20,903.95,2060102.05,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-5-2_summary,29,5,2618,2017-03-10T16:25:20Z,2017-03-10,16:25:20,913.86,2392485.48,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/29-5-4_summary,29,5,2992,2017-03-10T16:23:09Z,2017-03-10,16:23:09,1186.41,3549738.72,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-1-3_summary,35,1,2088,2017-03-10T15:12:51Z,2017-03-10,15:12:51,696.73,1454772.24,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-1-4_summary,35,1,2809,2017-03-10T15:05:19Z,2017-03-10,15:05:19,733.83,2061328.4700000002,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-2-2_summary,35,2,2184,2017-03-10T15:10:25Z,2017-03-10,15:10:25,787.97,1720926.48,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-mar10/35-2-3_summary,35,2,3331,2017-03-10T15:07:39Z,2017-03-10,15:07:39,745.38,2482860.78,keep,2017-03-10,2017-03-10 UTC--2017-03-10 UTC,0.0,0.0
