file_name,temp,variability,sample_day,replicate,cell_density,start_time,cell_volume
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-1_summary,10,c,1,1,891,2017-06-07  19:29:58,794.67
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-2_summary,10,c,1,2,1573,2017-06-07  19:31:28,816.02
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-3_summary,10,c,1,3,422,2017-06-07  19:33:06,651.51
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-4_summary,10,c,1,4,789,2017-06-07  19:34:37,720.14
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-1_summary,10,c,2,1,371,2017-06-07  19:36:12,608.16
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-2_summary,10,c,2,2,401,2017-06-07  19:37:49,401.83
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-3_summary,10,c,2,3,547,2017-06-07  19:39:26,997.16
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-4_summary,10,c,2,4,1103,2017-06-07  19:41:02,834.05
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-1_summary,10,c,3,1,460,2017-06-07  19:42:40,636.90
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-2_summary,10,c,3,2,885,2017-06-07  19:44:08,780.60
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-3_summary,10,c,3,3,1296,2017-06-07  16:22:13,1036.02
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-4_summary,10,c,3,4,1398,2017-06-07  16:24:01,1316.93
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-2_summary,10,c,4,2,1183,2017-06-07  16:29:26,1449.18
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-3_summary,10,c,4,3,1288,2017-06-07  16:31:14,1000.98
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-4_summary,10,c,4,4,639,2017-06-07  16:33:20,833.33
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-5-1_summary,10,c,5,1,753,2017-06-07  16:35:18,844.44
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-5-3_summary,10,c,5,3,1183,2017-06-07  16:39:14,916.38
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-1_summary,10,v,1,1,1291,2017-06-07  17:44:43,834.79
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-2_summary,10,v,1,2,604,2017-06-07  17:46:08,718.04
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-3_summary,10,v,1,3,861,2017-06-07  17:47:18,800.13
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-4_summary,10,v,1,4,966,2017-06-07  17:48:37,660.37
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-1_summary,10,v,2,1,791,2017-06-07  17:49:55,884.77
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-2_summary,10,v,2,2,586,2017-06-07  17:51:10,708.88
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-4_summary,10,v,2,4,358,2017-06-07  17:55:49,596.74
