isolate.code,SD,Mean,topt,w,a,b,z,source,latitude,longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.slist,mu.c.opt.val.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis,temperature,predicted_growth_variable,predicted_growth_constant,der
1,0.349318,-1.55859,12.60374739,17.31574077,0.21800623,0.034377373,11.34215425,"Terra Nova Bay, Ross Sea, Antarctica",-74.83,164.5,marine,Koliella antarctica strain SAG 2030,Koliella antarctica,NA,NA,SAG 2030,NA,antarctica,Koliella,Koliellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.999999871,3.27e-5,0.321963151,0.329094664,4,0.3,2.684283869,20.00002464,good,good,good,-40.32025666,-0.007766048,1,1,1,1,1,-1.55859,-0.25220569899272344,-0.25214950352750726,-9.21063e-4
2,0.951273,-0.834923,8.111938078,99.0503214,6.772617453,-0.161310754,51.82429411,"Windmill Islands, Antarctica",-66.28,110.48,marine,Chlamydomonas strain UMACC 229,Chlamydomonas,NA,NA,UMACC 229,NA,NA,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,NA,greens,0.967585782,0.021562461,0.001585384,0.404378677,6,0.4,2.299133413,101.3494548,good,bad,bad,2015.539071,0.002074071,1,0,1,0,1,-0.834923,-1.075126473154686,-1.011783860558297,-0.139996
3,0.951273,-0.834923,13.61144785,30.07227079,0.317142056,-0.026610623,16.50849532,"Windmill Islands, Antarctica",-66.28,110.48,marine,Klebsormidium strain UMACC 227,Klebsormidium,NA,NA,UMACC 227,NA,NA,Klebsormidium,Klebsormidiaceae,Klebsormidiales,Klebsormidiophyceae,Charophyta,Plantae,Eukaryota,NA,charophytes,0.828473679,0.028827769,0.204393787,0.212578531,6,0.25,1.472359922,31.54463071,good,good,good,277.8336301,0.010216124,0,0,0,0,0,-0.834923,-0.10968270904396625,-0.10715246586033672,-0.00559219
5,0.852225,-0.0736112,3.462879644,9.878668286,0.225190672,0.04226051,2.953021949,"Arthur Harbor, Palmer Station, Antarctica",-64.78,-64.06,marine,Phaeocystis antarctica strain CCMP 1871,Phaeocystis antarctica,NA,NA,CCMP 1871,NA,antarctica,Phaeocystis,Phaeocystaceae,Phaeocystales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,NA,haptophytes,0.79427483,0.053901539,0.255122466,0.257901615,6,0.35,-1.986312195,7.892356092,good,good,good,-5.192226542,-0.005702503,1,1,1,1,1,-0.0736112,0.13531758047694056,0.14020004786376714,-0.013445
7,0.8847895,0.8729975000000001,10.78428942,54.73300849,0.387864648,0.160492252,-11.05195393,"Southern Ocean, Indian sector",-58,62,marine,Chaetoceros deflandrei,Chaetoceros deflandrei,NA,NA,NA,NA,deflandrei,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.453877469,0.216934811,0.065818665,0.795520167,19,0.876,-38.41845817,16.31455032,bad,good,bad,-220.0879981,-0.037026588,1,1,0,0,1,0.8729975000000001,0.3628686699066587,0.36147590101056215,0.00355819
8,0.8847895,0.8729975000000001,3.104546875,36.2699846,0.411815644,0.228541607,-11.17516829,"Southern Ocean, Indian sector",-58,62,marine,Corethron pennatum,Corethron pennatum,Corethron criophilum,NA,NA,NA,pennatum,Corethron,Corethraceae,Corethrales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.898849698,0.03976397,0.032027178,0.31813072,10,0.375,-29.31016059,6.959824004,bad,good,bad,-11.95161673,-0.017780359,1,1,0,0,1,0.8729975000000001,0.2788033073240793,0.28084875205828974,-0.00522562
9,0.8847895,0.8729975000000001,4.541611732,60.78701235,1.154743188,0.154104944,-20.04789488,"Southern Ocean, Indian sector",-58,62,marine,Fragilariopsis cylindrus,Fragilariopsis cylindrus,Nitzschia cylindrus,NA,NA,NA,cylindrus,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.771290306,0.129174889,0.052570416,0.803222422,12,0.852,-50.44140105,10.3456113,bad,good,bad,-20.75768293,-0.011585659,1,1,0,0,1,0.8729975000000001,0.6932435901454789,0.695120212746839,-0.00479432
10,0.8847895,0.8729975000000001,3.69804854,46.72698306,0.945593934,0.209331833,-15.37163266,"Southern Ocean, Indian sector",-58,62,marine,Fragilariopsis kerguelensis,Fragilariopsis kerguelensis,Nitzschia kerguelensis,NA,NA,NA,kerguelensis,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.963297341,0.050000637,0.03786553,0.684499727,10,0.78,-38.73512419,7.991858874,bad,good,bad,-16.97163276,-0.018077076,1,1,0,0,1,0.8729975000000001,0.5837512213025482,0.5863941390337042,-0.00675202
11,0.8847895,0.8729975000000001,4.248702399,10.43111649,0.643384278,0.029396341,3.850833118,"Southern Ocean, Indian sector",-58,62,marine,Pseudo-nitzschia turgiduloides,Pseudo-nitzschia turgiduloides,Nitzschia turgiduloides,NA,NA,NA,turgiduloides,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.981582556,0.032195509,0.720497959,0.724732101,12,0.728,-1.364725126,9.066391361,good,good,good,-4.634105254,-0.004082945,1,1,1,1,1,0.8729975000000001,0.4294013767042632,0.4449223269904171,-0.0396523
12,0.8847895,0.8729975000000001,3.514375478,53.6380976,1.365336985,0.200531148,-18.77756582,"Southern Ocean, Indian sector",-58,62,marine,Stellarima microtrias,Stellarima microtrias,NA,NA,NA,NA,microtrias,Stellarima,Coscinodiscaceae,Coscinodiscales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.986057174,0.038705903,0.031616202,0.853921727,8,0.846,-45.59661462,8.041482978,bad,good,bad,-13.86723613,-0.014548167,1,1,0,0,1,0.8729975000000001,0.7494528439842103,0.7533183541438581,-0.00987545
