run,temp,term,estimate,std.error,statistic,p.value,growth_per_day,error
1,0,a,4.6563677987243325e-4,1.4875495200271705e-4,3.1302270855758016,0.08869085199572677,0.011175282716938397,0.003570118848065209
2,0,a,5.957795554234299e-4,4.5081121404907846e-5,13.215721722454072,0.005676854888500083,0.014298709330162317,0.0010819469137177884
3,0,a,5.957759396184298e-4,5.796976942280096e-5,10.277355689879565,0.009335177134572437,0.014298622550842317,0.0013912744661472229
4,0,a,4.6563258567788185e-4,1.4786116376124783e-4,3.149120254658222,0.08776541367865322,0.011175182056269165,0.003548667930269948
5,0,a,4.4268765213292886e-4,1.608341173562431e-4,2.75244866829087,0.11053726679858888,0.010624503651190293,0.0038600188165498345
6,0,a,4.4268829442377025e-4,1.5774823103268884e-4,2.8062964099548964,0.10698572369723508,0.010624519066170486,0.003785957544784532
7,0,a,6.018199482153513e-4,5.6968117796812575e-5,10.564153626452157,0.00884180165198353,0.01444367875716843,0.0013672348271235018
8,0,a,4.6563493577979435e-4,1.3899492749177019e-4,3.3500138759190645,0.07872711047559287,0.011175238458715065,0.0033358782598024847
9,0,a,7.544743631093691e-4,7.567952726236972e-5,9.969332399417853,0.00991226671753895,0.018107384714624856,0.0018163086542968732
10,0,a,4.6563677987243325e-4,1.4875495200271705e-4,3.1302270855758016,0.08869085199572677,0.011175282716938397,0.003570118848065209
11,0,a,4.6562953502974133e-4,1.5180667775843793e-4,3.0672533112849845,0.09187826208296891,0.011175108840713792,0.0036433602662025106
12,0,a,7.544743210853331e-4,7.464805210299472e-5,10.10708651907429,0.009647781283528412,0.018107383706047996,0.0017915532504718733
13,0,a,5.95773616694669e-4,6.526633548979971e-5,9.128344838477728,0.011789155936407215,0.014298566800672057,0.0015663920517551932
14,0,a,6.328257821081073e-4,2.9174082626277316e-5,21.6913686786544,0.0021185769872421986,0.015187818770594575,7.001779830306555e-4
15,0,a,7.544714254981105e-4,8.809569087023194e-5,8.564226218618042,0.01336137299146254,0.018107314211954655,0.0021142965808855665
16,0,a,4.6562953502974133e-4,1.5180667775843793e-4,3.0672533112849845,0.09187826208296891,0.011175108840713792,0.0036433602662025106
17,0,a,6.328224372727752e-4,4.5609371603398684e-5,13.874833505174164,0.005154381114219765,0.015187738494546604,0.0010946249184815684
18,0,a,6.328253894923563e-4,4.760448639726339e-5,13.293398109820489,0.005611262091181797,0.01518780934781655,0.0011425076735343213
19,0,a,5.95779129989938e-4,5.9680167727272234e-5,9.982866212986243,0.009885805687627052,0.014298699119758514,0.0014323240254545337
