isolate_code,der_max,der_min,derivative_sign
1,-0.00258178,-0.0184305,negative
10,0.0051836,-0.197186,positive
105,-0.00275146,-0.00877294,negative
106,0.0043561,-0.131958,positive
107,0.00322184,-0.0827244,positive
108,3.76666e-4,-0.0127075,positive
109,0.00674516,-0.24221,positive
11,-0.0315092,-0.0804914,negative
110,9.00178e-4,-0.0601446,positive
116,0.00123916,-0.0266837,positive
117,0.00229116,-0.055749,positive
118,0.00214077,-0.0526162,positive
119,0.00254228,-0.0811205,positive
12,0.00578648,-0.221096,positive
123,0.00314505,-0.110091,positive
126,-0.00580245,-0.042807,negative
128,-0.00109474,-0.0129493,negative
129,0.00114998,-0.0282079,positive
13,0.00662122,-0.258962,positive
131,0.00344301,-0.0941336,positive
132,0.00963061,-0.358539,positive
133,0.00363181,-0.134145,positive
134,-0.0131639,-0.0134877,negative
138,0.00181813,-0.04206,positive
139,0.00220407,-0.049681,positive
14,0.00159253,-0.0732308,positive
140,-0.0213017,-0.0430565,negative
146,9.97925e-4,-0.0377966,positive
15,0.0076668,-0.244056,positive
169,-0.00753798,-0.0107312,negative
170,-0.00999132,-0.0228948,negative
171,0.00228792,-0.0586725,positive
173,0.00145095,-0.0319118,positive
18,-6.83461e-4,-0.00640569,negative
181,0.00563962,-0.205839,positive
188,-0.010344,-0.0213746,negative
191,-0.00379741,-0.00933797,negative
193,6.62168e-4,-0.0243474,positive
194,-0.00126432,-0.00557859,negative
195,-0.0010121,-0.00766464,negative
198,0.00411062,-0.125315,positive
2,0.00163895,-0.0647075,positive
200,0.00517595,-0.109804,positive
205,0.00339807,-0.129206,positive
206,-0.00183244,-0.0164623,negative
210,0.00677045,-0.257614,positive
211,0.00129925,-0.078723,positive
212,-4.31387e-4,-0.00875443,negative
214,0.00106254,-0.0405712,positive
215,0.00277752,-0.0742114,positive
216,0.00628206,-0.140002,positive
217,0.00153873,-0.0386884,positive
218,0.00447723,-0.0962571,positive
219,1.82041e-4,-0.0166349,positive
220,0.00142497,-0.0509737,positive
221,-0.00932713,-0.0141483,negative
223,0.00223667,-0.0840477,positive
225,0.0025565,-0.0707092,positive
231,0.00457803,-0.146107,positive
232,7.49416e-4,-0.0332313,positive
233,0.00151349,-0.0331204,positive
234,0.00385361,-0.095909,positive
235,0.00253673,-0.0950087,positive
239,6.72387e-5,-0.0117591,positive
24,0.00347256,-0.0732582,positive
240,-0.0178277,-0.0200575,negative
242,0.00100956,-0.036091,positive
25,4.5716e-4,-0.0154312,positive
256,9.95653e-4,-0.0361169,positive
257,0.00406177,-0.156858,positive
259,-0.00457048,-0.00838503,negative
26,-0.00803784,-0.0113739,negative
260,0.00127301,-0.0488866,positive
262,0.00310561,-0.112328,positive
292,-0.00428195,-0.00478219,negative
298,0.00653008,-0.208222,positive
299,-6.49563e-4,-0.0162534,negative
3,-2.46285e-4,-0.00485654,negative
30,0.00240769,-0.0571188,positive
317,0.0214784,-0.808831,positive
32,-0.00266487,-0.00881562,negative
320,9.35549e-4,-0.0234195,positive
322,0.00297141,-0.0619594,positive
324,-0.00210034,-0.0380301,negative
325,0.00141023,-0.0639002,positive
326,0.00340653,-0.0899277,positive
328,0.00382557,-0.113155,positive
329,0.00159319,-0.0521298,positive
33,0.00139912,-0.0434541,positive
330,-1.55239e-4,-0.0161092,negative
332,-0.00569354,-0.0279318,negative
333,0.00355718,-0.128522,positive
335,-0.00555444,-0.0282573,negative
337,-0.00350198,-0.0302252,negative
338,-0.0140843,-0.034865,negative
34,-0.0033827,-0.0059188,negative
343,0.00347992,-0.0853418,positive
344,0.00127081,-0.0279487,positive
345,-0.00121497,-0.00402157,negative
