file_name,unique,temp,variability,sample_day,replicate,cell_density,start_time,cell_volume,total_biovolume,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours,hours
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-1_summary,10-c-1-1,10,c,1,1,891,2017-06-07T19:29:58Z,794.67,708050.97,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:29:58 UTC,0.19707175925925927,4.729722222222223,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-2_summary,10-c-2-1,10,c,1,2,1573,2017-06-07T19:31:28Z,816.02,1283599.46,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:31:28 UTC,0.19811342592592593,4.754722222222222,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-3_summary,10-c-3-1,10,c,1,3,422,2017-06-07T19:33:06Z,651.51,274937.22,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:33:06 UTC,0.19924768518518518,4.781944444444444,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-4_summary,10-c-4-1,10,c,1,4,789,2017-06-07T19:34:37Z,720.14,568190.46,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:34:37 UTC,0.20030092592592594,4.807222222222222,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-1_summary,10-c-1-2,10,c,2,1,371,2017-06-07T19:36:12Z,608.16,225627.36,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:36:12 UTC,0.20140046296296296,4.833611111111111,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-2_summary,10-c-2-2,10,c,2,2,401,2017-06-07T19:37:49Z,401.83,161133.83,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:37:49 UTC,0.20252314814814815,4.860555555555556,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-3_summary,10-c-3-2,10,c,2,3,547,2017-06-07T19:39:26Z,997.16,545446.52,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:39:26 UTC,0.20364583333333333,4.8875,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-4_summary,10-c-4-2,10,c,2,4,1103,2017-06-07T19:41:02Z,834.05,919957.1499999999,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:41:02 UTC,0.20475694444444445,4.914166666666667,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-1_summary,10-c-1-3,10,c,3,1,460,2017-06-07T19:42:40Z,636.9,292974.0,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:42:40 UTC,0.2058912037037037,4.941388888888889,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-2_summary,10-c-2-3,10,c,3,2,885,2017-06-07T19:44:08Z,780.6,690831.0,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 19:44:08 UTC,0.20690972222222223,4.965833333333333,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-3_summary,10-c-3-3,10,c,3,3,1296,2017-06-07T16:22:13Z,1036.02,1342681.92,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 16:22:13 UTC,0.06668981481481481,1.6005555555555555,1.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-4_summary,10-c-4-3,10,c,3,4,1398,2017-06-07T16:24:01Z,1316.93,1841068.1400000001,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 16:24:01 UTC,0.06793981481481481,1.6305555555555555,1.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-2_summary,10-c-2-4,10,c,4,2,1183,2017-06-07T16:29:26Z,1449.18,1714379.9400000002,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 16:29:26 UTC,0.07170138888888888,1.7208333333333334,1.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-3_summary,10-c-3-4,10,c,4,3,1288,2017-06-07T16:31:14Z,1000.98,1289262.24,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 16:31:14 UTC,0.07295138888888889,1.7508333333333332,1.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-4_summary,10-c-4-4,10,c,4,4,639,2017-06-07T16:33:20Z,833.33,532497.87,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 16:33:20 UTC,0.07440972222222222,1.7858333333333334,1.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-5-1_summary,10-c-1-5,10,c,5,1,753,2017-06-07T16:35:18Z,844.44,635863.3200000001,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 16:35:18 UTC,0.07577546296296296,1.8186111111111112,1.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-5-3_summary,10-c-3-5,10,c,5,3,1183,2017-06-07T16:39:14Z,916.38,1084077.54,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 16:39:14 UTC,0.07850694444444445,1.8841666666666668,1.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-1_summary,10-v-1-1,10,v,1,1,1291,2017-06-07T17:44:43Z,834.79,1077713.89,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:44:43 UTC,0.12398148148148148,2.9755555555555557,2.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-2_summary,10-v-2-1,10,v,1,2,604,2017-06-07T17:46:08Z,718.04,433696.16,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:46:08 UTC,0.12496527777777777,2.9991666666666665,2.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-3_summary,10-v-3-1,10,v,1,3,861,2017-06-07T17:47:18Z,800.13,688911.93,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:47:18 UTC,0.12577546296296296,3.018611111111111,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-4_summary,10-v-4-1,10,v,1,4,966,2017-06-07T17:48:37Z,660.37,637917.42,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:48:37 UTC,0.1266898148148148,3.0405555555555557,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-1_summary,10-v-1-2,10,v,2,1,791,2017-06-07T17:49:55Z,884.77,699853.07,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:49:55 UTC,0.1275925925925926,3.062222222222222,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-2_summary,10-v-2-2,10,v,2,2,586,2017-06-07T17:51:10Z,708.88,415403.68,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:51:10 UTC,0.12846064814814814,3.0830555555555557,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-4_summary,10-v-4-2,10,v,2,4,358,2017-06-07T17:55:49Z,596.74,213632.92,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:55:49 UTC,0.13168981481481482,3.1605555555555553,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-1_summary,10-v-1-3,10,v,3,1,967,2017-06-07T17:56:57Z,916.52,886274.84,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:56:57 UTC,0.13247685185185185,3.1794444444444445,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-2_summary,10-v-2-3,10,v,3,2,861,2017-06-07T17:58:03Z,758.5,653068.5,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 17:58:03 UTC,0.13324074074074074,3.1977777777777776,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-3_summary,10-v-3-3,10,v,3,3,711,2017-06-07T18:19:16Z,863.87,614211.57,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:19:16 UTC,0.14797453703703703,3.551388888888889,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-4-r2_summary,10-v-4-3,10,v,3,4,847,2017-06-07T18:55:32Z,620.08,525207.76,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:55:32 UTC,0.17315972222222223,4.155833333333334,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-1_summary,10-v-1-4,10,v,4,1,729,2017-06-07T18:42:44Z,850.55,620050.95,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:42:44 UTC,0.16427083333333334,3.9425,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-2_summary,10-v-2-4,10,v,4,2,916,2017-06-07T18:39:16Z,823.19,754042.04,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:39:16 UTC,0.16186342592592592,3.8847222222222224,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-3_summary,10-v-3-4,10,v,4,3,1539,2017-06-07T18:41:04Z,863.65,1329157.3499999999,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:41:04 UTC,0.16311342592592593,3.914722222222222,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-4_summary,10-v-4-4,10,v,4,4,1751,2017-06-07T18:45:53Z,764.6,1338814.6,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:45:53 UTC,0.16645833333333335,3.995,3.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-1_summary,10-v-1-5,10,v,5,1,626,2017-06-07T18:47:18Z,777.99,487021.74,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:47:18 UTC,0.16744212962962962,4.018611111111111,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-2_summary,10-v-2-5,10,v,5,2,1018,2017-06-07T18:51:35Z,793.66,807945.88,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:51:35 UTC,0.17041666666666666,4.09,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-3_summary,10-v-3-5,10,v,5,3,535,2017-06-07T18:52:55Z,739.74,395760.9,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:52:55 UTC,0.1713425925925926,4.112222222222222,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-5-4_summary,10-v-4-5,10,v,5,4,729,2017-06-07T18:54:16Z,804.82,586713.78,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 18:54:16 UTC,0.17228009259259258,4.134722222222222,4.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-1_summary,16-c-1-1,16,c,1,1,268,2017-06-07T15:03:17Z,364.27,97624.36,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:03:17 UTC,0.011875,0.285,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-2_summary,16-c-2-1,16,c,1,2,108,2017-06-07T15:04:43Z,116.7,12603.6,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:04:43 UTC,0.01287037037037037,0.3088888888888889,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-3_summary,16-c-3-1,16,c,1,3,377,2017-06-07T15:06:09Z,526.14,198354.78,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:06:09 UTC,0.013865740740740741,0.3327777777777778,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-1-4_summary,16-c-4-1,16,c,1,4,471,2017-06-07T15:08:21Z,945.37,445269.27,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:08:21 UTC,0.015393518518518518,0.36944444444444446,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-1_summary,16-c-1-2,16,c,2,1,430,2017-06-07T15:10:05Z,839.73,361083.9,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:10:05 UTC,0.01659722222222222,0.3983333333333333,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-2_summary,16-c-2-2,16,c,2,2,376,2017-06-07T15:11:42Z,845.13,317768.88,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:11:42 UTC,0.017719907407407406,0.42527777777777775,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-2-4_summary,16-c-4-2,16,c,2,4,323,2017-06-07T15:18:45Z,923.27,298216.21,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:18:45 UTC,0.022615740740740742,0.5427777777777778,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-1_summary,16-c-1-3,16,c,3,1,538,2017-06-07T15:20:09Z,921.65,495847.7,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:20:09 UTC,0.023587962962962963,0.5661111111111111,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-2_summary,16-c-2-3,16,c,3,2,698,2017-06-07T15:21:28Z,787.18,549451.64,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 15:21:28 UTC,0.024502314814814814,0.5880555555555556,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-3_summary,16-c-3-3,16,c,3,3,604,2017-06-07T14:46:11Z,1097.73,663028.92,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 14:46:11 UTC,0.0,0.0,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-3-4_summary,16-c-4-3,16,c,3,4,407,2017-06-07T14:49:24Z,1082.74,440675.18,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 14:49:24 UTC,0.0022337962962962962,0.05361111111111111,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-1_summary,16-c-1-4,16,c,4,1,785,2017-06-07T14:51:06Z,688.95,540825.75,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 14:51:06 UTC,0.003414351851851852,0.08194444444444444,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-2_summary,16-c-2-4,16,c,4,2,897,2017-06-07T14:52:29Z,740.43,664165.71,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 14:52:29 UTC,0.004375,0.105,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-3_summary,16-c-3-4,16,c,4,3,377,2017-06-07T14:53:56Z,661.66,249445.81999999998,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 14:53:56 UTC,0.005381944444444444,0.12916666666666668,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-4-4_summary,16-c-4-4,16,c,4,4,109,2017-06-07T14:55:53Z,555.61,60561.49,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 14:55:53 UTC,0.006736111111111111,0.16166666666666665,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-1_summary,16-c-1-5,16,c,5,1,538,2017-06-07T14:57:09Z,4908.71,2640885.98,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 14:57:09 UTC,0.007615740740740741,0.1827777777777778,0.0
Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/16c-5-2_summary,16-c-2-5,16,c,5,2,269,2017-06-07T14:58:26Z,1191.5,320513.5,2017-06-07T14:46:11Z,2017-06-07 14:46:11 UTC--2017-06-07 14:58:26 UTC,0.008506944444444444,0.20416666666666666,0.0
