temp,isolate.code,mean_growth,temperature
6,363,5.196578102890329e-4,-1.95
7,363,0.0017364826854898536,-1.94
72,11,7.106220179420487e-5,-1.29
73,11,0.0023971812737598967,-1.28
74,11,0.004720108895172858,-1.27
173,346,5.229410587670911e-5,-0.28
174,346,1.2114775310842902e-4,-0.27
175,346,1.90063435781077e-4,-0.26
176,346,2.590411634918858e-4,-0.25
236,606,1.2892201393687762e-4,0.3500000000000001
237,606,6.087338995167971e-4,0.3599999999999999
238,606,0.001088620670532895,0.3700000000000001
292,544,5.244376367928322e-4,0.9100000000000001
293,544,0.00116100036806063,0.9199999999999999
294,544,0.001797544761550755,0.9300000000000002
308,87,7.511439545195212e-4,1.0700000000000003
309,87,0.00159012807260255,1.08
310,87,0.0024292354858908684,1.0899999999999999
324,324,2.4281329575605523e-4,1.23
325,324,0.0010384552511282159,1.2400000000000002
401,239,1.5009433167169827e-4,2
402,239,3.700484369520812e-4,2.01
403,239,5.899975747140111e-4,2.0200000000000005
420,146,9.708881969373622e-5,2.1900000000000004
421,146,9.391698173591671e-4,2.2
422,146,0.001781334570911361,2.21
445,233,1.1909681948394017e-4,2.4400000000000004
446,233,3.969622405183591e-4,2.45
447,233,6.749417809716625e-4,2.46
457,332,0.0013137249408566975,2.5600000000000005
458,332,0.0027556401392113015,2.5700000000000003
459,332,0.004196921404408345,2.58
464,188,4.7111226728805783e-4,2.63
465,188,0.0022440194469269662,2.6399999999999997
471,1,5.180366263784081e-4,2.7
472,1,0.00106918856910142,2.71
473,194,3.617522443142155e-4,2.7199999999999998
525,221,2.323024516228451e-4,3.24
526,221,0.0011627772807001062,3.25
548,335,1.7751597510934762e-4,3.4699999999999998
549,335,0.0012058512350415068,3.4800000000000004
550,335,0.0022335156458671906,3.49
566,543,9.266262671156219e-5,3.6500000000000004
567,543,5.549449051706647e-4,3.66
568,543,0.0010173855593431191,3.67
619,344,5.711672693831912e-5,4.18
620,344,1.7260336658616693e-4,4.19
621,344,2.881807325012776e-4,4.2
625,240,0.0013912162079184095,4.24
626,240,0.003131607833691007,4.25
647,171,1.3302253656470974e-4,4.46
648,171,2.9216558826170475e-4,4.47
649,171,4.515050190785827e-4,4.48
663,337,0.0010869123536331328,4.62
709,553,7.694224549876033e-5,5.08
710,553,5.045103746716228e-4,5.09
711,553,9.324069750724959e-4,5.1000000000000005
712,553,0.0013606319283263806,5.11
733,570,3.7753765265008464e-4,5.32
734,570,7.903630368033919e-4,5.33
735,570,0.001203554855071023,5.34
756,193,1.0350695630480593e-4,5.55
757,193,4.933725324075522e-4,5.5600000000000005
758,193,8.832522727672574e-4,5.57
758,358,1.6031706057357113e-4,5.57
759,358,3.353290152394237e-4,5.58
760,358,5.106047166651707e-4,5.59
783,18,1.3326246699226014e-4,5.82
784,18,4.2296891508937387e-4,5.83
799,571,7.4271516842032255e-6,5.98
800,571,3.47037226581076e-4,5.99
801,571,6.869710570121956e-4,6
802,571,0.0010272285724747864,6.01
804,173,1.094655897487586e-4,6.029999999999999
805,173,2.891807740780645e-4,6.040000000000001
806,173,4.6900891763435504e-4,6.050000000000001
829,195,1.3211268194512004e-4,6.279999999999999
830,195,4.55538765267334e-4,6.290000000000001
