temp,var,term,estimate,std.error,statistic,p.value,temperature,estimte
20.0,variable temperature,a,0.6165621709963729,0.022150809406125887,27.834746789246463,7.288699553851666e-17,NA,NA
27.0,constant temperature,a,0.7902872371227021,0.030683795012326976,25.75585050040943,4.6318952245063224e-15,NA,NA
27.0,variable temperature,a,0.5431114207406548,0.018124942142267855,29.964863693225496,8.184655641126855e-17,NA,NA
15.0,constant temperature,a,0.40333699441591775,0.0074537795403728496,54.11174186615965,7.88039211525796e-37,15.0,NA
29.0,constant temperature,a,0.6368178794594808,0.04201509999360023,15.156881205958841,8.801627307777741e-13,29.0,NA
19.0,constant temperature,a,0.4649874711169137,0.006370024718807282,72.99618002172801,4.6024636061145426e-38,19.0,NA
35.0,constant temperature,a,-0.13429576889073008,0.029670008307338652,-4.526313828416187,1.846507048625255e-4,35.0,NA
5.0,constant temperature,a,0.09685030099694307,0.0020633085276454788,46.93932085254487,7.205836870037567e-40,NA,NA
5.0,variable temperature,a,0.1235381840710306,0.004243223931727655,29.114226837594984,2.2579118430327704e-21,NA,NA
10.0,constant temperature,a,0.30920849001616574,0.01118031635642167,27.656506324041963,2.26057230592045e-25,10.0,NA
10.0,variable temperature,a,0.3350512569098672,0.011054271637913228,30.30966380098079,1.0379001279403203e-26,10.0,NA
24.0,constant temperature,a,0.5900417145867429,0.030727372406593418,19.20247871438994,3.97760945767902e-19,24.0,NA
24.0,variable temperature,a,0.6012238093441794,0.023976421544453633,25.075627246104123,1.3107468160518e-22,24.0,NA
30.0,constant temperature,a,0.4904985525251421,0.035581291161767,13.78529380215958,5.215763604371082e-15,30.0,NA
30.0,variable temperature,a,0.29433725338074995,0.009523657105917235,30.905906219352694,2.112488488177046e-25,30.0,NA
0.0,constant temperature,a,0.0,NA,NA,NA,0.0,0
0.0,constant temperature,a,0.0,NA,NA,NA,0.0,NA
