curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,n.list
474,42.23525420534406,5.994462282999361e-8,24.242657122349954,29.0386801947135,-0.08086639886834637,-0.3194162078538264,-3.018380021880314,8
475,24.454513727845764,1.6658925840227832,15.428144943203787,32.66946422403626,0.22151216973590196,0.09740493059713032,0.9971842597776395,8
476,24.29041888659589,1.6279336201813588,15.923045221096086,32.1228464250823,0.25701940880541807,0.08902876253682297,0.9975168346904385,9
478,24.540015708862715,1.634966188587636,15.621643718684199,32.927914462304216,0.2354517101294425,0.09312149044223174,0.9996722825126466,8
479,24.261987796944425,1.5944151591272577,15.564638205783156,33.31762953814709,0.2711107826301204,0.08614210952241194,0.9991209704300041,8
481,24.35894969964336,1.5723142581112288,15.457374042532571,33.39556345582932,0.2501063689074867,0.08919780545557285,0.9976760606147225,8
482,24.48825077132022,1.5822485209311676,15.507711063594245,33.418025802183045,0.24263095032469528,0.09049080306249875,0.9975947708877491,9
483,24.513648229185193,1.6090393303243402,15.596617345481762,33.4898318313335,0.2548579703603423,0.08877397361851368,0.9990622034785295,8
484,42.10799295950695,5.964367616602468e-8,23.99743142839221,29.0043060391886,-0.04657888621690305,-0.30843656215048704,-3.006511878416174,8
486,24.29501984458454,1.6092646477304082,15.037536460864713,33.60762392125137,0.23464661815845397,0.09414073680855871,0.9981904841717439,8
487,41.60626058585879,2.938494686037104e-8,23.690397486609974,29.24153413083505,-0.060363617821235796,-0.33277036702489055,-2.9323784834405067,8
488,24.589964455538407,1.5802643262952973,16.144209529057726,33.24739611009362,0.2809105307230816,0.08238641296815893,0.9969644438232342,8
490,24.56526887429041,1.622409693249097,15.237043629095272,33.70354773290334,0.22838493757349385,0.09470742933943167,0.9979937182540809,8
491,42.60279113383807,1.3573547162002346e-9,23.959390444337753,31.973355762702415,-0.12632278737060224,-0.4067132050725446,-2.1357171289261885,9
492,24.329963591318016,1.6125681525444435,15.692795866408202,32.45595889590204,0.24288851979285087,0.09149413016804252,0.9990430254678753,8
493,24.158080571490846,1.5983321480417916,15.270764224332002,32.9781285890512,0.2432537242132191,0.09213516124648705,0.9997411459190774,8
494,24.237604569203583,1.6514689160535332,15.306387344350583,32.45209993275139,0.22384096514334753,0.09734491202416808,0.9980386281488001,8
495,24.656306166235964,1.56501969093634,15.844403836978746,33.98530057159233,0.27333762079820084,0.08347451741896551,0.9983574577950151,8
496,24.176806892689278,1.6419648667577038,15.281658132843942,32.90862245777514,0.24588322859038483,0.0928348139855605,0.9984087899836736,8
497,24.371589396911382,1.611137378197759,15.512498472424944,32.932176786702215,0.24136352716405443,0.09191562231978799,0.998222572229119,8
498,24.291456505977123,1.592592147774248,16.02632012249247,32.20093164371184,0.2640171980655732,0.08657303438843243,0.9983064005704776,8
499,24.41554116060111,1.6052513212759338,15.400710945211001,33.39171558147004,0.24382508446129983,0.09130437371586266,0.9998477630541902,8
500,24.485740956041578,1.5523712524490043,15.219520312596186,34.026268123940326,0.23753610811030354,0.0910371624131094,0.9976359014068181,8
501,24.090169370138128,1.6370101543327722,14.695778288467432,32.910001839710766,0.20352692737677813,0.10291620593969347,0.9986745160331694,8
502,43.36480257336882,2.314346004313285e-9,24.647845157154574,31.665100610755626,-0.073568007036762,-0.37708393506663895,-2.046623845420174,9
503,24.44453347948638,1.612926334885869,15.709302298854059,33.056834664367955,0.25559871089604735,0.08876187913020389,0.9986529449918945,8
504,24.279559210385592,1.5914822937043154,15.343290935222685,32.95993920845755,0.23453933959169554,0.09320547865042042,0.9980771925406301,8
505,24.585420495227503,1.5648055077264036,15.779047688569701,34.09340335069014,0.27965071911319006,0.08266765714833252,0.9965127773779051,8
508,24.465758642064536,1.5911070803601306,15.273387093503683,33.904641246155855,0.24554582736207597,0.0906119146539688,0.9982948770667447,8
509,24.477446895711985,1.571807031002157,15.608011470956514,33.69596413644196,0.26193554731864266,0.08646407348279007,0.998802848469775,8
510,24.34515676064775,1.662125865418248,15.727361379662668,32.46137841874696,0.25179452259681906,0.0911231303329067,0.9998362274609474,8
511,30.49640405668769,-3.209769351337127e-20,23.458772351298222,29.292632440885424,-0.09194061678111327,-1.3849624752934766,-3.2028581025574576,8
512,24.561727680235524,1.622099781005182,15.264434754239955,33.367522890306674,0.21774987839059332,0.09689807399567943,0.9956778308226023,8
