keep,file_name,unique,temp,variability,sample_day,replicate,cell_density,start_time,cell_volume,total_biovolume,start.time,time_since_innoc_days,time_since_innoc_hours,rows
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-1_summary,10-c-1-1,10,c,1,1,891,2017-06-07T19:29:58Z,794.67,708050.97,2017-06-07T14:46:11Z,0.19707175925925927,4.729722222222223,1
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-2_summary,10-c-2-1,10,c,1,2,1573,2017-06-07T19:31:28Z,816.02,1283599.46,2017-06-07T14:46:11Z,0.19811342592592593,4.754722222222222,2
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-3_summary,10-c-3-1,10,c,1,3,422,2017-06-07T19:33:06Z,651.51,274937.22,2017-06-07T14:46:11Z,0.19924768518518518,4.781944444444444,3
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-1-4_summary,10-c-4-1,10,c,1,4,789,2017-06-07T19:34:37Z,720.14,568190.46,2017-06-07T14:46:11Z,0.20030092592592594,4.807222222222222,4
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-1_summary,10-c-1-2,10,c,2,1,371,2017-06-07T19:36:12Z,608.16,225627.36,2017-06-07T14:46:11Z,0.20140046296296296,4.833611111111111,5
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-2_summary,10-c-2-2,10,c,2,2,401,2017-06-07T19:37:49Z,401.83,161133.83,2017-06-07T14:46:11Z,0.20252314814814815,4.860555555555556,6
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-3_summary,10-c-3-2,10,c,2,3,547,2017-06-07T19:39:26Z,997.16,545446.52,2017-06-07T14:46:11Z,0.20364583333333333,4.8875,7
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-2-4_summary,10-c-4-2,10,c,2,4,1103,2017-06-07T19:41:02Z,834.05,919957.1499999999,2017-06-07T14:46:11Z,0.20475694444444445,4.914166666666667,8
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-1_summary,10-c-1-3,10,c,3,1,460,2017-06-07T19:42:40Z,636.9,292974,2017-06-07T14:46:11Z,0.2058912037037037,4.941388888888889,9
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-2_summary,10-c-2-3,10,c,3,2,885,2017-06-07T19:44:08Z,780.6,690831,2017-06-07T14:46:11Z,0.20690972222222223,4.965833333333333,10
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-3_summary,10-c-3-3,10,c,3,3,1296,2017-06-07T16:22:13Z,1036.02,1342681.92,2017-06-07T14:46:11Z,0.06668981481481481,1.6005555555555555,11
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-3-4_summary,10-c-4-3,10,c,3,4,1398,2017-06-07T16:24:01Z,1316.93,1841068.1400000001,2017-06-07T14:46:11Z,0.06793981481481481,1.6305555555555555,12
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-2_summary,10-c-2-4,10,c,4,2,1183,2017-06-07T16:29:26Z,1449.18,1714379.9400000002,2017-06-07T14:46:11Z,0.07170138888888888,1.7208333333333334,13
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-3_summary,10-c-3-4,10,c,4,3,1288,2017-06-07T16:31:14Z,1000.98,1289262.24,2017-06-07T14:46:11Z,0.07295138888888889,1.7508333333333332,14
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-4-4_summary,10-c-4-4,10,c,4,4,639,2017-06-07T16:33:20Z,833.33,532497.87,2017-06-07T14:46:11Z,0.07440972222222222,1.7858333333333334,15
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-5-1_summary,10-c-1-5,10,c,5,1,753,2017-06-07T16:35:18Z,844.44,635863.3200000001,2017-06-07T14:46:11Z,0.07577546296296296,1.8186111111111112,16
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10c-5-3_summary,10-c-3-5,10,c,5,3,1183,2017-06-07T16:39:14Z,916.38,1084077.54,2017-06-07T14:46:11Z,0.07850694444444445,1.8841666666666668,17
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-1_summary,10-v-1-1,10,v,1,1,1291,2017-06-07T17:44:43Z,834.79,1077713.89,2017-06-07T14:46:11Z,0.12398148148148148,2.9755555555555557,18
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-2_summary,10-v-2-1,10,v,1,2,604,2017-06-07T17:46:08Z,718.04,433696.16,2017-06-07T14:46:11Z,0.12496527777777777,2.9991666666666665,19
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-3_summary,10-v-3-1,10,v,1,3,861,2017-06-07T17:47:18Z,800.13,688911.93,2017-06-07T14:46:11Z,0.12577546296296296,3.018611111111111,20
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-1-4_summary,10-v-4-1,10,v,1,4,966,2017-06-07T17:48:37Z,660.37,637917.42,2017-06-07T14:46:11Z,0.1266898148148148,3.0405555555555557,21
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-1_summary,10-v-1-2,10,v,2,1,791,2017-06-07T17:49:55Z,884.77,699853.07,2017-06-07T14:46:11Z,0.1275925925925926,3.062222222222222,22
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-2_summary,10-v-2-2,10,v,2,2,586,2017-06-07T17:51:10Z,708.88,415403.68,2017-06-07T14:46:11Z,0.12846064814814814,3.0830555555555557,23
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-2-4_summary,10-v-4-2,10,v,2,4,358,2017-06-07T17:55:49Z,596.74,213632.92,2017-06-07T14:46:11Z,0.13168981481481482,3.1605555555555553,24
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-1_summary,10-v-1-3,10,v,3,1,967,2017-06-07T17:56:57Z,916.52,886274.84,2017-06-07T14:46:11Z,0.13247685185185185,3.1794444444444445,25
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-2_summary,10-v-2-3,10,v,3,2,861,2017-06-07T17:58:03Z,758.5,653068.5,2017-06-07T14:46:11Z,0.13324074074074074,3.1977777777777776,26
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-3_summary,10-v-3-3,10,v,3,3,711,2017-06-07T18:19:16Z,863.87,614211.57,2017-06-07T14:46:11Z,0.14797453703703703,3.551388888888889,27
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-3-4-r2_summary,10-v-4-3,10,v,3,4,847,2017-06-07T18:55:32Z,620.08,525207.76,2017-06-07T14:46:11Z,0.17315972222222223,4.155833333333334,28
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-1_summary,10-v-1-4,10,v,4,1,729,2017-06-07T18:42:44Z,850.55,620050.95,2017-06-07T14:46:11Z,0.16427083333333334,3.9425,29
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-2_summary,10-v-2-4,10,v,4,2,916,2017-06-07T18:39:16Z,823.19,754042.04,2017-06-07T14:46:11Z,0.16186342592592592,3.8847222222222224,30
keep,Tetraselmis_experiment/data-raw/flowcam-summaries-jun07/10v-4-3_summary,10-v-3-4,10,v,4,3,1539,2017-06-07T18:41:04Z,863.65,1329157.3499999999,2017-06-07T14:46:11Z,0.16311342592592593,3.914722222222222,31
