replicate,run,a,b,w,z,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual
1,298,0.8605385709280595,0.012845518738467123,36.365514017122585,20,2442.3749307826315,TRUE,1.4901161193847656e-8,-339.0110027879806,688.0220055759612,696.0765951391824,196851444.98301035,33
2,407,0.9260498265782808,0.00630117131443379,36.07756124993649,20,2507.2923405454003,TRUE,1.4901161193847656e-8,-339.9816061714072,689.9632123428144,698.0178019060355,207454991.07160187,33
3,600,0.7795878602827041,0.013874331401445297,40.31051483379649,20,2210.0648222276386,TRUE,1.4901161193847656e-8,-335.3128878718202,680.6257757436404,688.6803653068615,161184755.1087868,33
4,109,0.23154689733893974,0.10838544694610278,60.62974643743014,0,2581.855805018806,TRUE,1.4901161193847656e-8,-341.0658920053987,692.1317840107974,700.1863735740186,219977320.1310072,33
5,102,0.39838230498560556,0.055634597347308246,38.239280714807244,15.165872085586889,1852.223926184709,TRUE,1.4901161193847656e-8,-328.7774000112508,667.5548000225016,675.6093895857227,113214204.60012625,33
6,54,0.6929106098490936,0.023577278995381607,39.787733734569755,20,2341.222118151216,TRUE,1.4901161193847656e-8,-337.4459829867582,684.8919659735164,692.9465555367376,180883593.2151754,33
7,345,0.2657087345804782,0.08431739622897878,37.240745820986774,11.936736481443688,2526.2555239120215,TRUE,1.4901161193847656e-8,-340.2603920786577,690.5207841573153,698.5753737205365,210604910.0791681,33
8,158,0.40238769139323666,0.05613814647349769,32.75021384532322,15.923047270056145,2021.4237805709768,TRUE,1.4901161193847656e-8,-332.01175743895965,674.0235148779193,682.0781044411405,134843085.3217094,33
9,719,0.16668316013189335,0.12419704212000476,41.537641971703685,7.396780156420302,2042.6191381061192,TRUE,1.4901161193847656e-8,-332.39769595136215,674.7953919027243,682.8499814659455,137685667.1307937,33
10,425,0.7675413892388208,0.01681249425637054,37.16431642274957,20,2315.4949073620414,TRUE,1.4901161193847656e-8,-337.0371471141273,684.0742942282546,692.1288837914758,176930049.97864515,33
11,488,0.4019577115034917,0.05340570886477508,31.539241221921554,15.107294358898352,1590.4958901840962,TRUE,1.4901161193847656e-8,-323.14077593850124,656.2815518770025,664.3361414402236,83479346.83085251,33
12,672,0.22065695160022333,0.11343107469531472,58.540342161060906,0,2786.2045689089127,TRUE,1.4901161193847656e-8,-343.884250658707,697.768501317414,705.8230908806352,256176884.69369376,33
13,443,0.22899546552940797,0.09381009025032985,36.02361082948884,11.744391144621254,2181.2998790916713,TRUE,1.4901161193847656e-8,-334.82815558888626,679.6563111777725,687.7109007409937,157016282.36333618,33
14,262,0.8089468138392513,0.014305642713252758,39.741134095812725,20,2428.301510705399,TRUE,1.4901161193847656e-8,-338.7971852625389,687.5943705250778,695.648960088299,194589391.48750606,33
15,101,0.2514790471032759,0.09406162200799491,37.87930483648217,9.872202676314311,2318.956129645582,TRUE,1.4901161193847656e-8,-337.09241374539783,684.1848274907957,692.2394170540168,177459398.530287,33
16,511,0.536606470325456,0.03834410179489018,36.79500751945417,16.96984589514067,1825.2161609978107,TRUE,1.4901161193847656e-8,-328.2339212570286,666.4678425140572,674.5224320772784,109936663.13413033,33
17,280,0.9723719479959669,0.0019983920604951543,37.05426708892959,20,1860.3923898606859,TRUE,1.4901161193847656e-8,-328.94021438148,667.88042876296,675.9350183261812,114214974.8603013,33
18,213,0.7809085137927803,0.013767819374319068,38.163308034018115,20,1631.6742180518545,TRUE,1.4901161193847656e-8,-324.08652432108124,658.1730486421625,666.2276382053836,87857904.8772193,33
19,709,0.40539581122872625,0.054768140248006615,35.197892805175115,15.404657054270867,2314.9245852176027,TRUE,1.4901161193847656e-8,-337.0280326399486,684.0560652798972,692.1106548431184,176842902.56308138,33
20,571,0.7376992966748338,0.02016175111832428,38.73760961082293,20,2124.3196611311446,TRUE,1.4901161193847656e-8,-333.8487884450516,677.6975768901032,685.7521664533243,148920222.74805525,33
21,116,0.795139746530054,0.01384579249286013,39.06790362712408,20,2426.921114770388,TRUE,1.4901161193847656e-8,-338.77614620628486,687.5522924125697,695.6068819757909,194368221.21150535,33
22,389,0.6963927695834123,0.020604797675174837,41.90636724119745,20,2127.712439292287,TRUE,1.4901161193847656e-8,-333.9078344802831,677.8156689605662,685.8702585237874,149396287.4025314,33
23,534,0.3699856738464208,0.06104843645335474,32.36465160345303,14.709867032611225,2324.831584346394,TRUE,1.4901161193847656e-8,-337.18604073841294,684.3720814768259,692.426671040047,178359782.5539606,33
24,371,0.8795492511732548,0.009460258208327013,37.11048994006123,20,2666.5745168284298,TRUE,1.4901161193847656e-8,-342.26048331446015,694.5209666289203,702.5755561921414,234650448.57535952,33
25,574,0.22258468480746008,0.11030842051411761,62.02357520828516,0,2669.7125193608563,TRUE,1.4901161193847656e-8,-342.3039990047877,694.6079980095755,702.6625875727966,235203042.889059,33
26,323,0.74467360695929,0.017483226816964483,38.106726278641446,20,1632.3955582822673,TRUE,1.4901161193847656e-8,-324.10287788628585,658.2057557725717,666.2603453357929,87935603.53708927,33
27,404,0.9693627432060605,0.005026409919428792,36.22927506923003,20,1846.0208381284492,TRUE,1.4901161193847656e-8,-328.6532792523806,667.3065585047613,675.3611480679824,112457166.84854724,33
28,438,0.5907959298469663,0.029775239889389404,34.75798850653209,17.833248679981228,1626.6204666799415,TRUE,1.4901161193847656e-8,-323.9717471331336,657.9434942662672,665.9980838294883,87314506.70652834,33
29,646,0.22372350876912958,0.11557954381066733,58.93293138065865,0,2569.791965379858,TRUE,1.4901161193847656e-8,-340.8926026415088,691.7852052830176,699.8397948462388,217926414.5959188,33
30,48,0.8713886474197995,0.008844050166576366,37.45287406696345,20,2435.1136075634154,TRUE,1.4901161193847656e-8,-338.9008357807237,687.8016715614474,695.8562611246685,195682683.29743686,33
31,263,0.9125583233327944,0.00671266236599416,37.716287121260656,20,1922.3783446604014,TRUE,1.4901161193847656e-8,-330.1529157576148,670.3058315152296,678.3604210784507,121952770.50063574,33
32,279,1,1.7103636520570946e-4,36.38937092465475,20,1561.264488807376,TRUE,1.4901161193847656e-8,-322.45443387311786,654.9088677462357,662.9634573094569,80439044.53236158,33
32,312,1,1.7103629030881313e-4,36.38937092657696,20,1561.2644888073767,TRUE,1.4901161193847656e-8,-322.45443387311786,654.9088677462357,662.9634573094569,80439044.53236164,33
32,471,1,1.710362852147047e-4,36.38937102853341,20,1561.2644888073767,TRUE,1.4901161193847656e-8,-322.45443387311786,654.9088677462357,662.9634573094569,80439044.53236164,33
32,511,1,1.7103630399773484e-4,36.38937097946992,20,1561.2644888073762,TRUE,1.4901161193847656e-8,-322.45443387311786,654.9088677462357,662.9634573094569,80439044.5323616,33
32,68,1,1.71036351265753e-4,36.38937094382026,20,1561.2644888073762,TRUE,1.4901161193847656e-8,-322.45443387311786,654.9088677462357,662.9634573094569,80439044.53236161,33
32,7,1,1.7103625022034098e-4,36.389371039449394,20,1561.2644888073767,TRUE,1.4901161193847656e-8,-322.45443387311786,654.9088677462357,662.9634573094569,80439044.53236164,33
33,642,0.8643938398846067,0.011209577164635004,38.108923526469965,20,2206.116481486345,TRUE,1.4901161193847656e-8,-335.24672725190624,680.4934545038125,688.5480440670336,160609347.68622777,33
34,16,0.8245238582441834,0.00994020113906938,39.896653196269995,20,2547.440824726997,TRUE,1.4901161193847656e-8,-340.5693820661666,691.1387641323332,699.1933536955544,214152006.93103018,33
35,432,0.7101074929948031,0.02272153153446984,39.786195690295834,20,2581.24267943719,TRUE,1.4901161193847656e-8,-341.05710439590615,692.1142087918123,700.1687983550335,219872854.41488674,33
36,155,0.8271797798248781,0.013003704036853074,39.45756047296981,20,2513.1355462974575,TRUE,1.4901161193847656e-8,-340.06773377460047,690.1354675492009,698.1900571124221,208423059.04410607,33
37,262,0.5420447242704736,0.035940663487658335,31.267232059499438,16.629901834666942,1718.1763857815502,TRUE,1.4901161193847656e-8,-325.9978285933918,661.9956571867835,670.0502467500047,97420293.05769254,33
