curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,s.list,n.list
4565,24.6853338252873,1.5740895195953066,13.982620775027213,36.689933181551275,0.22085816414807147,0.0964131559240055,0.9977458826171196,0.025624127706645818,8
4566,24.44049600715536,1.5770707086032736,14.62972345316367,34.824228579045496,0.22770714567495495,0.09481041709326843,0.9979060452958308,0.02474042466856193,8
4567,24.442096696281446,1.6196109748415974,37.611701881421894,11.799886258646008,-0.003910497128018225,0.19001478038634573,0.998235060889486,0.021582173258721218,8
4568,24.658221091157433,1.6316088243069624,14.044954053479367,35.99322715876684,0.20993902731329503,0.10048951806375664,0.9993804826759285,0.014822172265984531,9
4569,24.85874084373811,1.6269308399041928,14.230406207506608,36.34692756542944,0.21728717706593703,0.09782537626593305,0.9966962008605645,0.03157908230265834,8
4570,24.55081789570915,1.6602348007437373,14.372305925683843,35.17880506241765,0.21975145008821084,0.098977498868603,0.9888513527764132,0.06513167126615364,9
4571,24.667988530313238,1.649308265042651,14.500585680275966,34.96480310369813,0.20875484446960826,0.10052682892820268,0.9952135366620795,0.04230299913068151,9
4572,24.79727543342107,1.5347243386757063,13.632776787191663,37.92421368259852,0.22243237633702578,0.0950565085191041,0.9945520879327007,0.03833129801996733,8
4573,24.591061038220317,1.7082328938186242,12.410056923334286,37.45581411449558,0.1533829760015819,0.12037991002648696,0.9956136898590591,0.03779425078579805,8
4574,24.597201329792,1.5691077453916513,12.035327867788132,39.831545160467314,0.1960377021001132,0.10518256547868267,0.9987234684082108,0.018127845198262677,8
4575,24.369799349299527,1.615034832767069,13.423708732481293,35.837791585535896,0.1818495582150292,0.10878204911694854,0.997339183446798,0.028033244837167015,8
4576,24.594952844057662,1.5558267911610777,15.621654703085868,34.06236876161852,0.26198206475116664,0.08565408643064798,0.9987176319920023,0.019581250354064272,8
4577,24.49054967339204,1.6311211568602073,10.470241677335279,42.05089065088886,0.17909418617741918,0.114218734037846,0.9970138166435171,0.02840367831258827,8
4578,24.506896725400907,1.615509757182807,14.1142082378012,35.59406924837899,0.21371610855777348,0.09955550005543559,0.9993365410269478,0.013774988834461996,8
4579,24.415934598536342,1.628866290401748,11.844197749254452,39.09359229701263,0.17928663033662398,0.1122423736377034,0.9989077550752631,0.017411287173260886,8
4580,24.62856702781898,1.6413193172360727,11.998502610251034,39.25050875095883,0.17776607008055953,0.1119641234683321,0.9974533688610628,0.027431289573759135,8
4581,24.568081290071877,1.6085167177028123,14.535310400412309,35.11531456254918,0.22221971481132638,0.09665780681318455,0.9995369733947128,0.011603971691676934,8
4582,24.664292540267674,1.6440478140351198,14.592232240139866,34.89780387359405,0.21335393800129324,0.09922133653828435,0.9972444416509894,0.03186789546252749,9
4583,24.50186266863454,1.5736042131615993,14.78921743158372,35.07505876953949,0.24359930377854522,0.0910917132574782,0.9995647568683407,0.011309781655824597,8
4584,24.371856718025796,1.6256364481904242,14.06015846718784,35.02786580519491,0.2026314698252378,0.10290189754276419,0.9996392325036867,0.010380943148281701,8
4585,24.444413203224137,1.6862790015733322,13.177026279270118,36.51685459297608,0.18897640141540412,0.10914627411124266,0.9986798650793111,0.020290063303096736,8
4586,24.604750670665673,1.6192143094095273,14.264834925271979,35.69972879647516,0.22034339043927953,0.09767677965069162,0.9955121114635945,0.039733695305722495,9
4587,24.742264012566352,1.64375288065016,14.00092746953358,35.885951955293116,0.19534134916506626,0.10402148710296139,0.9953891293107656,0.03851326852698924,8
4588,24.998007202997442,1.518602404509219,15.321697118494871,36.503091656219894,0.2801566154278058,0.0808141776923856,0.9975573695593973,0.025700136722176137,8
4590,24.40890022924309,1.6069540865363,15.386096543394842,33.67503065613309,0.25495869525599707,0.08929101068903275,0.9981256673591881,0.024079683082457736,8
4591,24.545424491713565,1.5727238745547867,14.2728646675268,35.47527387767672,0.21219329096498646,0.09825211575064251,0.9995115475102623,0.012997988137082821,9
4592,24.559957965485253,1.6703556089231106,13.893926830924768,35.52528918152864,0.19459514293693064,0.10574325274590556,0.9964339386914112,0.033486058024881686,8
4593,24.58304040593501,1.608969085050371,13.630622360665718,36.26927281658994,0.19236292149414627,0.10485729277840372,0.9989291453909538,0.0174231570190028,8
4594,24.759108566237597,1.6438432981768427,14.064865844794902,36.51477065337459,0.22273435200226468,0.09770297457741765,0.9986032253097094,0.02058606738135639,8
4595,24.726855360630967,1.5097959921408126,14.170752120710832,37.24379351066436,0.24207838092539913,0.0897039834285239,0.9902686339385186,0.050265850937748,8
4596,24.27024757038155,1.6382684973709207,14.541415664426124,34.30893153052028,0.22669286905340527,0.0974803775722227,0.9963296632520953,0.033781113383505174,8
4597,24.510762267720107,1.6524806621270087,14.390815069173438,35.10759168159411,0.22199305515430845,0.09838124991531429,0.9978595621618778,0.02579997954053908,8
4598,24.63586335917072,1.6484792334023317,12.547998746445238,38.26149625166062,0.18281382551762398,0.10994953830394318,0.9963735642176881,0.03318997382556197,8
4599,24.516050059953933,1.5716990359825735,13.844612177462551,36.41504670845859,0.21633849129526442,0.09805501950239072,0.9967100899444638,0.032808400013339276,9
4600,24.645664173935888,1.5958647793398932,10.522498379799174,42.47563175577326,0.1797658799589006,0.11228414717783838,0.9961688888950733,0.0319015377485531,8
4601,24.62443780022396,1.6575695727740591,13.566161460929322,36.891509767949124,0.21272728675627836,0.10146228893494456,0.9956608874597416,0.04033585837285326,9
4602,24.757735386074586,1.6772674984738005,10.65968172027935,41.77869916059577,0.16316625152725228,0.1186700073525656,0.9943360166022035,0.041287775811939195,8
4603,24.597900484301782,1.617971785938955,13.070546466672733,37.81473660874424,0.20622960011078503,0.10263811921169354,0.9933370873572747,0.04824325779334344,9
4604,24.391242625530218,1.6629141632346094,13.536002844430373,35.58287557814488,0.18423537706041004,0.10929152399711477,0.9996816093082146,0.009592412849518058,8
4605,24.830013554526737,1.6404229558183336,12.993629333521755,38.182808286369486,0.1941812510564916,0.1054790018897565,0.9985751341185974,0.022381751210393045,9
4606,24.656192518530865,1.673253965944678,13.29258773242898,36.692062437766815,0.18217052787121651,0.10956845394139658,0.994332756987885,0.042916966592351745,8
4607,24.327984670050846,1.6102426529923533,14.351801072780306,34.63674600429083,0.21388166964660216,0.0995532029867568,0.994408309901617,0.040502781614502645,8
