"temp","growth.rate","std.error","sd","row"
5,0.0111844,0.000338597,0.000677194,"1"
10,0.0249703,0.00028243,0.00056486,"2"
16,0.0443961,0.000543113,0.00108623,"3"
20,0.0530417,0.000773474,0.00154695,"4"
24,0.0590205,0.000619348,0.0012387,"5"
27,0.0667777,0.000634759,0.00126952,"6"
29,0.0487914,0.000926494,0.00185299,"7"
0,0,0,0,"9"
32,0.001,1e-05,2e-05,"10"
