x,q2.5,q97.5,mean
0,0.03725773434627999,0.13275316962934736,0.08756559536140783
0.01,0.03754984557154469,0.1330102775703478,0.08783384766398292
0.02,0.0378360732911252,0.1332676812880542,0.08810241424814096
0.03,0.03812264848553021,0.13352538101525818,0.08837129534838212
0.04,0.038409571400714375,0.13378337698480192,0.08864049119923813
0.05,0.038696842282636285,0.13404166942957735,0.08891000203527201
0.06,0.03898446137725787,0.1343002585825263,0.0891798280910776
0.07,0.03927242893054452,0.13455914467663996,0.08944996960127953
0.08,0.03956074518846431,0.13481832794495877,0.08972042680053266
0.09,0.03984941039698789,0.1350778086205722,0.08999119992352198
0.1,0.0401384248020881,0.1353375869366181,0.09026228920496217
0.11,0.04042778864973935,0.13559766312628294,0.09053369487959738
0.12,0.04071750218591762,0.13585803742280117,0.09080541718220089
0.13,0.041007565656599895,0.13611871005945503,0.09107745634757486
0.14,0.04129797930776367,0.13637968126957437,0.09134981261054984
0.15,0.041588743385386935,0.13664095128653625,0.09162248620598475
0.16,0.04187985813544759,0.13690252034376466,0.09189547736876637
0.17,0.042171323803923015,0.1371643886747304,0.0921687863338091
0.18,0.042493643541663045,0.13741900938116192,0.0924424133360546
0.19,0.042832576425204716,0.137657252890088,0.09271635861047162
0.2,0.04317185582107162,0.13789578218648518,0.0929906223920555
0.21,0.043511481908619754,0.1381345975221428,0.09326520491582801
0.22,0.04385145486712164,0.1383736991489489,0.09354010641683694
0.23,0.044191774875766164,0.13861308731889016,0.09381532713015586
0.24,0.04453244211365811,0.1388527622840516,0.09409086729088377
0.25,0.044873456759817625,0.1390927242966163,0.09436672713414482
0.26,0.04521481899318003,0.13933297360886512,0.09464290689508793
0.27,0.045556528992595255,0.13957351047317673,0.09491940680888655
0.28,0.04589858693682759,0.1398295319374414,0.0951962271107383
0.29,0.04624099300455521,0.14008622205378024,0.09547336803586466
0.3,0.04658374737436978,0.14034320955777252,0.09575082981951068
0.31,0.04692685022477607,0.14060049469020514,0.09602861269694457
0.32,0.04727030173419157,0.14085807769192654,0.09630671690345753
0.33,0.04761410208094625,0.14111595880384642,0.0965851426743633
0.34,0.04794225759739866,0.1413741382669355,0.09686389024499793
0.35000000000000003,0.04825815177006436,0.14163261632222546,0.0971429598507194
0.36,0.048574398920820085,0.14189139321080824,0.09742235172690729
0.37,0.048890999266732724,0.14215046917383614,0.09770206610896251
0.38,0.049207953024823156,0.14240984445252133,0.097982103232307
0.39,0.049525260412065474,0.1426695192881358,0.0982624633323832
0.4,0.0498429216453871,0.14292949392201074,0.09854314664465405
0.41000000000000003,0.05016093694166792,0.14318976859553662,0.0988241534046024
0.42,0.05047930651774023,0.14345034355016267,0.09910548384773082
0.43,0.050798030590388024,0.14371121902739675,0.09938713820956119
0.44,0.051117109376346906,0.14397239526880495,0.09966911672563444
0.45,0.0514365430923034,0.14423387251601133,0.09995141963151016
0.46,0.05174797772396643,0.14449565101069783,0.10023404716276639
0.47000000000000003,0.05205845714258435,0.14475773099460368,0.10051699955499903
0.48,0.05236929083636105,0.1450201127095253,0.10080027704382181
0.49,0.05268047903161848,0.14528279639731603,0.10108387986486582
0.5,0.05299202195464216,0.14554578229988582,0.10136780825377911
0.51,0.053303919831680924,0.14580907065920085,0.1016520624462265
0.52,0.05361617288894642,0.14607266171728342,0.10193664267788914
0.53,0.053928781352612684,0.14633655571621146,0.10222154918446419
0.54,0.05424174544881599,0.1466007528981185,0.10250678220166452
0.55,0.054555065403653964,0.14686525350519294,0.10279234196521836
0.56,0.05486874144318571,0.1471300577796784,0.1030782287108689
0.5700000000000001,0.05518277379343097,0.14739516596387292,0.10336444267437407
0.58,0.05549716268037009,0.14766057830012883,0.10365098409150608
0.59,0.05581190832994324,0.14792629503085236,0.10393785319805117
0.6,0.0561448040864266,0.14819231639850372,0.10422505022980921
0.61,0.05647933692902019,0.14845864264559622,0.10451257542259337
0.62,0.05681421934054472,0.14872527401469654,0.10480042901222983
0.63,0.057149451511552,0.1489922107484241,0.10508861123455734
0.64,0.0574850336325177,0.14925945308945063,0.1053771223254269
0.65,0.057820965893841475,0.1495270012805005,0.1056659625207015
0.66,0.05815724848584602,0.14979485556434974,0.10595513205625567
0.67,0.05849388159877693,0.15006301618382606,0.10624463116797522
0.68,0.058835647868668364,0.15033148338180857,0.1065344600917568
0.6900000000000001,0.05917899354901154,0.15060025740122737,0.10682461906350758
0.7000000000000001,0.05951467443497747,0.15086933848506326,0.10711510831914496
0.71,0.059860687503793274,0.1511392027673409,0.10740592809459619
0.72,0.0602070518613966,0.15141481346804983,0.10769707862579792
0.73,0.060553767687311556,0.15169073337613567,0.10798856014869597
0.74,0.06090083516096865,0.15196696272642915,0.10828037289924494
0.75,0.061248254461704094,0.1522435017537939,0.10857251711340786
0.76,0.06159602576875981,0.15252035069312642,0.10886499302715581
0.77,0.061944149261282624,0.15279750977935527,0.10915780087646758
0.78,0.06229262511832401,0.1530749792474412,0.10945094089732929
0.79,0.06264145351883967,0.15335275933237663,0.1097444133257341
0.8,0.06299063464168922,0.15363085026918524,0.11003821839768176
0.81,0.06334016866563538,0.15390925229292193,0.11033235634917828
0.8200000000000001,0.06369005576934415,0.1541879656386721,0.11062682741623563
0.8300000000000001,0.06404029613138389,0.1544629682387547,0.1109216318348713
0.84,0.0643908899302251,0.1547308152956347,0.111216769841108
0.85,0.0647418373442401,0.15499896779991706,0.11151224167097322
0.86,0.06509313855170243,0.15526742599525475,0.11180804756049895
0.87,0.06544479373078634,0.15553619012535413,0.11210418774572124
